Rank,skills,Percentage on Resumes
1,Data Analysis,14.9%
2,Procedures,7.7%
3,Python,6.9%
4,Data Management,5.4%
5,R,4.1%
6,Data Quality,4.1%
7,Data Collection,3.6%
8,Business Process,3.6%
9,BI,3%
10,SAS,2.9%
11,Analyze Data,2.9%
12,Customer Service,2.6%
13,Powerpoint,2.5%
14,Complex Data,2.2%
15,ETL,2.1%
16,Data Entry,2%
17,Data Integrity,1.9%
18,SQL,1.9%
19,Data Warehouse,1.6%
20,Data Models,1.5%
21,Database,1.4%
22,Pivot Tables,1.3%
23,VBA,1.1%
24,Curiosity,1%
25,HR,1%
26,Financial Statements,0.9%
27,Spss,0.9%
28,Sharepoint,0.9%
29,Pl/Sql,0.9%
30,Test Scripts,0.9%
31,Java,0.8%
32,Technical Support,0.8%
33,Data Issues,0.8%
34,Special Projects,0.8%
35,Data Validation,0.7%
36,Salesforce,0.7%
37,Management System,0.7%
38,Data Extraction,0.7%
39,QA,0.7%
40,Data Elements,0.7%
41,Ensure Accuracy,0.6%
42,Ad-Hoc Reports,0.5%
43,Visio,0.5%
44,Ssis,0.5%
45,Medicaid,0.5%
46,Ssrs,0.5%
47,Data Reports,0.5%
48,Informatica,0.5%
49,Cognos,0.4%
50,CMS,0.4%
