Rank,skills,Percentage on Resumes
1,Python,12.7%
2,Big Data,6.4%
3,ETL,5%
4,Cloud,4.9%
5,Scala,4.6%
6,Java,4.2%
7,Kafka,4%
8,Data Analysis,4%
9,Nosql,3.4%
10,Analytics,2.9%
11,Redshift,2.8%
12,Data Pipeline,2.7%
13,EMR,2.4%
14,Data Quality,2.1%
15,Data Processing,2.1%
16,Data Warehouse,2%
17,BI,2%
18,R,1.9%
19,Procedures,1.9%
20,S3,1.8%
21,GIT,1.6%
22,Hbase,1.6%
23,Business Process,1.5%
24,Linux,1.4%
25,API,1.4%
26,Relational Databases,1.3%
27,SQL,1.2%
28,Hdfs,1.1%
29,EC2,1.1%
30,Jenkins,1.1%
31,Data Ingestion,1.1%
32,Elasticsearch,0.9%
33,Mapreduce,0.9%
34,Informatica,0.8%
35,Unix,0.8%
36,Javascript,0.7%
37,Microservices,0.7%
38,Ssis,0.7%
39,Json,0.6%
40,Github,0.6%
41,Teradata,0.6%
42,Rdbms,0.6%
43,Talend,0.6%
44,Jira,0.5%
45,MPP,0.5%
46,Impala,0.5%
47,Tensorflow,0.5%
48,Parquet,0.5%
49,Ruby,0.5%
