Rank,skills,Percentage on Resumes
1,Python,13.3%
2,Data Science,9.8%
3,Data Analysis,7.4%
4,R,6.9%
5,Machine Learning Algorithms,6.8%
6,Hadoop,4.2%
7,Big Data,4%
8,Predictive Models,3.5%
9,Tableau,3.3%
10,Analytics,3.2%
11,Data Visualization,2.8%
12,Tensorflow,2.7%
13,Java,2.5%
14,Scala,2%
15,Neural Networks,2%
16,SAS,1.9%
17,Natural Language Processing,1.9%
18,Pandas,1.7%
19,AWS,1.7%
20,Scikit-Learn,1.6%
21,Data Collection,1.5%
22,Matlab,1.1%
23,Logistic Regression,1%
24,Numpy,0.9%
25,Decision Trees,0.9%
26,ETL,0.8%
27,Nosql,0.7%
28,GIT,0.7%
29,Linux,0.7%
30,A/B,0.7%
31,Exploratory Analysis,0.6%
32,BI,0.6%
33,Spss,0.5%
34,Data Quality,0.5%
35,Mapreduce,0.5%
36,Javascript,0.4%
37,Matplotlib,0.4%
38,Elasticsearch,0.4%
39,Forests,0.4%
40,Business Process,0.3%
41,Hbase,0.3%
42,Cluster Analysis,0.3%
43,Github,0.3%
44,Unix,0.3%
45,Pyspark,0.3%
46,API,0.3%
47,SQL,0.3%
48,Twitter,0.3%
49,Data Extraction,0.2%
50,Sentiment Analysis,0.2%
