Rank,skills,Percentage on Resumes
1,Analytics,9.8%
2,Email Campaigns,5.7%
3,Web Content,5.7%
4,Digital Strategy,5.5%
5,Paid Search,5.4%
6,Content Marketing,5.2%
7,Project Management,4.6%
8,KPI,4.4%
9,CRM,4.2%
10,A/B,3.7%
11,ROI,3%
12,Html,2.6%
13,PPC,2.3%
14,User Interface,2.2%
15,Instagram,2%
16,Twitter,1.8%
17,Linkedin,1.8%
18,Hubspot,1.5%
19,Customer Service,1.5%
20,Facebook,1.5%
21,CSS,1.5%
22,CMS,1.5%
23,Company Website,1.4%
24,Customer Acquisition,1.4%
25,Youtube,1.3%
26,Graphic Design,1.3%
27,Business Objectives,1.2%
28,Internet,1.2%
29,Social Platforms,1.2%
30,Photoshop,1.1%
31,Digital Assets,0.9%
32,Conversion Rates,0.9%
33,Online,0.9%
34,Keyword Research,0.9%
35,Pardot,0.8%
36,Market Research,0.7%
37,Content Development,0.7%
38,Business Development,0.7%
39,Customer Engagement,0.6%
40,B2C,0.6%
41,QA,0.6%
42,Social Channels,0.6%
43,Media Planning,0.5%
44,New Technologies,0.5%
45,CPC,0.5%
46,Semrush,0.4%
47,Competitive Analysis,0.4%
48,Direct Reports,0.4%
49,CPA,0.4%
50,Omniture,0.4%
