Rank,skills,Percentage on Resumes
1,Customer Service,12.3%
2,SQL,5.8%
3,Data Analysis,5.8%
4,Project Management,5.4%
5,Ensure Compliance,3.5%
6,Business Process,3.1%
7,Windows,3.1%
8,Salesforce,2.8%
9,Data Entry,2.8%
10,Special Projects,2.8%
11,Financial Statements,2.8%
12,Business Partners,2.6%
13,Troubleshoot,2.4%
14,Income,2.1%
15,CRM,2%
16,External Customers,2%
17,HR,2%
18,KPI,1.9%
19,Technical Support,1.9%
20,Management System,1.9%
21,Private Equity,1.9%
22,Pivot Tables,1.8%
23,New Procedures,1.8%
24,Operational Support,1.6%
25,Sharepoint,1.6%
26,Linux,1.5%
27,Data Collection,1.4%
28,Key Performance Indicators,1.3%
29,Business Units,1.3%
30,VBA,1.2%
31,New Processes,1.2%
32,Data Integrity,1.2%
33,Ensure Accuracy,1.1%
34,Operational Issues,1%
35,External Clients,1%
36,Analytical Support,1%
37,Sigma,1%
38,Unix,0.9%
39,Problem Resolution,0.8%
40,Due Diligence,0.8%
41,SME,0.8%
42,User Interface,0.7%
43,AML,0.7%
44,ACH,0.7%
45,Service Levels,0.7%
46,QA,0.7%
47,ERP,0.6%
48,SAS,0.6%
