Rank,skills,Percentage on Resumes
1,Procedures,10.2%
2,Project Management,7%
3,Customer Service,6%
4,Infrastructure,5.3%
5,Architecture,5%
6,Hardware,4.1%
7,Technical Support,4%
8,Software Development,2.9%
9,Business Process,2.9%
10,Facility,2.9%
11,C++,2.8%
12,C #,2.8%
13,Troubleshoot,2.8%
14,Business Development,2.6%
15,Preventive Maintenance,2.6%
16,Product Development,2.5%
17,R,2.2%
18,New Technologies,1.9%
19,CRM,1.7%
20,Java,1.7%
21,Windows,1.7%
22,QA,1.7%
23,SQL,1.5%
24,Internet,1.4%
25,Direct Reports,1.2%
26,Linux,1.2%
27,Javascript,1.1%
28,Sdlc,1%
29,XML,1%
30,ISO,1%
31,Setup,1%
32,Business Units,0.9%
33,Management System,0.9%
34,IP,0.9%
35,Html,0.8%
36,HR,0.8%
37,Technical Expertise,0.8%
38,PC,0.7%
39,Product Quality,0.7%
40,Technical Staff,0.7%
41,Unix,0.7%
42,Performance Reviews,0.6%
43,Technical Training,0.6%
44,Data Warehouse,0.6%
45,Sigma,0.6%
46,Microservices,0.6%
47,Sharepoint,0.6%
48,RF,0.5%
49,SME,0.5%
