Rank,skills,Percentage on Resumes
1,Business Process,12.9%
2,Business Development,11.3%
3,Project Management,10.4%
4,Procedures,9.9%
5,Business Partners,4.7%
6,Continuous Improvement,4.5%
7,Sigma,3.6%
8,Process Changes,2.2%
9,Key Stakeholders,2%
10,Visio,1.9%
11,Data Analysis,1.7%
12,Sdlc,1.7%
13,Business Units,1.7%
14,Logistics,1.5%
15,Ensure Compliance,1.5%
16,Key Performance Indicators,1.3%
17,KPI,1.3%
18,Customer Service,1.3%
19,Information Technology,1.2%
20,Process Design,1.2%
21,CRM,1.2%
22,Sharepoint,1.1%
23,BI,1.1%
24,Process Documentation,1.1%
25,HR,1.1%
26,ERP,1%
27,Business Objectives,1%
28,SQL,0.9%
29,New Processes,0.9%
30,Training Materials,0.8%
31,Process Maps,0.8%
32,R,0.8%
33,Metrics,0.8%
34,Functional Areas,0.8%
35,Management System,0.8%
36,Direct Reports,0.7%
37,User Interface,0.7%
38,Cost Reduction,0.7%
39,Special Projects,0.7%
40,UAT,0.6%
41,System Enhancements,0.6%
42,Inventory Levels,0.6%
43,Action Plans,0.6%
44,Business Cases,0.6%
45,Order Management,0.5%
46,SOX,0.5%
47,Kaizen,0.5%
48,QA,0.4%
49,Itil,0.4%
