Rank,skills,Percentage on Resumes
1,Project Management,6.4%
2,Information Technology,6.3%
3,CIO,5.9%
4,Infrastructure,5.6%
5,Architecture,4.1%
6,Customer Service,4%
7,Portfolio,4%
8,Cloud,3.8%
9,Software Development,3.6%
10,Business Strategy,3.4%
11,Business Process,3.3%
12,Healthcare,3.2%
13,Information Security,2.4%
14,Disaster Recovery,2.4%
15,Strategic Plan,2.2%
16,Mpls,2%
17,ERP,1.8%
18,Business Continuity,1.8%
19,Assurance,1.7%
20,Executive Leadership,1.7%
21,Service Delivery,1.7%
22,Hipaa,1.6%
23,Windows,1.6%
24,Management System,1.5%
25,Internet,1.4%
26,HR,1.4%
27,Business Operations,1.3%
28,Strategic Initiatives,1.3%
29,Business Objectives,1.2%
30,PMO,1.1%
31,SAN,1.1%
32,SQL,1%
33,Itil,1%
34,Sharepoint,1%
35,EMR,1%
36,Information Management,0.9%
37,Vendor Management,0.9%
38,Business Development,0.9%
39,Business Units,0.9%
40,Executive Management,0.8%
41,New Technologies,0.8%
42,Voip,0.8%
43,Annual Budget,0.8%
44,Service Levels,0.8%
45,Direct Reports,0.8%
46,ROI,0.7%
47,Data Warehouse,0.7%
48,Cost Reduction,0.7%
49,Vmware,0.7%
