Rank,skills,Percentage on Resumes
1,Infrastructure,7.7%
2,Cloud,7.2%
3,Architecture,6.9%
4,Python,5.9%
5,C++,5%
6,Java,4.1%
7,Information Technology,4.1%
8,Software Development,4.1%
9,Project Management,3.6%
10,Web Services,2.7%
11,Technology Strategy,2.7%
12,SQL,2.5%
13,R,2.3%
14,AWS,2.2%
15,Linux,2.2%
16,Internet,2%
17,Active Directory,1.9%
18,Product Development,1.7%
19,Windows,1.7%
20,Sdlc,1.5%
21,API,1.5%
22,Business Development,1.5%
23,Javascript,1.5%
24,New Technologies,1.4%
25,ROI,1.2%
26,Strategic Plan,1.2%
27,Data Warehouse,1.2%
28,XML,1.1%
29,Strategic Initiatives,1.1%
30,Vmware,1.1%
31,SAN,1.1%
32,Business Process,1.1%
33,PHP,1%
34,QA,1%
35,Saas,1%
36,IP,1%
37,Business Strategy,1%
38,Technology Vision,0.9%
39,Business Units,0.9%
40,Disaster Recovery,0.9%
41,HR,0.9%
42,Html,0.8%
43,Scrum,0.8%
44,Management System,0.7%
45,Hipaa,0.7%
46,CIO,0.7%
47,Technical Aspects,0.6%
