Rank,skills,Percentage on Resumes
1,Customer Service,14.7%
2,Procedures,14.6%
3,Supply Chain,9.9%
4,Logistics,6.5%
5,Facility,5.6%
6,Continuous Improvement,4.6%
7,On-Time Delivery,3.7%
8,Inventory Levels,2.7%
9,Company Policies,2.5%
10,Inventory Control,2.3%
11,Direct Reports,2.3%
12,Purchase Orders,2.2%
13,Customer Requirements,1.7%
14,Cost Reduction,1.7%
15,Key Performance Indicators,1.6%
16,Raw Materials,1.5%
17,External Customers,1.3%
18,Management System,1.2%
19,LTL,1.1%
20,ERP,1%
21,Sigma,1%
22,DOD,1%
23,Daily Operations,1%
24,Warehouse Operations,1%
25,TMS,0.9%
26,Service Levels,0.8%
27,ISO,0.8%
28,Cycle Counts,0.8%
29,Freight Forwarders,0.8%
30,Physical Inventory,0.7%
31,Hazmat,0.7%
32,HR,0.7%
33,Hazardous Materials,0.6%
34,Property Accountability,0.6%
35,FDA,0.5%
36,WMS,0.5%
37,Inbound Shipments,0.5%
38,Customer Orders,0.5%
39,MRP,0.5%
40,Distribution Centers,0.4%
41,Inventory Accuracy,0.4%
42,Outgoing Shipments,0.4%
43,Freight Costs,0.4%
44,Process Documentation,0.4%
45,International Shipments,0.4%
46,EDI,0.3%
47,Annual Budget,0.3%
48,Production Planning,0.3%
