Rank,skills,Percentage on Resumes
1,Supply Chain,28.6%
2,Procedures,9.8%
3,Logistics,7.6%
4,Customer Service,5.4%
5,Supplier Performance,4.4%
6,Continuous Improvement,4.3%
7,Purchase Orders,3.6%
8,Business Units,2.6%
9,Inventory Levels,2.3%
10,Sigma,2%
11,MRP,1.9%
12,ERP,1.8%
13,External Customers,1.5%
14,Company Policies,1.5%
15,Data Analysis,1.5%
16,SCM,1.3%
17,Cost Reduction,1.2%
18,Strategic Sourcing,1.2%
19,Internal Customers,1.1%
20,Material Requirements,1.1%
21,Inventory Control,1%
22,Raw Materials,0.9%
23,Cost Analysis,0.9%
24,R,0.9%
25,BOM,0.8%
26,Ensure Compliance,0.8%
27,Data Entry,0.8%
28,On-Time Delivery,0.8%
29,Service Levels,0.8%
30,Buyers,0.7%
31,Production Schedules,0.6%
32,Management System,0.6%
33,RFQ,0.5%
34,Customer Requirements,0.5%
35,OP,0.5%
36,Production Planning,0.4%
37,Customer Orders,0.4%
38,Lawson,0.4%
39,ISO,0.4%
40,KPI,0.4%
41,RFP,0.4%
42,Payment Terms,0.3%
43,Kanban,0.3%
44,Distribution Centers,0.3%
45,Product Line,0.2%
46,QA,0.2%
47,Cycle Counts,0.2%
48,Product Availability,0.2%
