Rank,skills,Percentage on Resumes
1,Business Process,17.6%
2,Analytics,11.9%
3,Dashboards,9.7%
4,Data Analysis,7.7%
5,Procedures,5.9%
6,Analyze Data,3.7%
7,Data Warehouse,2.9%
8,ETL,2.9%
9,R,2.7%
10,Data Quality,2.4%
11,HR,2.1%
12,Data Models,1.8%
13,KPI,1.5%
14,Ssrs,1.5%
15,SAS,1.5%
16,Ssis,1.5%
17,Key Performance Indicators,1.4%
18,Data Integrity,1.2%
19,Report Development,1.2%
20,Qlikview,1.1%
21,CRM,1.1%
22,Salesforce,1.1%
23,User Interface,0.9%
24,SQL,0.8%
25,Cognos,0.8%
26,VBA,0.8%
27,Sharepoint,0.7%
28,Ssas,0.7%
29,Pivot Tables,0.7%
30,Business Units,0.7%
31,Microstrategy Desktop,0.7%
32,Tableau,0.7%
33,Technical Support,0.6%
34,T-Sql,0.6%
35,Financial Statements,0.5%
36,Test Scripts,0.5%
37,Data Source,0.5%
38,Pl/Sql,0.5%
39,Data Extraction,0.5%
40,Data Validation,0.5%
41,Ad-Hoc Reports,0.4%
42,Java,0.4%
43,QA,0.4%
44,Technical Specifications,0.4%
45,Web Intelligence,0.4%
46,Visio,0.4%
47,ERP,0.4%
48,Olap,0.4%
49,Sdlc,0.3%
50,Informatica,0.3%
