Rank,skills,Percentage on Resumes
1,Database,17.3%
2,Disaster Recovery,6.1%
3,Customer Service,5.1%
4,SQL,4.7%
5,Linux,4.5%
6,Troubleshoot,4.4%
7,DBA,4.4%
8,Pl/Sql,3%
9,ETL,2.8%
10,Backup,2.7%
11,Setup,2.4%
12,Ssis,2.3%
13,Unix,2.3%
14,Capacity Planning,2.3%
15,High Availability,2.3%
16,Performance Issues,2%
17,Windows,1.8%
18,Data Warehouse,1.7%
19,Ssrs,1.7%
20,T-Sql,1.6%
21,Data Integrity,1.6%
22,Technical Support,1.5%
23,Production Environment,1.4%
24,DB2,1.3%
25,Java,1.3%
26,QA,1.2%
27,OEM,1.2%
28,SAN,1.2%
29,Business Process,1%
30,Sybase,0.9%
31,Sharepoint,0.9%
32,Perl,0.8%
33,Payroll,0.7%
34,HR,0.7%
35,ERP,0.7%
36,DEV,0.7%
37,User Accounts,0.6%
38,Internet,0.6%
39,Grid,0.6%
40,Mariadb,0.6%
41,CPU,0.6%
42,ASM,0.6%
43,AIX,0.6%
44,Teradata,0.5%
45,Solaris,0.5%
46,DDL,0.5%
47,Oltp,0.5%
48,Toad,0.5%
49,Html,0.5%
50,Data Migration,0.5%
