Rank,skills,Percentage on Resumes
1,Information Technology,18.2%
2,Procedures,15.2%
3,Customer Service,10.1%
4,Project Management,4.9%
5,Data Entry,4.1%
6,Hardware,4%
7,Technical Support,2%
8,Software Development,1.9%
9,SQL,1.9%
10,Business Process,1.9%
11,Computer System,1.8%
12,PC,1.8%
13,Active Directory,1.6%
14,Disaster Recovery,1.6%
15,Internet,1.6%
16,Management System,1.3%
17,Hipaa,1.3%
18,ERP,1.3%
19,Assurance,1.3%
20,Setup,1.1%
21,LAN,1.1%
22,Software Applications,1%
23,User Accounts,1%
24,Payroll,1%
25,Troubleshoot,1%
26,Windows,1%
27,Sharepoint,0.9%
28,Direct Reports,0.9%
29,Voip,0.8%
30,Unix,0.8%
31,Infrastructure,0.8%
32,Vmware,0.7%
33,VPN,0.7%
34,Network Security,0.7%
35,EDI,0.7%
36,Phone System,0.7%
37,Sdlc,0.7%
38,Linux,0.6%
39,Citrix,0.6%
40,HR,0.6%
41,MIS,0.6%
42,POS,0.6%
43,Intranet,0.5%
44,Vendor Relationships,0.5%
45,Local Area,0.5%
46,SAN,0.5%
47,Dhcp,0.4%
48,DNS,0.4%
49,PBX,0.4%
50,Access Points,0.4%
