Rank,skills,Percentage on Resumes
1,Cloud,13.9%
2,Business Process,8.4%
3,AWS,7.1%
4,Infrastructure,6.6%
5,Analytics,6.5%
6,Project Management,4.4%
7,Java,3.5%
8,API,2.4%
9,Solution Design,2.4%
10,Windows,2.2%
11,Vmware,2.2%
12,Web Services,2.1%
13,RFP,2%
14,Technical Solutions,1.9%
15,New Technologies,1.9%
16,Linux,1.9%
17,ERP,1.8%
18,Microservices,1.8%
19,Customer Requirements,1.8%
20,Saas,1.7%
21,SAN,1.7%
22,Javascript,1.6%
23,CRM,1.6%
24,Scrum,1.3%
25,BI,1.1%
26,SME,1.1%
27,IP,1.1%
28,Hadoop,1%
29,POC,0.9%
30,Html,0.8%
31,Json,0.8%
32,ETL,0.8%
33,SQL,0.8%
34,Jenkins,0.8%
35,Sdlc,0.7%
36,QA,0.7%
37,HR,0.7%
38,XML,0.6%
39,Technical Support,0.6%
40,Active Directory,0.6%
41,Visio,0.5%
42,CSS,0.5%
43,ROI,0.5%
44,Ruby,0.5%
45,S3,0.5%
46,SOA,0.5%
47,Sharepoint,0.5%
48,Github,0.4%
49,Informatica,0.4%
