Rank,skills,Percentage on Resumes
1,Procedures,11.8%
2,Business Process,9.5%
3,Customer Service,6.1%
4,Hardware,4.3%
5,Project Management,3.7%
6,Test Scripts,3.5%
7,Troubleshoot,3.5%
8,Technical Support,3.4%
9,C++,2.8%
10,C #,2.8%
11,Data Analysis,2.3%
12,User Interface,2.1%
13,SQL,2.1%
14,Java,2%
15,Windows,2%
16,Data Warehouse,2%
17,Management System,1.9%
18,Computer System,1.9%
19,Setup,1.7%
20,HR,1.6%
21,Systems Analysis,1.5%
22,Sdlc,1.4%
23,Linux,1.4%
24,Pl/Sql,1.3%
25,Sharepoint,1.3%
26,PC,1.3%
27,Unix,1.3%
28,Active Directory,1.3%
29,Software Development,1.3%
30,QA,1.2%
31,Html,1.1%
32,Technical Specifications,1.1%
33,ERP,1%
34,Visio,1%
35,XML,1%
36,Payroll,0.9%
37,Mainframe,0.9%
38,Technical Documentation,0.8%
39,CSS,0.8%
40,Internet,0.8%
41,Software Applications,0.8%
42,ETL,0.7%
43,Cobol,0.7%
44,EDI,0.7%
45,OS,0.7%
46,UAT,0.7%
47,SME,0.6%
48,Vmware,0.6%
49,DB2,0.5%
50,SAS,0.5%
