Rank,skills,Percentage on Resumes
1,Network Security,11.9%
2,Windows,7.2%
3,Hardware,5.6%
4,Troubleshoot,4.8%
5,Active Directory,4.2%
6,Email,4.2%
7,Routers,4.1%
8,LAN,3.3%
9,VPN,2.7%
10,Infrastructure,2.5%
11,Setup,2.5%
12,Access Points,2.5%
13,Technical Support,2.2%
14,Internet,2.1%
15,Vmware,2.1%
16,DNS,2.1%
17,Voip,2%
18,Linux,2%
19,PC,1.9%
20,User Accounts,1.9%
21,Dhcp,1.9%
22,Tcp/Ip,1.8%
23,Local Area,1.7%
24,Desktop,1.6%
25,Disaster Recovery,1.5%
26,IOS,1.4%
27,SQL,1.2%
28,SAN,1.2%
29,Backup,1.1%
30,Computer System,1.1%
31,OS,1.1%
32,Citrix,1%
33,Ospf,1%
34,BGP,1%
35,Network Problems,1%
36,ASA,0.9%
37,Unix,0.8%
38,Eigrp,0.8%
39,Group Policies,0.7%
40,Sharepoint,0.7%
41,Phone System,0.7%
42,Mpls,0.6%
43,Mac,0.6%
44,Symantec,0.6%
45,Ethernet,0.6%
46,Snmp,0.6%
47,Exchange Server,0.5%
48,IIS,0.4%
49,Virtual Machines,0.4%
