Rank,skills,Percentage on Resumes
1,Network Security,15.4%
2,Identity,13.3%
3,Information Security,6.1%
4,Security Solutions,4.2%
5,Incident Response,4%
6,Routers,3.4%
7,VPN,3.3%
8,Siem,3.1%
9,Internet,2.8%
10,Access Points,2.4%
11,Architecture,2.3%
12,DNS,2.3%
13,Business Process,2.1%
14,Infrastructure,2.1%
15,Juniper,2%
16,Ospf,2%
17,BGP,1.9%
18,Hipaa,1.7%
19,Windows,1.6%
20,Technical Support,1.6%
21,Project Management,1.6%
22,Linux,1.5%
23,PCI,1.4%
24,LAN,1.3%
25,SSL,1.3%
26,Security Design,1.2%
27,Security Issues,1.1%
28,SOX,1%
29,Ipsec,0.9%
30,DMZ,0.9%
31,F5,0.9%
32,Global Network,0.9%
33,Sourcefire,0.8%
34,Security Projects,0.8%
35,ASA,0.8%
36,Checkpoint,0.7%
37,Unix,0.7%
38,Tcp/Ip,0.7%
39,Active Directory,0.6%
40,Security Standards,0.6%
41,SQL,0.6%
42,Nexus,0.6%
43,Data Centers,0.5%
44,Ddos,0.4%
45,Voip,0.4%
46,RFP,0.3%
47,Itil,0.3%
