Rank,skills,Percentage on Resumes
1,Infrastructure,10.2%
2,Information Security,7.4%
3,Nmap,7.2%
4,Windows,7.2%
5,Routers,6%
6,Internet,6%
7,Wireshark,5.7%
8,Linux,5.2%
9,Vulnerability Assessments,5%
10,PCI,4.7%
11,Tcp/Ip,4.3%
12,IDS,2.7%
13,Juniper,2.6%
14,F5,2.1%
15,Ospf,1.9%
16,Siem,1.9%
17,Network Security,1.8%
18,BGP,1.8%
19,ASA,1.6%
20,Security Devices,1%
21,Unix,0.9%
22,Hipaa,0.9%
23,RSA,0.8%
24,SSL,0.8%
25,Arcsight,0.7%
26,Checkpoint,0.7%
27,Troubleshoot,0.6%
28,Itil,0.6%
29,IOS,0.6%
30,Mpls,0.6%
31,LAN,0.6%
32,DNS,0.5%
33,Nexus,0.5%
34,NAT,0.4%
35,Symantec,0.4%
36,Ipsec,0.4%
37,Active Directory,0.4%
38,PIX,0.4%
39,Cacti,0.4%
40,DMZ,0.4%
41,QOS,0.3%
42,OS,0.3%
43,Bluecoat,0.3%
44,DLP,0.3%
45,Access Points,0.3%
46,High Availability,0.3%
47,Radius,0.3%
