Rank,skills,Percentage on Resumes
1,Identity,11.2%
2,Information Security,7%
3,Customer Service,6.1%
4,Facility,5.2%
5,Access Control,4.7%
6,Troubleshoot,4.4%
7,Security Procedures,3.8%
8,Data Entry,3.5%
9,Active Directory,3.3%
10,SCI,3.2%
11,HR,2.8%
12,DOD,2.8%
13,Emergency,2.4%
14,Security Systems,2.3%
15,Security Requirements,2.2%
16,Linux,2%
17,Ensure Compliance,1.8%
18,Physical Security,1.7%
19,Jpas,1.6%
20,Powerpoint,1.6%
21,IDS,1.5%
22,Joint Personnel,1.5%
23,User Access,1.4%
24,SQL,1.3%
25,Internet,1.3%
26,Unix,1.2%
27,Security Issues,1.1%
28,Security Access,1.1%
29,Document Control,1.1%
30,Technical Support,1.1%
31,DSS,0.9%
32,Setup,0.9%
33,Lotus Notes,0.9%
34,Sharepoint,0.8%
35,Sensitive Information,0.8%
36,Security Department,0.8%
37,Hipaa,0.7%
38,Clearance,0.7%
39,User Accounts,0.7%
40,Nispom,0.7%
41,Mcafee,0.7%
42,SOX,0.7%
43,VPN,0.6%
44,Ldap,0.6%
45,Windows,0.6%
46,DNS,0.6%
47,Law Enforcement,0.6%
48,FSO,0.6%
49,Peoplesoft,0.5%
50,PCI,0.5%
