Rank,skills,Percentage on Resumes
1,Java,6.6%
2,Javascript,6.6%
3,Python,5.8%
4,C++,5.6%
5,Software Development,5.6%
6,Web Services,4.7%
7,Json,4.6%
8,Jquery,3.5%
9,Css3,3.3%
10,GIT,3.3%
11,Design Patterns,3.1%
12,XML,3%
13,Objective-C,2.9%
14,CSS,2.8%
15,Angularjs,2.8%
16,Html,2.7%
17,User Interface,2.5%
18,Ajax,2.3%
19,Xamarin,2.2%
20,Android,2%
21,Jenkins,1.9%
22,Scrum,1.8%
23,New Features,1.6%
24,Code Reviews,1.5%
25,Cordova,1.5%
26,IOS,1.1%
27,Backend,1%
28,SQL,0.9%
29,MVC,0.9%
30,API,0.9%
31,Version Control,0.9%
32,PHP,0.9%
33,Ux,0.8%
34,Ui,0.8%
35,Github,0.8%
36,SDK,0.7%
37,QA,0.7%
38,Jira,0.7%
39,Facebook,0.6%
40,Bitbucket,0.6%
41,Push Notifications,0.6%
42,Twitter,0.5%
43,Sqlite,0.5%
44,Agile Methodology,0.5%
45,Linux,0.5%
46,Core Data,0.4%
47,Ruby,0.4%
