Rank,skills,Percentage on Resumes
1,Python,10.4%
2,Java,8.9%
3,Software Development,8.7%
4,Procedures,4.3%
5,Web Services,4%
6,GIT,3.9%
7,Database,3.8%
8,Linux,3.7%
9,C++,3.2%
10,API,3.1%
11,CSS,3%
12,Scrum,2.7%
13,Html,2.4%
14,Front End,2.2%
15,Jenkins,1.8%
16,Code Reviews,1.8%
17,New Features,1.7%
18,Jira,1.6%
19,Android,1.4%
20,Test Scripts,1.4%
21,SQL,1.3%
22,PHP,1.3%
23,Microservices,1.3%
24,Unix,1.3%
25,XML,1.3%
26,Ruby,1.2%
27,Json,1.1%
28,MVC,1.1%
29,Version Control,1.1%
30,Curiosity,1%
31,Jquery,1%
32,Internet,1%
33,Perl,1%
34,QA,1%
35,User Interface,0.9%
36,Github,0.9%
37,Maven,0.9%
38,Elasticsearch,0.8%
39,OS,0.8%
40,Sdlc,0.8%
41,Angularjs,0.8%
42,Business Process,0.7%
43,Bitbucket,0.6%
44,Junit,0.5%
45,Pl/Sql,0.5%
46,Ajax,0.5%
47,Tomcat,0.5%
48,J2Ee,0.5%
49,Management System,0.4%
