Rank,skills,Percentage on Resumes
1,Web Services,10.9%
2,Javascript,9.2%
3,Web Content,4.9%
4,CSS,4.8%
5,Html,4.8%
6,Jquery,4.3%
7,Front End,4.2%
8,PHP,3.8%
9,GIT,3.3%
10,User Interface,3.3%
11,Database,3.1%
12,Html5,3.1%
13,API,3%
14,Java,3%
15,Python,2.8%
16,Procedures,2.4%
17,Css3,1.9%
18,SQL,1.7%
19,MVC,1.7%
20,Json,1.6%
21,XML,1.6%
22,Ajax,1.5%
23,Windows,1.2%
24,Pl/Sql,1.2%
25,SEO,1.2%
26,Linux,1%
27,Scrum,0.9%
28,Version Control,0.9%
29,Ruby,0.9%
30,Jira,0.9%
31,Drupal,0.8%
32,Internet,0.7%
33,Business Process,0.7%
34,SVN,0.7%
35,Photoshop,0.7%
36,Sharepoint,0.7%
37,ASP,0.7%
38,Analytics,0.6%
39,Github,0.6%
40,Angular JS,0.6%
41,QA,0.6%
42,New Features,0.6%
43,Sass,0.6%
44,Jenkins,0.5%
45,Sdlc,0.5%
46,Webpack,0.5%
47,Intranet,0.4%
48,JSP,0.4%
