Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Business Analyst,Dubai,Q-Express Documents Transport,None,"We are looking for a Business Analyst to proactively identify customer pain points with significant business impact, facilitate analysis to identify…",None,None,3/9/21
Product Analyst,Dubai,Atechy Group,"4,000-8,000","Collaborate with the product, technology, marketing, Business Intelligence and executive teams to translate key business questions into actionable…",None,5,3/11/21
Business Analyst,Dubai,Amazon Middle East and NA FZ,None,"3+ years in the analysis space as a Business Analyst, Business Intelligence, Data Engineer, or similar role. Bachelor's degree in computer science, engineering,…",None,None,2/27/21
Threat Intelligence Analyst,Dubai,Help AG,None,"The Level two (2) MSS Threat Intelligence Analyst will be responsible for analysing, curating, and publishing threat intelligence.",None,None,3/15/21
Business Analyst- Near East. Based in Lebanon,Dubai,Merck KGaA,None,"As a Business Analyst, you will liaison and collaborate with the commercial Team, SNO, finance and other business functions.",None,None,3/15/21
Incident Response Analyst,Dubai,IBM,None,"IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition. What about all of these?",None,None,3/23/21
Financial Analyst,Dubai,Key Information Technology,"4,000-5,000","Perform market research, data mining, business intelligence, and valuation comps. Proficiency with Microsoft Excel is mentioned in virtually any financial…",None,2,3/4/21
Credit Analyst,Dubai,Tricon Energy,None,"Familiarity with business intelligence tools and ERP systems (JD Edwards and Oracle BI a plus). Degree in Business, Finance, Accounting, or related field…",None,None,3/5/21
"Senior Analyst, BI & Insights",Dubai,Majid Al Futtaim,None,"The person in this role will synthesize complex data from multiple sources to deliver business insight and strategic guidance to business units, and executive…",Senior,None,3/19/21
Sr. Selection Business Intelligence Engineer,Dubai,Amazon Middle East and NA FZ,None,"2+ years of relevant experience in a business analyst, data analyst or statistical analysis role. Work closely with business managers and stakeholders to…",Senior,None,2/21/21
Account Analyst Intern - Placement Year,Dubai,Snapchat,None,"Some experience of business intelligence tools such as SQL, Tableau, and Looker. We’re looking for a Business Analyst Intern to join our International Sales…",None,None,3/13/21
Leasing Analyst,Dubai,Majid Al Futtaim,None,Work closely with Business Intelligence unit and Marketing Insights to analyse Market studies pertaining to rents across all markets.,None,None,3/12/21
Data Analyst - Supply Chain,Dubai,Chalhoub Group,None,To grasp the business insights. Anticipate critical business questions and opportunities and deliver key insights to the business that make significant impacts.,None,None,2/21/21
Cyber Threat Intelligence Analyst,Dubai,DTS Solution,None,Initiates ad-hoc threat intelligence work parcel assignments for Tier I/II analysts and reviews/expands the SOC daily recurring activity SOP’s.,None,None,2/21/21
HIE Workflow Analyst,Dubai,Win Win HR Consultancy,None,"In any business model, small scale or large scale, the key resource for a successful business is the Human Resource. Hence it's a ""WIN WIN"" for both sides.",None,None,2/21/21
"Sugar Analyst, Agriculture Analytics",Dubai,S&P Global,None,"BA Degree in relevant field e.g. Economics/Econometrics, Business, Statistics preferred. You make better informed trading and business decisions with conviction…",None,None,2/27/21
Threat Hunting and Intelligence Analyst,Dubai,Help AG,None,"The Level two (2) MSS Threat Intelligence Analyst will be responsible for analysing, curating, and publishing threat intelligence, reverse engineering malware…",None,None,3/15/21
Insights Manager,Dubai,Bayut | dubizzle,None,The Insights Manager will report directly into the Head of Ad Operations and will support the business in providing insights to clients and business…,None,None,3/8/21
Regional Business Analyst – Sales Performance,Dubai,Charterhouse Consultancy PTE Ltd,None,Charterhouse is working with a global leader in interactive technology who are looking to hire a Business Analyst to handle the Middle East region.,None,None,2/21/21
Penetration Testing Consultant / Cyber Security Analyst - Re...,Dubai,DTS Solution,None,Emulates and applies real world threat intelligence and attacker techniques to effectively test organizational security. Runs and manages vulnerability scans.,None,None,2/21/21
Head of Compliance / MLRO - UAE,Dubai,Mamo,None,"Experience collaborating with multidisciplinary teams of Product Managers, Engineers, and business/risk analysts. Help us safeguard Mamo Pay.",None,None,3/2/21
Manager - Digital Solutions,Dubai,Majid Al Futtaim,None,"Business Intelligence – Microsoft Power BI, Google Studio. Assess the requirements working closely with the IT business partners, technical manager and business…",None,None,3/12/21
Governance Analyst,Dubai,Win Win HR Consultancy,None,"In any business model, small scale or large scale, the key resource for a successful business is the Human Resource. Hence it's a ""WIN WIN"" for both sides.",None,None,2/21/21
Consultant - DigitalBCG,Dubai,Boston Consulting Group,None,"Business Analyst or Product Owner), leadership roles in tech start-ups or consulting experience from digital boutiques or think tanks (e.g.",None,None,2/26/21
Senior Account Executive - Dubai,Dubai,OutSystems,None,"Articulate the value proposition and be familiar with ROI and TCO tools at a business level to provide to Business Stakeholders. So, let’s cut to the chase:",Senior,None,2/21/21
SOC Manager,Dubai,HAYS,None,"Utilises emerging threat intelligence (IOCs, updated rules, etc.). Engagement with senior Business executives with ability to present findings and update.",None,None,2/21/21
