Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Chief Finance Officer,Dubai,Melodica Music & Dance Institute,None,"Develops finance organizational strategies by contributing financial and accounting information, analysis, and recommendations to strategic thinking and…",None,None,2021-03-17
Chief Data Officer,Dubai,ArabyAds,None,"Knowledge of relevant applications, big data solutions, and tools Chief Data Officer Requirements: We are seeking a Chief Data Officer to be responsible for…",None,None,2021-03-15
Chief Executive Officer,Dubai,Nathan & Nathan,None,9Skills of communication and contact with others and the delivery of technical information to non-specialists. The Chairman of the Board of Directors.,None,None,2021-02-20
Chief Technology Officer – Digital Agency – Dubai,Dubai,Salt Recruitment,None,Salt are currently representing an established Digital agency based in Dubai who have instructed us on a search for a CTO to join their Dubai HQ and head up…,None,None,2021-03-02
Senior Administrative Officer,Dubai,Zayed University,None,"Prepares reports by collecting information. Conducts research, gathers and compiles data/ information and prepares reports. Add To Basket Refer Apply Now.",Senior,None,2021-02-20
Chief Digital Officer,Dubai,Eaton SAKS International,None,The fundamental responsibility is to lead the organization Information and technology strategic goals and digital objectives.,None,None,2021-02-23
Adoption Specialist,Dubai,3M,None,"As a leader in this company, my goal is to ensure each 3Mer sees and feels the positive impact we’re making around the world” – Mike Roman, chief executive…",None,None,2021-03-16
COO,Dubai,Rawaj - Human Capital Management,None,VP Operations are also known as Chief Operating Officers (COOs). They are responsible for overseeing and managing company's or organisation's day-to-day…,None,None,2021-03-09
Account Executive - Global,Dubai,EasyGenerator,None,"The opportunity to work closely together with our Chief Revenue Officer, a former Google and Salesforce employee. We are growing approximately 100% per year.",None,None,2021-03-09
Network Engineer L2,Dubai,Axiom Technologies,None,Reporting to the Chief Technology Officer. Please visit our website for more information about what we do at www.axiomtechnologies.com.,None,None,2021-02-20
Head of Enterprise Mobility,Dubai,GEMS Education,None,"The Manager – Mobility Platforms, reporting to the Chief Product Officer - is responsible to lead architecture design, development, and rollout of mobile driven…",None,None,2021-02-20
Global Business Development Representative,Dubai,EasyGenerator,None,Work with our experienced Chief Revenue Officer (a former Google and Salesforce employee) to lay out and execute Easygenerator’s strategic sales agenda.,None,None,2021-02-20
Account Executive,Dubai,Sitecore,None,"Define opportunity and close plans, manage the sales-cycle, building effective buying relationships, comfortable positioning Sitecore to C-level executives …",None,None,2021-02-26
• Director of Library Services,Dubai,American University in Dubai,None,"Consultation with the Chief Financial Officer, and makes necessary decisions to effectively spend. Contact information of three (3) academic/professional…",None,None,2021-02-20
Emergency Doctor (Mali / Kosovo),Dubai,Iqarus,None,Provision of clinical reporting into Iqarus Chief Medical Officer. Support the clinical excellence framework under direction from the Chief Medical Officer.,None,None,2021-02-20
Group Head of Communications (Arabic speakers only),Dubai,Tiro International,None,Our client - a large multi-billion dollar conglomerate group is looking to recruit Group Head of Communications (reporting directly to Group Chief Operating…,None,None,2021-02-20
Account Executive - French speaking,Dubai,EasyGenerator,None,"The opportunity to work closely together with our Chief Revenue Officer, a former Google and Salesforce employee. We are growing approximately 100% per year.",None,None,2021-03-03
MEPT Emergency Doctor (Mali),Dubai,Iqarus,None,Provision of clinical reporting into Iqarus Chief Medical Officer. Support the clinical excellence framework under direction from the Chief Medical Officer.,None,None,2021-02-20
Senior Administrative Officer,Dubai,Zayed University,None,"The Opportunity Reporting to the Chief Administrative and Finance Officer(CAFO),the incumbent provides senior level administrative,logistical,and…",Senior,None,2021-02-20
Adoption Specialist,Dubai,3M,None,3M has a long-standing reputation as a company committed to innovation. We provide the freedom to explore and encourage curiosity and creativity. We gain new…,None,None,2021-03-16
COO,Dubai,Rawaj - Human Capital Management,None,COO job profile VP Operations are also known as Chief Operating Officers (COOs). They are responsible for overseeing and managing company's or organisation's…,None,None,2021-03-09
Chief Digital Officer,Dubai,Eaton SAKS International,None,The Role: The fundamental responsibility is to lead the organization Information and technology strategic goals and digital objectives. This role will work…,None,None,2021-02-23
Network Engineer L2,Dubai,Axiom Technologies,None,Network Engineer L2 Axiom Technologies is an Australia based entity with the history of providing Managed IT solutions to medium to large scale enterprises…,None,None,2021-02-20
Account Executive - Global,Dubai,EasyGenerator,None,Company Description Easygenerator empowers organizations to unlock and share their knowledge online. We do this by simplifying and accelerating their…,None,None,2021-03-09
Global Business Development Representative,Dubai,EasyGenerator,None,"Company Description Easygenerator provides cloud-based eLearning authoring software used by enterprise clients such as Kellogg's, T-Mobile, and The Nielsen…",None,None,2021-02-20
Account Executive,Dubai,Sitecore,None,"Account Executive Sitecore is the global leader in digital experience management software that combines content management, commerce, and customer insights.…",None,None,2021-02-26
Head of Enterprise Mobility,Dubai,GEMS Education,None,"About The Role Job Purpose: The Manager – Mobility Platforms, reporting to the Chief Product Officer - is responsible to lead architecture design,…",None,None,2021-02-20
• Director of Library Services,Dubai,American University in Dubai,None,Director of Library Services The American University in Dubai invites qualified applicants to apply for the position of Director of Library Services. The…,None,None,2021-02-20
Emergency Doctor (Mali / Kosovo),Dubai,Iqarus,None,"Company Description Iqarus has a proud history, extending over 40 years, of delivering fully-integrated healthcare solutions in complex and demanding…",None,None,2021-02-20
Group Head of Communications (Arabic speakers only),Dubai,Tiro International,None,Key Responsibilities will include: Our client - a large multi-billion dollar conglomerate group is looking to recruit Group Head of Communications (reporting…,None,None,2021-02-20
Account Executive - French speaking,Dubai,EasyGenerator,None,Company Description Easygenerator empowers organizations to unlock and share their knowledge online. We do this by simplifying and accelerating their…,None,None,2021-03-03
MEPT Emergency Doctor (Mali),Dubai,Iqarus,None,"Company Description Iqarus has a proud history, extending over 40 years, of delivering fully-integrated healthcare solutions in complex and demanding…",None,None,2021-02-20
Chief Information Securiy Officer,Abu Dhabi,Robinson Faris Jones - Human Resources (RFJ-HR),None,"Role summary The Chief Information Security Officer (“CISO”) will direct strategy, operations and budget for the purpose of protecting the enterprise…",None,None,2021-03-07
COO ( Facilities Management Backgorund),Abu Dhabi,Street Bites,"40,000","Provide timely, accurate and complete information to the Chief Executive Officer on the progress of individual departments and the Company as a whole.",None,None,2021-03-21
Chief Information Security Officer (CISO) - Abu Dhabi,Abu Dhabi,Black Pearl Consult,None,"Our client, a large entity based in Abu Dhabi, is currently looking for a Chief Information Security Officer (CISO) . At least 5 years in a leadership role.",None,None,2021-02-20
Group Chief Financial Officer,Abu Dhabi,Black Pearl Consult,None,"Our client a large group of companies based in Abu Dhabi, is currently looking for a Group Chief Financial Officer . Develop financial and tax strategies.",None,None,2021-03-07
