Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Data Analyst,Dubai,Nathan & Nathan,None,5-7yrs experience in Data Analytics. Knowledge of Data Science tools like Python or R. Advanced Excel skills with knowledge building data models in Power BI.,None,None,2021-03-17
BUSINESS DATA ANALYST,Dubai,JAZAL GROUP,None,"Major in data statistics is preferred. High data sensitive, sense of purpose. Proven experience in data management and analysis*.",None,None,2021-03-15
Junior Data Analyst,Dubai,Cheil Worldwide,None,Able to manage task within given timeline and complete data collection daily. Entering & uploading collected data on software systems & website.,Junior,None,2021-03-17
Data Analyst,Dubai,MINISO JAPAN - UAE,"3,500-5,000","Proven experience in data management and analysis. Bachelor degree or above, major in data statistics is preferred. Other tasks assigned by superiors.",None,None,2021-02-18
Associate Data Analyst,Dubai,Bayut | dubizzle,None,Development of data collection processes and data management systems. We are looking for a Data Analyst to join our Product team.,None,None,2021-03-08
Data Analyst,Dubai,Munich RE,None,"Validate data to ensure confidence in data quality. Data architectures (experience in movement of data, models, policies, rules or standards).",None,None,2021-02-18
MIS Analyst,Dubai,Allegiance Real Estate L.L.C,"10,000",Perform data analysis for generating reports on periodic basis. Provide support and maintenance to existing management information systems (MIS).,None,None,2021-02-18
ERP Implementation and Support Analyst,Dubai,Polaris Technology,"2,500-4,000",Data Encoding in the system during implementation. Directly handle all customer concerns and issues in implementation and support after the contract has been…,None,2,2021-03-15
Data Analyst - Intern,Dubai,Cheil Worldwide,None,"Correlation, causation, regression analysis) • Familiarity with data visualization (charting data) • Understanding of key metrics used to monitor digital…",None,None,2021-03-08
Data Analyst,Dubai,Kitopi,None,Work with the team of other Data Analysts and Data Engineers to build a strong culture of constructive thinking and togetherness. What Are We Looking For?,None,None,2021-02-18
Data Analyst,Dubai,Al Zahra Pvt. Hospital Dubai,None,Looking for a Data Analyst/ Statistician for Quality Department . Healthcare background is a must . Must work with healthcare KPIs .,None,None,2021-02-18
"Global Investment Research, Equity Research, Business Analys...",Dubai,Goldman Sachs,None,"Our analysts work on client-focused research in the equity, fixed-income, currency, and commodities markets, mining big data that enters markets around the…",None,None,2021-03-20
Executive Secretary - Chairman,Dubai,Eurostar Group,"8,000-10,000","Evaluate performance by analyzing and interpreting data and metrics. This job is not a Secretarial job, this is specifically a kind of Business Analyst role.",None,10,2021-03-03
"Associate Analyst, Business Analysis - Mastercard Launch (Gr...",Dubai,MasterCard,None,"An immersive skills development event focused on learning about Mastercard's business and customers, and experiencing our purpose-driven culture in action.",None,None,2021-03-17
Financial Analyst,Dubai,Key Information Technology,"4,000-5,000","Familiarity with data query/data management tools is extremely helpful. Perform market research, data mining, business intelligence, and valuation comps.",None,2,2021-03-03
Data/Digital Analyst - Dubai,Dubai,OnePoint,None,"CRM/PII data management from various source such as company website, apps and local on/offline marketing activities.",None,None,2021-02-18
PPM Analyst,Dubai,Zurich Insurance,None,Excellent data visualisation skills (e.g. Act as a performance reporting expert to the business by utilising excellent data visualisation skills.,None,None,2021-03-19
Data Science Immersive Instructor,Dubai,Adecco Group Internal,None,Deepen your own skills by guiding students through a rigorous journey where they begin as driven novices and leave as empowered data analysts and scientists.,None,None,2021-03-19
Sales & Commercial Data Analyst,Dubai,The Rekruiters,"8,000","2-5 years’ experience as a data analyst, Sales analyst or Trade Marketing analyst, preferably within the FMCG industry. We are looking for you!",None,None,2021-03-09
Data Analyst - Supply Chain,Dubai,Chalhoub Group,None,"Our Data Analyst - Supply Chain is responsible for mining multiple sources of data, derive actionable insights, and translate complex results or algorithms into…",None,None,2021-02-18
"Associate Analyst, Strategic Partnerships, Mastercard Launch...",Dubai,MasterCard,None,Leverages data tools to develop revenue and expense benchmarks and performance trends. An immersive skills development event focused on learning about…,None,None,2021-03-17
Procurement Analyst,Dubai,BRF,None,Take an active role in master data management for procurement processes; Have you ever imagined to be part of one of the biggest food companies in the world?,None,None,2021-03-01
Senior Business Analyst,Dubai,BNY Mellon,None,"Maintains the CRM database, assisting with data entry ensuring data integrity and quality assurance and reporting. Account planning information as appropriate.",Senior,None,2021-03-18
Data Centre Analyst,Dubai,HAYS,None,"DATA CENTRE ANALYST 3 month extendable To monitor, maintain, analyse and troubleshoot data centre equipment. Data Centre certifications highly desirable.",None,None,2021-03-17
RTA Data Analyst (Arabic speakers only),Dubai,ultimate HR,"11,000", Collect and analyze data.  Conducting transportation data analytics and cost research.  Providing recommendations based on data analyses and research.,None,2,2021-03-18
School ABA Therapist/LSA,Dubai,Carbone Clinic,"7,000",To follow the conduct and professional guidelines as described on the BACB Professional and Ethical Compliance Code for Behavior Analysts.,None,1,2021-03-17
Financial Analyst Intern,Dubai,Amazon Middle East and NA FZ,None,"Experience working with large-scale data mining and reporting tools (e.g., SQL, MS Access, Essbase, and/or Cognos). Want to know more about our opportunities?",None,None,2021-02-18
"JUNIOR TRADER / ANALYST - Dubai, UAE",Dubai,Cobblestone Energy,None,"Junior Trader / Analyst - Commercial Development Programme - Dubai, UAE. We make use of advanced data analytics and extensive research to drive profitable…",Junior,None,2021-02-18
Data Analyst,Dubai,RTC-1 Employment Services,None,"Manage master data including creation, updates and deletion - Provide quality assurance of imported data - Help develop reports and analysis - Generate reports…",None,None,2021-02-18
Credit Risk Analyst,Dubai,Citi,None,"Interprets data and makes recommendations. The Risk Policy Analyst II is a developing professional role. Identifies inconsistencies in data or results, defines…",None,None,2021-03-17
