Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Data Analytics and AI Intern,Dubai,Delphi Computer and Software Trading LLC.,None,"Designing complex data management, data warehouse, and advanced analytics software to design and build modern data warehouses in the cloud.",None,None,2021-03-05
Analytics & Insights (A&I) Internship - Summer 2021,Dubai,Procter & Gamble,None,"Data Analytics, Social studies or anthropological /psychology background a plus (optional). Strong analytical skills using multiple data sources.",None,None,2021-03-03
Data Scientist,Dubai,GRMC Advisory Services,None,"Big Data • Coding • Data Acquisition • Data Analytics • Data Mining, Cleaning and Munging • Data Visualization and Reporting • Data Wrangling • Exploratory Data…",None,None,2021-03-10
Data Scientist – Machine & Deep learning (H/F),Dubai,DAVIDSON,None,"De formation ingénieur / BAC+5, tu as déjà réussi plusieurs projets dans le domaine de la Data Science. Dans le cadre de projets Data Science menés par Davidson…",None,None,2021-02-19
"Consultant, Content and Digital",Dubai,APCO Worldwide,None,"Experience in industry-standard Analytics and Big Data tools would be a strong plus. The Consultant, content and digital, will partner with clients to develop,…",None,None,2021-03-18
Product Manager - AI & Data Analytics,Dubai,unifonic,None,"Product Manager - AI & Data Analytics. Hands-on 7+ years of recent experience as a Product Manager, Owner, Consultant in AI & Data Analytics Products.",None,None,2021-02-19
Analytics & Insights Manager,Dubai,Procter & Gamble,None,"Data Analytics, Social studies or anthropological /psychology background a plus (optional). Strong analytical skills using multiple data sources.",None,None,2021-02-19
Senior Data Analyst,Dubai,Artefact,None,"As a Senior Data & Analytics Consultant, your role will encompass: Among your responsibilities as Senior Data & Analytics Consultant, you will be responsible…",Senior,None,2021-02-19
Senior Business Analyst,Dubai,BNY Mellon,None,"Maintains the CRM database, assisting with data entry ensuring data integrity and quality assurance and reporting. Developments with the consultant community.",Senior,None,2021-03-18
Associate - DigitalBCG,Dubai,Boston Consulting Group,None,"Big data & advanced analytics, Strategy, Technology & digital. Our consultants within DigitalBCG are an integral part of BCG's core consulting team;",None,None,2021-02-25
Professional Services Consultant - Dubai,Dubai,Innovative Systems,None,"Knowledge of data management concepts, data analytics, data quality, data integration, business intelligence, CRM, Report Writer, or similar technologies.",None,None,2021-02-19
Digital Marketing Consultant,Dubai,An Advertising Agency,None,"Prepare reports using internal data and Google Analytics to assess performance. Are you creative, dynamic and passionate? Analyze sales and marketing metrics.",None,3,2021-03-15
Marketing Officer,Dubai,Fortes Education,None,"O Google AdWords o Search engine optimization (SEO), SEM, PPC, Display Advertising, online PR, Web Analytics, Lead Generation, Online Reputation Management,…",None,None,2021-02-19
Associate Director - Energy Efficiency Consulting,Dubai,Guidehouse,None,Our consultants must demonstrate considerable business acumen and an acute focus on maximizing client value. Guidehouse is a leading management consulting firm…,None,None,2021-02-19
Paid Ads Specialist,None,Upgrade Digital,"4,000-8,000",Solid knowledge of website and marketing analytics tools. Google Analytics & Google Ads experience. UPGRADE DIGITAL is a performance-based marketing agency…,None,1,2021-02-19
"SENIOR CONSULTANT, DIGITAL VALUE ARCHITECT",Dubai,Four Principles,None,"2+ years professional work experience with data science, data visualization and data integration. Solutions related to Data Analytics, RPA, IoT and Industry 4.0…",Senior,None,2021-02-19
Account Director - Technology,Dubai,Hill+Knowlton Strategies,None,"H+K Strategies is a global communications company with strategy, creativity and innovation sitting at the centre, underpinned by Data + Analytics at every point…",None,None,2021-02-24
Account Executive (m/f/d),Dubai,Artefact,None,"State of the art data technologies, lean AI agile methodologies for fast delivery, and cohesive teams of the finest business consultants, data analysts, data…",None,None,2021-02-19
Marketing Officer,Dubai,Fortes Holdings,None,"O Google AdWords o Search engine optimization (SEO), SEM, PPC, Display Advertising, online PR, Web Analytics, Lead Generation, Online Reputation Management,…",None,None,2021-02-19
Associate Partner Infrastructure Solutions & Services,Dubai,IBM,None,"Data center technologies and operations. At least 10 years of experience as IT consultant. In this new era of Cognitive Business, IBM is helping to reshape…",None,None,2021-03-02
Big Data Developer with strong Hadoop expertise,Dubai,itForte,None,Strong experience in distributed systems and back-end data management on Oracle RDBMS. 4+ years’ in Big Data applications development minimum 1+ year experience…,None,None,2021-02-19
"Manager, Forensic Technology/ eDiscovery",Dubai,Alvarez & Marsal,None,"Data Mining and Database Analytics; A data analytics skill set is desirable, including the ability to perform financial & accounting systems’ analyses & queries…",None,None,2021-03-03
European Social media and marketing consult,Dubai,ADXP consultancy,None,Google Analytics and AdWords certifications are advantageous. \*Social media and marketing Consultant general job responsibilities :,None,None,2021-03-21
Sales Engineer MEA,Dubai,"Alteryx, Inc.",None,"5+ years of pre-sales or consultant experience in data analytics, business intelligence, or data science. We’re looking for problem solvers, innovators, and…",None,None,2021-02-26
"Manager, Head of Account Management",Dubai,Amazon Middle East and NA FZ,None,"Experience analyzing data and best practices to assess performance drivers. You will lead your team to be strategic consultants for multiple verticals,…",None,None,2021-02-19
Head of UX Design,Dubai,Carter Murray,None,Work with the data and analytics team and tools to collect and report performance data to inform continual service improvements and provide ongoing assurance…,None,None,2021-03-20
Senior Solution Architect,Dubai,Emirates NBD,None,Comprehensive knowledge and outstanding technical skills of software designs data flow analytics and different integration solutions. AS Mentioned in the JD.,Senior,None,2021-02-19
ZOHO DEVELOPER / SPECIALIST,Dubai,Agile Consultants,None,"Provide on-site support for ad hoc requests, coding, live chat, lookup and company module data sync between CRM, Books and Analytics.",None,None,2021-02-19
"Associate, Forensic Technology",Dubai,Alvarez & Marsal,None,Data Mining and Database Analytics; Proficiency using the Relativity eDiscovery tool and a full understanding of the necessary workflow required from data…,None,None,2021-03-03
Sales Manager,Dubai,Euclidz Technologies,"5,000-12,000","4+ years of B2B sales experience, outbound sales experience in selling Data Warehouse, Data Analytics, SaaS, Cloud products and solutions.",None,5,2021-03-19
Data Analytics Intelligence Consultant,Abu Dhabi,Marc Ellis Consulting,None,"To perform data analytics activity related to customer data and transaction for deploying right set of rules in Transaction monitoring systems for the Group,…",None,None,2021-02-19
Business Analyst Intern,Abu Dhabi,McKinsey & Company,None,"Demonstrated outstanding academic performance and an aptitude for analytics. You will also work with many experts, from data scientists and researchers to…",None,None,2021-02-19
Associate,Abu Dhabi,McKinsey & Company,None,"You will also work with many experts, from data scientists and researchers to software and app designers. You'll work in teams of typically 3 - 5 consultants,…",None,None,2021-02-19
Sr. Tableau Consultant,Abu Dhabi,IRISSTAR Technologies,"8,000-10,000","Row-level security, users, groups, projects, privileges, and etc. • Expertise in data modelling; Fact and dimensional table design, star/snow flake modelling,…",Senior,None,2021-02-19
Business Analyst,Abu Dhabi,McKinsey & Company,None,"You will also work with many experts, from data scientists and researchers to software and app designers. You’ll work in teams of typically 3 – 5 consultants,…",None,None,2021-02-19
Tableau Consultant,Abu Dhabi,IRISSTAR Technologies,None,"Experience in building analytics using multiple data sources, and data of different level of granularity. Fact and dimensional table design, star/snow flake…",None,None,2021-03-10
Associate - Operations,Abu Dhabi,McKinsey & Company,None,"Blending strategic thinking with hands-on practicality, our teams of consultants and experts work to develop and implement operational strategies that solve our…",None,None,2021-02-19
Claims Executive,Abu Dhabi,Willis Towers Watson,None,"From employee benefits to executive compensation, we take a rounded perspective, based on leading-edge thinking, data, analytics and software, unearthing new…",None,None,2021-02-19
Marketing & Communications Coordinator Internship (Minimum S...,Abu Dhabi,Alpin Limited,None,"Create reports from social media analytics data; Knowledge of digital marketing techniques such as SEA, SEO, web design and analytics, email marketing, data…",None,None,2021-02-19
Consultant – Risk Data Engineer,Abu Dhabi,Marc Ellis Consulting,None,"He / She will be required to ingest data in datamart, do meaningful analysis including data quality, create variables and publish them into logical/physical…",None,None,2021-02-19
Sr. Tableau Consultant,Abu Dhabi,Synergein Technology LLC,None,"Experience in building analytics using multiple data sources, and data of different level of granularity. Fact and dimensional table design, star/snow flake…",Senior,3,2021-03-10
ID - Strategy& - Senior Manager,Abu Dhabi,Strategy&,None,"They are also expected to coach the team on data analytics including but not limited to identification of valid data points, triangulation from multiple data…",Senior,None,2021-02-19
Oracle Fusion Financials/Procurement,Abu Dhabi,KPMG,None,"Experience in Supplier Planning , Product Data Hub and Supplier Analytics would be added advantage. Oracle Fusion Financials Senior Consultant.",None,None,2021-02-19
"Deals - Strategy & Operations – Senior Manager (Technology,...",Abu Dhabi,PwC,None,"And, Understanding advanced analytics and big data is preferred. Data centre, cloud and managed services, IoT, fintech, e-commerce, gaming, OTT, etc.",Senior,None,2021-02-19
Murex Integration Senior Consultant,Abu Dhabi,Marc Ellis Consulting,None,"Excellent analytic and technical skills. In-Depth knowledge of Murex MxMLExchange, Market Data Batch and Live modules and Murex Data model.",Senior,None,2021-02-28
SAP IBP Team Leader (Sales & Delivery),Abu Dhabi,IBM,None,"As a Package Consultant at IBM, get ready to tackle numerous mission-critical company directives. Demonstrate strong ability to analyze and consult with clients…",None,None,2021-02-24
"Deals - Strategy & Operations - Energy, Utilities - Manager...",Abu Dhabi,PwC,None,"Understanding advanced analytics and big data is preferred. Overseeing the successful delivery of projects, which may include multiple projects at a time, while…",None,None,2021-02-19
