Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Post Sales - Infrastructure Technical Engineer,None,CLOUD BOX TECHNOLOGIES LLC,"2,000-10,000","Successful infrastructural engineers should have good communication and collaboration skills, excellent analytical, problem-solving, and time-management skills,…",None,None,2021-03-06
Network Support Engineer,None,FOMI technologies LLC,"5,000-8,000","O Maintain data center environmental and monitoring equipment. O Perform daily backup operations, ensuring all required file systems and system data are…",None,1,2021-02-19
Engineer - Data & Analytics,Dubai,Euclidz Technologies,None,"We are seeking skilled, experienced data engineer to join our bourgeoning Data & Analytics practice and help us build high-quality data products & solutions for…",None,4,2021-03-19
Science Data Engineer,Dubai,Mohammed bin Rashid Space Centre,None,"Develop Science Data Center that is responsible for receiving, processing, archiving and delivering EMM science data. Research skills and academic writing.",None,None,2021-02-19
Senior Reservoir Engineer - Oil & Gas,Dubai,MBH,"15,000",Review PVT data acquisition and laboratory analysis programmes as required. Integration of data to develop improved understanding of reservoirs and well…,Senior,None,2021-03-19
Intermediate Mechanical Design Engineer - Data Centres,Dubai,Engage Selection,None,"Company: Engage SelectionEmployment Type: Full TimeEducation Level: BachelorExperience: 5 YearsJob Type: Design,…",None,None,2021-02-19
Data Engineer,Dubai,Bayut | dubizzle,None,"You will be responsible for exciting projects covering the end-to-end data life cycle from raw data integrations with primary and third-party systems, through…",None,None,2021-03-08
Senior Data Analyst - Al Futtaim Automotive,Dubai,Al-Futtaim,None,"Conducting data quality assessments, ensuring with all stakeholders are always adhering to data structure & protocols (ingesting or exporting data / hashing…",Senior,None,2021-03-21
IT Support Engineer,Dubai,3M,None,"As an IT Support Engineer (*). Experience with Databases, Microsoft OS and Office, Server, and SQL Server and the ability to write simple queries, manipulate…",None,None,2021-03-16
Site Engineer,Dubai,IBA HOUSE,None,"Conduct on site investigations and analyze data (maps, reports, tests, drawings and other). Responsible for setting out sites and organizing facilities.",None,None,2021-02-19
Safety Engineer - Factories experience,Dubai,Quant,None,"Collecting of data for KPI’s and preparing reports to customer, authorities and Quant. Ensure application of guidelines, procedures and recommendations issued…",None,5,2021-03-18
Field Support Engineer,Dubai,Intertec Systems,None,Provide the requested data to the line manager for OPEX and CAPEX budget preparation. To support daily technical support activities for IT equipment and…,None,None,2021-03-11
Image Processing Engineer,Dubai,Mohammed bin Rashid Space Centre,None,Process images and data received from earth observation satellites and continuously improve algorithms to maximize effectiveness of the data received.,None,None,2021-02-19
Data Platform Engineer,Dubai,Chalhoub Group,None,"Partnering closely with data products managers, data architects, and other data engineers. As a Data Platform Engineer, you will play a critical role in…",None,None,2021-03-11
Process Engineer Internee Required For 3 Months,Dubai,ACTIKNOW,None,"Master data management in SAP / MES systems; Testing and setting process parameters; Preparation, checking and updating of work instructions;",None,None,2021-03-14
Field Service Engineer,Dubai,INOVA Geophysical FZE,"8,000-9,000","Managed by the Global Customer Experience Director, the Field Services Engineer is responsible for the installation, start-up and configuration of INOVA’s…",None,None,2021-02-19
Data Warehouse Engineer,Dubai,Kitopi,None,"Work in a team of data warehouse/data engineers responsible for making sure that all departments have access to required data in a fast, reliable and consistent…",None,None,2021-02-19
Sales Engineer,Dubai,Weather Makers International Equipment Trading LLC,"4,000-5,000",Recording and maintaining client contact data. We are currently looking for Sales Engineer to join our team. Must have valid UAE Driving license.,None,,2021-03-12
System Engineer,Dubai,ATRIBS METSCON Group,"7,000-11,000",We are looking for *System Engineer : § Timely backups of the critical data. § Maintain effective Disaster Recovery and ensure that the business data integrity…,None,&5,2021-03-18
Facility Engineer,Dubai,Bright Environment LLC,"4,000","Prepares reports, data, and make recommendations for improving operations and solving maintenance related problems. Attend to emergencies in a tactical way.",None,3,2021-02-19
Survey Engineer,Dubai,QSF ENGINEERING SURVEYING SERVICES LLC,"3,000-4,000",The Candidates mush have the experience for the operating all types of surveying equipment and processing and drawing work of land survey data.,None,None,2021-03-18
Network Engineer,Dubai,EMWme,"7,000-10,000",Undertake data network fault investigations in local and wide area environments using information from multiple sources. Must have CCNA & CCNP certified.,None,,2021-03-04
PLANNING ENGINEER (CLOSED),Dubai,SFFECO GLOBAL,None,"Analyzes production specifications and plant capacity data and performs mathematical calculations to determine manufacturing processes, tools, and human…",None,None,2021-02-19
Data Analyst,Dubai,Kitopi,None,Work with the team of other Data Analysts and Data Engineers to build a strong culture of constructive thinking and togetherness. What Are We Looking For?,None,None,2021-02-19
Drilling fluids specialist - Oil field chemical,Dubai,ISCS,"5,000-15,000",Responsible for validating all critical data required to complete daily reports. Able to generate the drilling fluids program through close collaboration with…,None,None,2021-03-20
Intern - Landscape Architecture,Dubai,AECOM,None,"+ Basic capability working with Python scripts for managing files, images, and data. Whether you are an engineer, planner, scientist or surveyor, we are looking…",Architect,None,2021-03-15
Network and Security Engineer,Dubai,Al-Futtaim,None,Data networking / WiFi / Network security / Server Storage / Virtualization engineer to achieve prompt maintenance services and completion of projects within…,None,None,2021-03-17
Business Development Engineer (Fire Fighting Industry),Dubai,Al Shirawi Fire Fighting Systems Installation & Ma...,None,Identify the potential clients & sustainable projects & update the customer data base. Responsible for Business Development in Fire Fighting Systems…,None,/5,2021-03-19
Field Engineer L1 - Maritime (Dubai),Dubai,Global Eagle,None,"Spectrum analyzers, multimeters, data testers, hand tools, etc. Global Eagle is a leading provider of satellite-based broadband connectivity, television and…",None,None,2021-03-12
IT Support Engineer,Dubai,Data Wave Technologies L.L.C.,"3,000-4,000",We are looking for smart and educated IT Engineer for our Dubai office. The candidate should be having experience in server side and network side.,None,3,2021-03-11
Project Engineer - Civil Fit out,Dubai,Modular Concepts,None,"Inspecting field sites to observe and evaluate condition and operability of facilities and structures, and to collect field survey data and measurements.",None,None,2021-02-19
Maintenance Engineer,Jebel Ali,"Aggreko, LLC",None,"Around the world, people, businesses and countries are striving for a better future. A future that needs power and the right conditions to succeed.",None,None,2021-02-19
Artificial Intelligence (AI / ML) Engineer,Dubai,Affaan Technologies,None,"Familiarity with Machine Learning/Predictive Analytics and big data platforms. 1-3 Years Professional Experience, background in Big Data, Distributed Computing,…",None,None,2021-02-19
STATCOM Project Engineer,Dubai,Hitachi ABB Power Grids,None,"Assigning tasks to and coordinates work with entry level engineers, technicians, administrative staff. You as a STATCOM Project Engineer will be part of Hitachi…",None,None,2021-03-10
System Engineer,Dubai,"ESRI, Inc.",None,"The ArcGIS platform brings together maps, apps, data, and people to make smarter decisions and enable innovation. Our mission is simple yet powerful:",None,None,2021-03-14
DevOps Engineer,Dubai,Centroid Solutions,None,"Experience with data exchange formats including JSON and XML. Understanding of data transfer protocols such as FTP, SFTP, TFTP, HTTP, HTTPS.",None,None,2021-03-20
Technical Services Engineer,Dubai,RNTRUST,"3,125-8,000",Monitor and restrict any unauthorized access to the data Center. We are hiring Technical Services Engineer for our client in Dubai ..,None,3,2021-02-20
Civil Engineer,Dubai,Phantom Associates,None,"Analyze survey reports, maps, drawings, blueprints, aerial photography, and other topographical or geologic data to plan projects.",None,None,2021-02-19
General estimation Engineer,Dubai,Belmond Technical Services LLC,None,"Need an General Estimation Engineer for Technical service company. Act as a connection between subcontractors, design team (architects, engineers, consultants),…",None,2,2021-03-09
Senior Process Engineer,Dubai,Dno ASA,None,"At least 5 years as a successful Senior Engineer. Degree qualified Process Engineer, with qualifications from a recognized institution.",Senior,None,2021-03-18
Drive Test RF Engineer,Dubai,Blue Oceans Consultancy,None,Review test data to ensure that actual perform. Review test result data to ensure that actual performance meets expected requirements.,None,None,2021-03-19
NETWORK ENGINEER,Dubai,Virtua Advanced Solution,None,Undertake data network fault investigations in local and wide-area environments. Upgrade data network equipment to the latest stable firmware releases.,None,None,2021-03-11
Senior Estimator,Dubai,HortonTech,"10,000-12,000","Attends meetings with clients, architects, engineers, building owners as needed. In-depth knowledge of research and data analysis methods and estimation…",Senior,5,2021-03-03
Computer Vision (AI / ML) Engineer,Dubai,Prognica Labs,None,We are looking for highly passionate and enthusiastic players for solving problems in medical data analysis by building and implementing algorithms for image…,None,None,2021-02-19
Systems Engineer,Dubai,EMWme,"5,000",We are growing rapidly and looking to add Systems Engineers to the Organization. This position requires product line planning experience and a breadth of…,None,3,2021-03-05
Senior Data Science,Dubai,Emaar Properties - UAE,None,"Defines and communicate solution designs and approaches • Identify and specify data needs and quality requirements to support analysis • Research, design and…",Senior,None,2021-03-19
Linux Admin - L1 Support Engineer,Dubai,Zen Interactive Technologies,"6,000-8,000","Systems Administration/System Engineer certification in Linux+, Eg: Support, Plan, coordinate, and implement security measures to protect data, software, and…",None,2,2021-02-21
Procurement Analyst,Dubai,BRF,None,Take an active role in master data management for procurement processes; Have you ever imagined to be part of one of the biggest food companies in the world?,None,None,2021-03-01
Reliability Engineer,Dubai,FITFATCO,None,"Gather and examines basic reliability data from field or database and correlates the data for analysis using well-defined engineering techniques, principles and…",None,None,2021-02-21
Field Environmental Engineer (Site Survey Supervisor),Dubai,MAB Environmental Consultancy,None,"Collection of data and report writing. Bachelor’s degree in Civil, or Environmental engineering or equivalent. At least 5 years of working experience.",None,None,2021-02-19
Senior Data engineers,Dubai,Hivesure Infosolutions,None,Must carry required technical skill set of Senior Data engineers. Experience in implementing projects using Big data technologies.,Senior,None,2021-02-19
Electrical Engineer,Dubai,Jalal Khoory Technical Services,"2,500-3,000",Summarizing data and report on test results. Collaborating with engineers and technicians to design and apply new system processes.,None,None,2021-03-07
Design and Estimation Engineer,Dubai,SFFECO GLOBAL,None,"Compile data and specifications sheets. Collaborate with designers, constructors and engineers on projects. Responsible for estimate the value of project being…",None,None,2021-02-19
Wireless Networking Engineer,Dubai,Espina IT solutions,None,The mid-level Wireless Engineer work assignments involve moderately complex to complex issues where the analysis of situations or data requires an in-depth…,None,None,2021-02-19
Business Intelligence Engineer,Dubai,Q-Express Documents Transport,None,"Data analytics experience (in a business or academic research setting) involving making hypotheses, accessing and prepping data and drawing actionable insights.",None,None,2021-02-19
Technical Support Engineer 3,Dubai,"Vocera Communications, Inc.",None,"Knowledge of tools such as Command line, power shell, performance monitor or other data gathering tools. As a Technical Support Engineer, you will be working in…",None,None,2021-02-27
Data Engineer,Dubai,Deerfoot,None,"Experienced in exploring, debugging and data quality issues and defining data quality rules across complex data pipelines.",None,None,2021-02-19
Junior Sales Executive/ Sales Engineer,Dubai,Swiss Corporation For Design & Technology Trading...,"4,000-5,000","Ability to understand, analyse and report on financial and sales data. We are looking for a result-oriented, hardworking & smart Sales Engineer with preferred…",Junior,2,2021-02-19
Staff Software Engineer I (Monitoring),Dubai,Careem,None,"Staff Software Engineer I (Monitoring). Facilitate collaboration with other engineers, product owners, and designers to solve interesting and challenging…",None,None,2021-03-16
Landscape Engineer,Dubai,Sobha LLC,None,"Liaising with QA/QC Engineer, surveyors and draughtsman for preparation of AS-Built drawings and following up with Main Contractor/ Engineer for approval of the…",None,None,2021-02-19
"Data Engineer/Business Intelligence Developer(Dubai, UAE)",Dubai,Adecco,None,"Hands on knowledge of tools to perform data quality, data cleansing, data wrangling and data standards. Supports building and/or re-organizing optimal data…",None,None,2021-02-19
Electrical Engineer,Dubai,Castle Construction,None,"Excellent knowledge of electrical power feeder, distribution systems, grounding, conditioned and standby power systems, surge protection, fire alarm systems,…",None,None,2021-02-19
QA Engineer,Dubai,HIDAYATH GROUP,None,"Directs workers engaged in measuring and testing product and tabulating data concerning materials, product, or process quality and reliability.",None,None,2021-02-19
Automation Engineer ll,Dubai,Talabat,None,"Automate and maintain functional test scripts and other test artefacts like test data, data validation for mobile clients (iOS/Android).",None,None,2021-03-09
Sales Engineer,Dubai,Orex Mining Company DMCC,"5,000","Designing Solutions in co-ordination with Project Manager based on site survey, other field data and information obtained from the client.",None,None,2021-02-19
e-Commerce Intern (Content Marketing / Customer Support ),Dubai,Techniline Electronics LLC,None,"Experience with customer relations, data management, and marketing. MusicMajlis is the UAE's premier online destination for Musical Instruments and Audio…",None,,2021-03-21
Technical Coordinator (x2 vacancies),Dubai,Al-Futtaim,None,"Maintain vendor price data base. Verify all invoices received and distribute to supervisor, engineers for submission. Prepare cost estimation for casual jobs.",None,None,2021-02-19
Android Developer,Dubai,Just Clean Internet Solutions Co LLC,"7,000-10,000","Algorithms, data structures, concurrency, threading, and programming languages (Java, PHP, JavaScript desirable). Familiar with the latest UI components.",None,None,2021-03-15
Lead Cost/Schedule Engineer,Dubai,Wood Plc,None,Assist in the development of graduate planning engineers. Ensure alignment between procurement data and P6 schedule. Facilitate the resolution of deviations.,None,None,2021-03-16
Flutter Mobile Developer,None,Uruk IT Solution,"16,000","Write efficient queries for core Data. Suggest space and time efficient Data Structures. Qualified candidates will have prior experience as a Mobile Engineer,…",None,2,2021-02-23
IOS Engineer ll (Automation),Dubai,Talabat,None,"Knowledge of OOP, design patterns, data structures, and testing strategies. As an iOS Engineer II, you will work on our next generation ordering platform to…",None,None,2021-03-11
Staff Software Engineer I SRE,Dubai,Careem,None,"Staff Software Engineer I - SRE. Engage with engineers throughout Careem to learn about pain points, and work alongside a technical lead to define and…",None,None,2021-02-19
MEP Supervisor,Dubai,SC Technical Services,"3,500",Manage absences and timekeeping and ensure all data is communicated to the Head Office through their respective Regional Engineer.,None,None,2021-02-19
