Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Data Scientist,Dubai,Accel Human Resource Consulting,None,Accel Human Resource ConsultingEmployment Type:,None,None,2/18/21
Data Scientist,Dubai,Affaan Technologies,None,"Create algorithms to extract information from large data sets. Establish scalable, efficient, automated processes for model development, model validation, model…",None,None,2/18/21
Data Scientist,Dubai,GRMC Advisory Services,None,"Big Data • Coding • Data Acquisition • Data Analytics • Data Mining, Cleaning and Munging • Data Visualization and Reporting • Data Wrangling • Exploratory Data…",None,None,3/10/21
Data Scientist - FinTech Division of Leading Bank,Dubai,eMagine Solutions,None,"Data Scientist - Digital First FinTech, DIFC Dubai. Identifying new and existing data sources and data science techniques to generate best-in-class models,…",None,None,3/11/21
Data Scientist – Machine & Deep learning (H/F),Dubai,DAVIDSON,None,"De formation ingénieur / BAC+5, tu as déjà réussi plusieurs projets dans le domaine de la Data Science. Dans le cadre de projets Data Science menés par Davidson…",None,None,2/18/21
Data Scientist,Dubai,Cloud Boat,None,"Understanding of data structures, data modeling, data wrangling and software architecture. We are looking for a Data Scientist who will support our Client sales…",None,None,2/18/21
Data Scientist with Background in Education Sector,Dubai,InterConnect,"4,500-6,500","We are looking for a data scientist that will help us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver…",None,None,2/18/21
Data Science Immersive Instructor,Dubai,Adecco Group Internal,None,"We are looking for a Data Scientist to lead instruction for the program. You are eager to shape the skills, minds, and trajectories of the newest generation of…",None,None,3/19/21
Applied Scientist Intern,Dubai,Amazon Middle East and NA FZ,None,"Amazon has multiple positions available for Machine Learning Scientists in Berlin, Cambridge, Edinburgh, Iasi and Tuebingen. Enrolled in a Master’s or Ph.D.",None,None,3/11/21
Data Scientist (Job Ref. 1535),Dubai,Mondia,None,Work with data governance team to help drive consistency in MDM and data definitions to create a trusted source of data. We connect to the future.,None,None,2/18/21
Chief Data Officer,Dubai,ArabyAds,None,"As a Data Scientist executive: Hire, lead, motivate, and manage large technical teams (BI, Data Scientist). Master’s Degree in Data Statistics and Mathematics,…",None,None,3/15/21
Data Science Immersive Instructor,Dubai,General Assembly,None,"We are looking for a Data Scientist to lead instruction for the program. You are eager to shape the skills, minds, and trajectories of the newest generation of…",None,None,3/18/21
Data Analyst / Scientist,Dubai,Lobo Management,None,3-5 years of experience as a Data Analyst / Data Scientist. Acquire data from primary or secondary data sources and maintain databases/data systems.,None,None,2/25/21
Senior Data Science,Dubai,Emaar Properties - UAE,None,"Transform fuzzy/high-level requirements and objectives to solvable problem statements and requirements • Collaborate with other data scientists, product…",Senior,None,3/18/21
Data Scientist,Dubai,Talent Arabia,None,"Problem scoping, data gathering, EDA, modeling, insights, and visualizations. 1.Minimum of 8+ years’ relevant experience in data science, AI, machine learning,…",None,None,2/18/21
Junior Data Scientist Dubai,Dubai,Congruus Consulting,None,A leading bank is seeking a Junior Data Scientist with the following experience: To apply send CV to shoble@congruushr.com marking subject as Junior Data…,Junior,None,2/18/21
Data Scientist,Dubai,Centroid Solutions,None,Extracting and aggregating data from large data sets using SQL or other tools. The Data Scientist will take part in the implementation of new and strategic…,None,None,2/18/21
Data Scientist Dubai,Dubai,Congruus Consulting,None,"To apply send CV to shoble@congruushr.com marking subject as Data Scientist - Dubai. BS, MS or PhD in Data Science, Machine Learning, Statistics, Computer…",None,None,2/18/21
"Data Science, Data Scientist, Machine Learning Engineer",Dubai,Michael Page AE,None,Bachelor's degree in a relevant field with at least 5 years' experience in a Data Scientist capacity. In addition to a fantastic Data Scientist opportunity…,None,None,2/18/21
Data Science Immersive Instructor,Dubai,GA Instructor,None,"You are eager to shape the skills, minds, and trajectories of the newest generation of data scientists. Deepen your own skills by guiding students through a…",None,None,2/18/21
"Senior Associate, Data Science",Dubai,Bain & Company Inc,None,"You will work with other data scientists and case teams to assess client demands and suggest data science methods that provide practical, value-added answers to…",Senior,None,2/18/21
Senior Data Analyst,Dubai,Artefact,None,"State of the art data technologies, lean AI agile methodologies for fast delivery, and cohesive teams of the finest business consultants, data analysts, data…",Senior,None,2/18/21
Product Associate,Dubai,Bayut | dubizzle,None,"Work with a group of talented designers, data scientists and engineers. Bayut is seeking a Product Associate to create innovative products and engaging…",None,None,3/8/21
Data Scientist with C# language,Dubai,We Search 360,None,Proven experience as a Data Scientist. This is an opportunity to Join a R&D team as a Data Scientist. Identify valuable data sources and automate collection…,None,3,2/18/21
"Senior Analyst, BI & Insights",Dubai,Majid Al Futtaim,None,"You will work alongside data analysts, data scientists, and data engineers on some of the newest and most interesting Big & Fast Data problems.",Senior,None,3/19/21
Data Engineer (m/f/d),Dubai,Artefact,None,"State of the art data technologies, lean AI agile methodologies for fast delivery, and cohesive teams of the finest business consultants, data analysts, data…",None,None,2/18/21
Product Manager,Dubai,Bayut | dubizzle,None,"Lead, mentor and guide with a group of talented designers, data scientists and engineers. The Product Manager has the ability to create innovative products and…",None,None,3/8/21
Senior Data Planner,Dubai,Jellyfish Group Ltd,None,"This role will join Jellyfish’s Data and Planning team, a broad and diverse team encompassing brand, data and media planners, analysts, data scientists and…",Senior,None,3/2/21
"Data Engineer/Business Intelligence Developer(Dubai, UAE)",Dubai,Adecco,None,"Hands on knowledge of tools to perform data quality, data cleansing, data wrangling and data standards. The resource will work closely with Data Scientists, BI…",None,None,2/18/21
Account Executive (m/f/d),Dubai,Artefact,None,"State of the art data technologies, lean AI agile methodologies for fast delivery, and cohesive teams of the finest business consultants, data analysts, data…",None,None,2/18/21
Senior Data Consultant - Arabic Speaker,Dubai,Artefact,None,"State of the art data technologies, lean AI agile methodologies for fast delivery, and cohesive teams of the finest business consultants, data analysts, data…",Senior,None,2/18/21
Head of Product - CareemPAY,Dubai,Careem,None,Experience working with cross-functional teams of engineers and data scientists to deliver world-class products. Careem PAY is a 100% subsidiary of Careem.,None,None,2/18/21
Enterprise Data Engineer,Dubai,Scrips Inc. Ltd,None,"Help maintain data dictionary for all business-critical data domains. The role will ensure compliance with data governance and security, ensuring anonymized…",None,None,3/18/21
Principal Urban Planner,Dubai,Parsons,None,"Gather, compile, and analyze data on economic, social, and physical factors affecting the developments. Confer with local authorities, civic leaders, social…",None,None,2/18/21
Pricing Manager,Dubai,Careem,None,"You will work closely with engineers, data scientists, markets, leadership and other key stakeholders in the company to plan and implement various pricing…",None,None,2/18/21
Senior Partnerships Manager (Careem Pay),Dubai,Careem,None,"Careem PAY is looking for a rock star Senior Partnerships Manager who is part product manager, part marketer, part growth manager and part data scientist.",Senior,None,2/18/21
Principal Urban Planner,Dubai,Parsons International,None,"Gather, compile, and analyze data on economic, social, and physical factors affecting the developments. Confer with local authorities, civic leaders, social…",None,None,3/5/21
Head of Paid Media (m/f/d),Dubai,Artefact,None,"State of the art data technologies, lean AI agile methodologies for fast delivery, and cohesive teams of the finest business consultants, data analysts, data…",None,None,2/18/21
Senior Product Manager I - Food Customer,Dubai,Careem,None,Experience in working with Data scientists on customer facing products. Perform A/B testing working with product analysts and data scientists to validate and…,Senior,None,2/18/21
Senior Product Manager I - Platform Partner,Dubai,Careem,None,Experience in working with Data scientists on customer-facing products. Perform A/B testing working with product analysts and data scientists to validate and…,Senior,None,3/8/21
Senior Product Manager I - Platform,Dubai,Careem,None,Experience working with cross-functional teams of engineers and data scientists to deliver world-class products. Have an insane focus on data.,Senior,None,2/24/21
VP Engineering,Dubai,Ureed.com,None,"Ability to attract, hire, and inspire world-class engineers and data scientists from all over the world. Lead and mentor a team of engineers and data scientists…",None,None,2/18/21
Head of Business Intelligence,Dubai,Foodics,None,Proven experience as a BI Developer or Data Scientist. Dimensional modeling) and data mining. Background in data warehouse design (e.g.,None,None,2/18/21
"Manager, head of selection and product management analytics",Dubai,Amazon Middle East and NA FZ,None,"2+ years of experience managing teams with data engineers, business intelligence engineers, software engineers, data scientists or other related roles.",None,None,2/18/21
Data Scientist,Abu Dhabi,Al Madina Agencies And Services,None,Ensure all automated processes preserve data by managing the alignment of data availability and integration processes.,None,None,3/17/21
Data Scientist,Abu Dhabi,Schlumberger,None,"Depending on the candidate’s qualification, this position can be either a Data Scientist or a Senior Data Scientist. Abu Dhabi - United Arab Emirates.",None,None,3/12/21
Data Scientist,Abu Dhabi,Projobs4you LLC,None,Proven experience as a Data Scientist or Data Analyst. Tableau) and data frameworks (e.g. Present information using data visualization techniques.,None,5,3/18/21
Data Science Specialist,Abu Dhabi,Serco Plc,None,"We’re seeking an experienced data scientist to deliver that insight to us daily. You will join a team of data specialists, but will “slice and dice” data using…",None,None,3/7/21
Data Engineer,Abu Dhabi,Al Madina Agencies And Services,None,"Interacts with data scientists and translators to understand how data needs to be converted, loaded and presented. Develop data and information structure.",None,None,3/17/21
Data Scientist,Abu Dhabi,HAYS,None,"Minimum 4 years of experience as Data Scientist. URGENT REQUIREMENT DATA SCIENTIST 12 MONTHS EXTENDABLE CONTRACT REMOTE / ABUDHABI, UAE COMPETITIVE SALARY.",None,None,2/18/21
Executive Assistant,Abu Dhabi,Group 42,None,"Experienced team of data scientists and engineers based in Abu Dhabi. Fundamental AI research, through our subsidiary the Inception Institute of Artificial…",None,None,2/18/21
Business Analyst Intern,Abu Dhabi,McKinsey & Company,None,"You will also work with many experts, from data scientists and researchers to software and app designers. In your junior year of an undergraduate degree;",None,None,2/18/21
Junior Associate,Abu Dhabi,McKinsey & Company,None,"You will also work with many experts, from data scientists and researchers to software and app designers. Ability to work collaboratively in a team environment.",Junior,None,2/18/21
Data scientist with Ph.D,Abu Dhabi,Teckraft Infosolutions,None,"Quant Finance, Machine learning, NLP. To apply, email your detailed resume in doc or pdf format with contact information to shafaat@teckraft.com.",None,None,2/18/21
Medical Laboratory Technician,Abu Dhabi,Group 42,None,"Experienced team of data scientists and engineers based in Abu Dhabi. Fundamental AI research, through our subsidiary the Inception Institute of Artificial…",None,None,3/10/21
Associate,Abu Dhabi,McKinsey & Company,None,"You will also work with many experts, from data scientists and researchers to software and app designers. Advanced graduate degree (e.g., MBA, PhD, etc.).",None,None,2/18/21
Research Assistant in Human Data Interaction Lab - Prof. Azz...,Abu Dhabi,New York University,None,"The applicant has to have strong programming skills, experience with data analysis and data science projects, and demonstrated strengths in systems-engineering,…",None,None,2/18/21
Associate Intern,Abu Dhabi,McKinsey & Company,None,"You will also work with many experts, from data scientists and researchers to software and app designers. Advanced graduate degree in progress and excellent…",None,None,2/18/21
Business Analyst,Abu Dhabi,McKinsey & Company,None,"You will also work with many experts, from data scientists and researchers to software and app designers. Undergraduate or master’s degree or have 1 –3 years of…",None,None,2/18/21
Data Analyst,Abu Dhabi,Talent Zone Consultants,None,Or MS degree with industry experience as a Data Scientist. A hands-on data scientist who is passionate about data and want to apply machine learning techniques…,None,None,2/18/21
Nurse,Abu Dhabi,Group 42,None,"Experienced team of data scientists and engineers based in Abu Dhabi. Fundamental AI research, through our subsidiary the Inception Institute of Artificial…",None,None,3/17/21
Research Assistant in the Data Science and AI laboratory - D...,Abu Dhabi,New York University,None,"Rahwan are inherently collaborative and involve scientists with diverse backgrounds. Data Science, Computer Science, Computational Social Science, Information…",None,None,2/18/21
Research Assistant under Division of Science (Chemistry) - P...,Abu Dhabi,New York University,None,"The candidate will work in a multidisciplinary environment consisting of PhD-level scientists, graduate students and undergraduate students.",None,None,2/18/21
