Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
"Product Marketing Manager, Performance Ads, MENAT",None,TikTok,"8,339-26,700","As the Product Marketing Manager for Performance Ads, you will be responsible for setting the go-to-market strategy across MENAT for TikTok's portfolio of…",None,4,2/20/21
Digital Marketing Manager,None,Luna PR,"3,500-5,000","Luna PR is a marketing and PR agency focusing on crypto, blockchain, emerging tech and e-sports clients. Candidate must be able to learn quickly in the fields…",None,1,2/20/21
Marketing Manager,None,Jewellery Company,None,"We’re looking for an experienced and versatile marketing manager who has experience developing and executing marketing plans, strategies and campaigns.",None,None,3/10/21
Digital Marketing Officer,Dubai,Johnson Health Tech.,"10,000-15,000",Support all managers with day to day marketing requirements. Maintain yearly marketing calendar and deadlines for marketing campaigns.,None,3,3/1/21
Brand Marketing Manager,Dubai,Anghami,None,5+ years of marketing experience. We're looking for a creative and strategic brand marketing manager to join our Growth team — a cross-functional group…,None,None,3/20/21
Marketing Manager,Dubai,Oasis Investment Company LLC - Al Shirawi Group,"10,000",Bachelor’s or master’s degree in marketing. Proficient in marketing research and statistical analysis. Provides marketing information by answering questions and…,None,5,3/5/21
Marketing Manager,Dubai,Amazon Middle East and NA FZ,None,"Experience with Email and Affiliate marketing, Social Media, SEO, and Digital Advertising. Execute the marketing strategy and own creation of marketing programs…",None,None,3/16/21
Senior Digital Marketing Manager (Arabic and English Speaker...,Dubai Silicon Oasis,Brand Platforms FZCO,"8,000",Conceptualise innovative growth strategies through digital marketing to develop further business.*. Develop the digital marketing staff by providing information…,Senior,2,3/18/21
Growth Marketing Manager,Dubai,Eyewa,"12,000-14,000","Knowledge of multiple digital advertising platforms with substantial experience working with performance marketing metrics (CPO, CPI, CPA, CPC & LTV).",None,5,3/9/21
Marketing Manager,Dubai,TRAC Human Resources Consultancy,None,"Manage marketing campaigns with the marketing team, global marketing, and agency. Bachelor’s degree in Marketing, Communications or Business administration •…",None,None,3/22/21
DIGITAL MARKETING MANAGER,Dubai,Grow Combine,None,"Our established digital marketing agency is looking for a Senior Digital Marketing Manager to develop, implement, track and optimize our digital marketing…",None,None,2/20/21
Digital / E-Marketing Specialist,Dubai,H K Z INTERIOR DECORATION LLC,"3,000-5,000",Manage Marketing/ Digital Marketing Calendar. Create and Manager Social Media Pages. Enhance the brand visibility in digital media. Experience in SEO/ SEM/ SMM.,None,None,3/15/21
Digital Marketing Manager,Dubai,Carter Murray,None,We are looking for a Marketing Manager who has a digital first approach. Carter Murray in Dubai is looking for a Digital Marketing Manager to join a global…,None,None,3/22/21
Digital Marketing Executive,Dubai,Chalhoub Group,None,Assist the Marketing Manager in the development of the yearly digital marketing strategy; Work alongside the Digital Marketing Manager to deliver the website…,None,None,3/10/21
