Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
IT Manager,Dubai,Bayut | dubizzle,None,We are looking for an experienced IT Manager to manage both our brands. As an IT Manager you will be responsible and accountable for managing the IT Operations…,None,None,2021-03-08
IT Coordinator - Aloft Al Mina,Dubai,"Marriott International, Inc",None,"Report accidents, injuries, and unsafe work conditions to manager; Posting Date Mar 17, 2021. Location Aloft Al Mina Dubai, Sheikh Rashid Road & 37th Street,…",None,None,2021-03-18
IT Administrator,Dubai,British Council,None,This role will be responsible for the delivery of IT services for the whole UAE and will report directly to ICT Manager. Software used by the organisation).,None,None,2021-03-14
Transactions - OCA IT,Dubai International Financial Center,Deloitte,None,"Transaction Services - OCA IT Due Diligence - Manager. Infrastructure, Security and Compliance to IT Due Diligence Manager or the IT due diligence team as…",None,None,2021-03-21
Facility Manager,Dubai,Bidfood,"7,000-10,000",§ It is essential that you hold a College Degree. To provide an efficient and safe healthy working environment. Provide prompt response to requests and issues.,None,3,2021-03-14
IT Support,Dubai,BFL,"3,000-3,500",Report equipment failure to the Immediate Manager to maximize operation of the system. Conduct regular checks on all sales ladies/shop managers to assure they…,None,3,2021-03-07
Technical Support Manager YALE-ME,Dubai,Assa Abloy,None,Develop and maintain product technical Documents and specifications for both Mechanical and Smart Products. Develop and maintain the technical support processes…,None,None,2021-03-22
IT Support Analyst,Dubai,Zayed University,None,Participates in planning and implementing IT support to University on and off campus events. The Information Technology Department seeks an incumbent for the…,None,None,2021-02-20
QHSSE Manager Oil & Gas,Dubai,MBH,"15,000"," Report administratively and functionally to the Group General Managers and / or Group Chief Executive Officer. Up to AED15,000.00 per month.",None,None,2021-03-04
TECHNOLOGY MANAGER - VERTICALS,Dubai,Emirates National Oil Company,None,"Provides inputs in setting IT standards and guidelines. Ensures adherence to development, PMO and IT service management standards.",None,None,2021-03-22
Brand Manager - Dairy,Dubai,Bidfood,"15,000-20,000",Create the strategy and align with the leadership of Bidfood and Uhrenholt to get it approved and rolled out. To achieve the quantitative element represented by…,None,5,2021-03-10
Café Manager,Dubai,Intelligent Playgrounds LLC,"8,000-12,000","Café manager ensures that the café operates efficiently and profitably, as well as maintaining high standards of food, service, health and safety.",None,None,2021-02-20
Hospitality vacancies,Dubai,farnek.com,None,All candidates must be from a hospitality background with intermediate/advanced level of English and additional language skills will be a plus for Front Office…,None,None,2021-03-18
Receptionist / Lounge Staff,Dubai,Big Fish Recruitment,None,"We are currently seeking Receptionist / Lounge Staff to work at the event, reporting to Pavilion Operations Manager, to manage the main reception desk and the…",None,None,2021-03-17
Information Technology (IT) Internship - Summer 2021,Dubai,Procter & Gamble,None,"Your Role as an Intern in IT: IT 00003129 We are looking for Students: A career in IT with us will build your ownership and influencing skills, and provide you…",None,None,2021-03-10
HR cum Operation Manager,Dubai,Doo Technology,"20,000-35,000",Consulting with the line managers and provide daily HR guidance. Our business is around the globe and yet we are expanding very aggressively with the plan of…,None,5,2021-02-20
IT Manager,Dubai,Louzan Fashion,None,"MBA with a specialization in IT preferred. Knowledge of Oracle ERP, ITIL, LAN, WAN, Operating Systems Administration, Protocols, IT Security, RDBMS, .Net…",None,None,2021-02-20
School Administration Manager,Dubai,LEAMS Education Services (Gamma Holdings Ltd.),None,Ensure that IT services are full-fledged to support the virtual learning platforms. The School Administration Manager is entrusted with the responsibility to…,None,None,2021-03-16
