Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
IT Support Analyst,Dubai,Zayed University,None,Networking Concepts and WIN/MAC Operating Systems. The Information Technology Department seeks an incumbent for the position of IT Support Analyst to provide…,None,None,2/18/21
IT Analyst / Programmer,Dubai,Element Materials Technology,None,"Element has an opportunity for an IT Analyst / Programmer to join the Business Systems IT team in Dubai , UAE. Perform testing and validation of systems.",None,None,3/17/21
IT Help Desk Analyst,Dubai,Al Tamimi,None,"Managing the office IT infrastructure on the ground (door access systems, CCTV, telephone system, end user computing devices, print production, mobile devices,…",None,None,2/24/21
IT System Support Analyst (Sage),Dubai,Bayut | dubizzle,None,"In this essential role, you will be central in providing ongoing support and development of core IT systems and supporting infrastructure, working in a…",None,None,3/8/21
IT Security Analyst,Dubai,Commercial Bank of Dubai,None,Manage privilege access management system and ensure all critical system access are made though established process.,None,None,2/18/21
IT Analyst (Information Security),Dubai,Middle East Executive,None,"Middle East Executive are currently working with a large holding group with multiple business units throughout the Middle East, who are looking for a IT Analyst…",None,None,2/18/21
Security Analyst,Dubai,ECS ME LLC,None,"Demonstrable experience of analyzing and interpreting system, security, and application logs. An active interest in Information Security, incident management,…",None,None,3/15/21
IT Sr. Analyst,Dubai,BRF,None,"Participate in system implementation projects such as requirements documentation, systems configuration, test documentation/execution, issue identification and…",Senior,None,3/4/21
Delivery Lead - ERP & EPM Systems,Dubai,Majid Al Futtaim,None,Ability to understand complex systems integrations architecture. Engagement with senior leadership – IT and business. No disruption to business operations.,None,None,3/14/21
Data Analyst,Dubai,Munich RE,None,3 to 5 year of experience as a data analyst preferably within the insurance / reinsurance / actuarial field. Develop and maintain the understanding of the full…,None,None,2/18/21
Business Analyst,Dubai,"Aggreko, LLC",None,"Experience in an ERP system is desired. It’s the Aggreko way of working – we call it Always Orange. Every project is different, so we listen first and design a…",None,None,3/14/21
IT Service Desk Analyst,Dubai,winsoft solutions LLC,None,"IT Service Desk Analyst Responsibilities. Provide accurate information on IT products or services. BSc/BA in IT, Computer Science or relevant field.",None,None,2/28/21
"JUNIOR TRADER / ANALYST - Dubai, UAE",Dubai,Cobblestone Energy,None,"Junior Trader / Analyst - Commercial Development Programme - Dubai, UAE. For the UK market, they are the system administrator. What we offer in this role.",Junior,None,2/18/21
Business Analyst,Dubai,Majid Al Futtaim,None,"I.e. Qualtrics, CRM, Oracle, ERP systems, Document Management Systems, Content Management systems. Technical knowledge in Qualtrics, CRM, Oracle, ERP systems,…",None,None,3/11/21
Operations Analyst,Dubai,Payfort INT FZ LLC,None,Experience working with Processor backend systems: It requires following steps and instructions as per the guidelines of the standard operating procedures (SOPs…,None,None,2/18/21
Business Analyst,Dubai,Sandpiper,None,"Good understanding of IT fundamentals. Have a good understanding of financial and/or banking software (core banking systems, payment services, and microfinance)…",None,None,3/4/21
Threat Intelligence Analyst,Dubai,Help AG,None,"A solid understanding of IT systems and network security concepts. Exclusive focus and vast experience in IT. A Degree in Computer Science, Information Systems,…",None,None,3/14/21
Leasing Analyst,Dubai,Majid Al Futtaim,None,"Liaise with the IT team to continuously upgrade systems such as Yardi, Oracle, OBIEE. Be the advocate and ambassador of aligning and cascading the MAFP values…",None,None,3/11/21
