Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
MIS Analyst,Dubai,Allegiance Real Estate L.L.C,"10,000",Develops MIS documentation to allow for smooth operations and easy system maintenance. Provide support and maintenance to existing management information…,None,None,2/19/21
Operations Analyst,Dubai,Payfort INT FZ LLC,None,"We are seeking a dynamic, customer-obsessed operations analyst in our merchant support team, who is passionate about providing solutions and quality support to…",None,None,2/19/21
Treasury & AP Operations Analyst,Dubai,The First Group,None,"The Treasury & AP Operations role will primarily be responsible for, but not limited to: Headquartered in Dubai, UAE, The First Group is a dynamic, integrated…",None,None,3/12/21
Senior Data Analyst - Al Futtaim Automotive,Dubai,Al-Futtaim,None,"This role is for a Business Insights Analyst that is responsible for developing a standardized suite of business reports, in the functional areas of Sales,…",Senior,None,3/21/21
Business Analyst,Dubai,"Aggreko, LLC",None,"Any other duties considered related essential for effective operations and service as requested. Around the world, people, businesses and countries are striving…",None,None,3/14/21
Financial Analyst Intern,Dubai,Amazon Middle East and NA FZ,None,"At Amazon, we move with purpose and speed, and this requires us to work with a dynamic network of retail, HR, marketing, tech and operations partners.",None,None,2/19/21
Procurement Analyst,Dubai,BRF,None,"Support defining short, middle, and long-term commercial Corporate Services strategy for our operations across the region. Nourish life is our commitment.",None,None,3/2/21
Senior Business Analyst,Dubai,BNY Mellon,None,"Of organizational operations, procedures and staff. BNY Mellon is a global financial services company focused on helping clients manage and service their…",Senior,None,3/18/21
IT Analyst / Programmer,Dubai,Element Materials Technology,None,"Communicate effectively with technical, business, operations and support audiences and use specialist knowledge to engage them appropriately.",None,None,3/17/21
Security Analyst,Dubai,ECS ME LLC,None,"2-4 years of experience in information security management, in areas such as security monitoring, reporting, operations, intrusion detection, incident analysis,…",None,None,3/15/21
"Associate Analyst, Business Analysis - Mastercard Launch (Gr...",Dubai,MasterCard,None,"Manage – in partnership with Business Operations – tracking, analysis and process improvement activities related to customer-impacting incidents.",None,None,3/17/21
Data Analyst and Statistician,Dubai,GfK,None,"For over 80 years, GfK has been a reliable and trusted insight partner for the world’s biggest companies and leading brands who make a difference in every…",None,None,2/19/21
IT Help Desk Analyst,Dubai,Al Tamimi,None,Monitoring the continuous operation and health of the office IT environment. The IT Helpdesk Analyst acts as the first point of contact for all users within the…,None,None,2/25/21
Account Analyst Intern - Placement Year,Dubai,Snapchat,None,We’re looking for a Business Analyst Intern to join our International Sales Team for 6-9 months during their placement year! Share across the sales team.,None,None,3/13/21
Business Analyst,Dubai,Q-Express Documents Transport,None,"In this role you will partner with Operation managers, Tech and Business Leaders to deliver data-driven recommendations and insights, identify areas of…",None,None,3/8/21
Threat Intelligence Analyst,Dubai,Help AG,None,Participate in knowledge sharing with other Analysts and writing technical articles for Internal Knowledge Bases. Perform other essential duties as assigned.,None,None,3/14/21
Sales Excellence Analyst,Dubai,Talabat,None,"Our operations span across Kuwait, Egypt, KSA, Bahrain, Oman, Qatar, Jordan and the United Arab Emirates. As part of the Delivery Hero network, Talabat is the…",None,None,3/9/21
Business Analyst,Dubai,Commercial Bank of Dubai,None,Provide reports to update management and stakeholders on product development operations. More than 8 years’ experience as Agile PO (partially possible as…,None,None,2/19/21
Investment Associate,Dubai,Chalhoub Group,None,"Experience working as a financial or investment analyst (M&A, investment banking, private equity, transaction advisory services). What you'll need to succeed.",None,None,3/12/21
