Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
"Global Investment Research, Equity Research, Business Analys...",Dubai,Goldman Sachs,None,"Strong quantitative, analytical and technical skills - experience in Excel and working with financial models. Goldman Sachs' Global Investment Research division…",None,None,3/20/21
"Product Analyst, TikTok Ads, MENAT",None,TikTok,None,Relevant bachelor's degree in a business field with a focus on quantitative or research methods; The Data Analyst will be an extension of the Product Strategy…,None,None,2/19/21
"Senior Analyst, BI & Insights",Dubai,Majid Al Futtaim,None,Execute quantitative analyses that translate data into actionable insights; We are looking for a strong Insights& research Analyst to help us build and…,Senior,None,3/19/21
Investment Associate,Dubai,Chalhoub Group,None,"Strong financial modeling and quantitative and qualitative analytical skills. Bachelor’s degree or MBA in finance, economics, or a quantitative field.",None,None,3/12/21
Quality Control Analyst,Dubai,RTC-1 Employment Services,None,"Quality Control Analyst Employment Type: Performs various scientific analyses to evaluate the quality of raw materials, in-process materials, and finished goods…",None,None,2/19/21
Business Analyst Intern,Dubai,Amazon Middle East and NA FZ,None,"Analytical and quantitative skills, ability to use hard data and metrics to back up assumptions and concepts. Experience with SQL or ETL.",None,None,2/19/21
Business Applications Analyst,Dubai,KEO International Consultants,None,"Our newest opportunity is for a talented Business Applications Analyst, to join our award-winning team based in Dubai, United Arab Emirates.",None,None,2/19/21
eTrading Analyst I,Dubai,RJ Obrien and Assoc.,None,The Analyst will also be trained to use system level risk controls and exchange platforms to enforce firm approved trading parameters.,None,None,2/19/21
Sr.Forecast Analyst,Dubai,Q Tech General Trading LLC,None,"Masters’s Degree in a quantitative field (Economics, Finance, Mathematics, Statistics, Data Science, Management) required. 5+ years of related work experience.",Senior,None,3/14/21
"Sugar Analyst, Agriculture Analytics",Dubai,S&P Global,None,Experience in quantitative analysis an advantage. We are seeking an Analyst able to develop and drive our analytical services across the sugar markets and to…,None,None,2/27/21
Analyst - Product,Dubai,Connect Blockchain,None,Requirements of the Technical Support Analyst. High level of analytical and quantitative skills. Seeking an enthusiastic individual interested in expanding…,None,None,2/19/21
Data/Business Analyst,Dubai,TGC Consulting Middle East,None,"As a Data/Business Analyst, you would interpret data and turns it into information which can offer ways to improve a business, gather information from various…",None,None,2/19/21
"Product Analyst, TikTok Ads, MENAT",Dubai,Jobsite Direct,None,Relevant bachelor's degree in a business field with a focus on quantitative or research methods; The Product Analyst will be an extension of the Product…,None,None,3/13/21
Director - Data & Analytics,None,Mubadala,None,"Data management and quantitative skills, including working knowledge of IT infrastructure, various technologies/platforms, and enterprise-specific vendor…",None,5,2/19/21
Customer Success Manager - Dubai,Dubai,OutSystems,None,"A highly quantitative approach to understanding, measuring, and forecasting customer behavior and revenue. Recognized as a leader in our market by top analyst…",None,None,2/19/21
Financial Analyst - Venture Capital - Telecom/Tech,Dubai,ParkerConnect,None,"Strong quantitative and analytical competency. Fintech, AI, Cyber Security is looking for a Financial Analyst. Recommend actions by making comparative analyses;",None,None,3/1/21
