Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Project Manager,None,"Interior, events and exhibition company","8,000-10,000","The responsibilities of the Project Manager are as follows: Assist in the definition of project scope and objectives, involving all relevant stakeholders and…",None,5,2/20/21
Travel Program Manager-Middle East,None,Pinkerton,None,Manage and support operations and technical escalations/quality and service issues. Partner with the EMEA Travel Program Manager to drive day-to-day travel…,None,None,3/17/21
Business Development Manager,None,HAITAI FZCO,"3,500-10,000","Receives enquiries, studies commercial and technical requirements for projects. Follows-up of technical and commercial negotiation to ensure order is secured,…",None,,2/20/21
Technical Support Manager YALE-ME,Dubai,Assa Abloy,None,Understanding of Technical Support Processes. The technical link between system integrators and central SDL team. Responsible of Beta Testing projects.,None,None,3/22/21
Business Development Manager,None,ibtech international FZC,None,The Impact of the General Manager *. What the General Manager owns in our company: Assist in the selection and implementation of all technical enterprise…,None,10,3/21/21
OFFICE MANAGER,Dubai,Al Ghafoor Niazdin Marine Engineering,None,Maintains professional and technical knowledge by attending educational workshops; Supports company operations by maintaining office systems and supervising…,None,None,3/12/21
Technical Project Manager,Dubai,Majid Al Futtaim,None,The Technical Project Manager holds both a leadership and management role in the technical delivery team. The Technical Project Manager will provide day-to-day…,None,None,3/11/21
Office Manager,Dubai,H&H consultancy,"7,000-10,000","Developing and implementing new administrative systems. Setting up appointments, conferences and managing meeting rooms. Social distancing guidelines in place.",None,3,3/9/21
Manager,Dubai,Expo 2020,None,"The purpose of the Manager Brand Activations is to lead all Branding Activations for the Marketing department in Program stage through to, during and after the…",None,None,3/22/21
TECHNICAL MANAGER / SENIOR INSPECTOR,Dubai,SMART WAY SAFETY,"6,000-8,000",Inspection (Mechanical) engineer with 6 yrs experience in lifting equipment. Must have attended and passed EIAC / ENAS audit.,Senior,None,3/9/21
FACILITY MANAGER (30286),Dubai,Nadia,None,"Coordinating with Security & cleaning manager for the daily operation. NADIAs client, a well-established property management company is looking to hire a…",None,None,3/18/21
MEP General Manager,Dubai,MAE electromechanical llc,"10,000-15,000","Lead technical coordination meetings with Clients, Subcontractors, Department Heads, PM¦s, MEP Managers and staff. 9 yrs MEP experience in UAE.",None,8,2/21/21
Assistant Manager,Dubai,Expo 2020,None,Work closely with Operations team to guarantee smooth procurement and contractual processes as per project and tasks assigned by line manager.,None,None,3/22/21
Project Manager,Dubai,Marsicon Electromechanical Contracting LLC,"5,000-8,000","Dubai experience for HV Cable Installation Works. In general, the duties of the Position to be filled by the Employee shall encompass the following:",None,4,3/21/21
PROJECT MANAGER TELECOM (OSP),Dubai,Xad Technologies,"6,000-8,000","To liaise with the technical project team to define and verify the scope and discuss, propose and recommend technical solutions. Knowledge of Mobile Civil Work.",None,None,3/17/21
TECHNOLOGY MANAGER - VERTICALS,Dubai,Emirates National Oil Company,None,Reviews and approves the functional and technical specifications. Acts as point of technical support and onsite support to ensure all issues related to all…,None,None,3/22/21
Technical Coordinator (x2 vacancies),Dubai,Al-Futtaim,None,"The Technical Coordinator will report to the Facilities Manager / Sr. Escalate to manager for the invoice not submitted, delayed submission.",None,None,2/20/21
GENERAL MANAGER - FMCG (30163),Dubai,Nadia,None,"As a corporate officer position, the General Manager | BU Director reports directly to the Chairman The role must combine technical knowledge of the business…",None,None,3/18/21
Maintenance Manager,Dubai,Advanced Baking Concept LLC,"12,000-15,000","Should have thorough knowledge of Electrical/Mechanical Maintenance , Erection and Commissioning Operations, PLC & Automation, Technical evaluation , Handling…",None,10,2/20/21
Accounts Manager,Dubai,Technical Resources Est,None,Required urgently Accounts Manager with UAE experience. 3-5 Years experience in similar position with audit experience. CA preferred with below age of 32 years.,None,None,3/18/21
Facility Manager- Healthcare Experience,Dubai,NMC - Corporate,None,"Validate all technical specification portions of the testing and (pre)-commissioning components. Lead, advise on and monitor energy optimization/sustainability…",None,None,3/22/21
MANAGER - PACKAGING COMPANY,Dubai,AWS DISTRIBUTION,None,"Please mention Job Title ""PACKAGING MANAGER- FMCG"" in Email Subject. A new Dubai based FOOD PACKAGING company is looking for a PACKAGING MANAGER.",None,4,3/15/21
Service Delivery Manager (SDM),Dubai,Intertec Systems,None,Experience to understand and capture business and technical requirements. Participates in client presentations and discussions to present the technical solution…,None,None,3/11/21
Reservations Manager,Dubai,Centara Hotels & Resorts,None,Strong technical knowledge in reservations management. Centara Mirage Beach Resort Dubai (Dubai). To manage the Reservations operations as per hotel standards…,None,None,3/2/21
FILLING OPERATOR,Dubai,Total,None,Minimum Secondary School Certificate with a Technical Diploma must to have. Be able to do some small maintenance in filling lines independently using his…,None,None,3/18/21
