Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Senior Business Process Manager - Administration,Dubai,eMagine Solutions,None,As process manager you work to ensure that business process outcomes are in harmony with company strategic goals. Ability to influence at all work levels.,Senior,None,2021-03-31
Business Development Manager - 719820,Dubai,Halian,None,"Proven track record of winning new business. Track record of winning new business in an. Source, develop and tactically execute a continuous pipeline of new…",None,None,2021-04-11
"Business Development Manager- Exhibitions, Interiors and fit...",Dubai Free Zone,Alsayegh Media,"10,000",Business development manager: 1 year (Preferred). Responsible for managing the complete sales and marketing process of the business.,None,None,2021-03-29
Business Development Manager,Dubai,CROSSROADS INSURANCE BROKERS LLC,"4,000-7,000",Business development: 3 years (Required). Closing deals - Sales Target-oriented. Maintain the existing accounts at renewal. Lead the meetings with the client.,None,3,2021-03-16
Business Development Manager/Sr. Business Development - West...,Dubai,Brainstorm Human Resources Consultants,"15,000-20,000","One of the leading groups having presence in Middle East, Asia and Europe and providing Consultancy services to their clients in the UAE is looking for a …",Senior,1,2021-04-01
Assistant Manager Business Intelligence – Revenue Management...,Dubai,Jumeirah,None,"Search, evaluate and recommend new vendors while revamping current processes. Conduct Business Intelligence trainings for new users as part of their on-boarding…",None,None,2021-03-28
Business Development Manager (BDM),Dubai,SSINFY,None,"Marketing executives oversee many aspects of a campaign throughout the entire lifespan of a product, service or idea. Organising events and product exhibitions.",None,None,2021-03-26
Business Development Manager (Interiors and Fitouts),Dubai,One Perfect Space,None,Responsible for managing the complete sales and marketing process of the business. Manage the tenders and proposals for new business opportunities.,None,3,2021-04-09
Business Development Manager,Dubai,Future Self Co,None,"We are looking for vibrant, ambitious freelance business development managers and executives who want to make additional income or simply want a more flexible,…",None,None,2021-04-06
Business Development Manager-Water,Dubai,Enviro Solutions - Contracts,"4,000-10,000","Min 5 Years Experience in Water Treatment and Desalination Sales and Business Development required,. Salary: AED4,000.00 - AED10,000.00 per month.",None,None,2021-03-17
Business Development Manager,Dubai,GAIN INBOUND,"5,000",Business development: 3 years (Preferred). Generates new business leads for all service lines and partners throughout the sales cycle.,None,,2021-03-29
E-Commerce Manager / Business Partner,Dubai,MYAMNS,"3,500-5,000","We are looking for an Ecommerce manager that has experience in the private label business on Amazon, Noon and etc. Salary: AED3,500.00 - AED5,000.00 per month.",None,None,2021-03-17
Senior Consultant/Assistant Manager - Business Consulting -...,Dubai,Ernst & Young,None,You will help our clients evaluate and enhance their business; with a focus on managing the risk arising from ongoing technology developments and the resultant…,Senior,None,2021-03-28
Business Strategy Manager,Dubai,Deliveroo,None,Strong track-record of hitting and exceeding businesses expectations. This is a unique opportunity in an ever changing business environment!,None,None,2021-03-12
General Manager - Healthcare,Dubai,MBH,"30,000","Leading complex negotiations and business development initiatives. Implement and improve the operational systems, processes and policies to facilitate the most…",None,None,2021-03-17
Business Development Manager,Dubai,INFOBEANS TECHNOLOGIES,None,"Manage the entire sales process from account identification, acquisition and sales closure. Establish a cordial relationship with the clients so as to ensure…",None,None,2021-04-06
Business Development Manager,Dubai,Brandaction Marketing and Events LLC,None,Business development manager: 2 years (Preferred). Develop new business relationships in an effort to grow business and help the company expand.,None,None,2021-04-05
SR. MANAGER - HSE ASSURANCE,Dubai,Emirates National Oil Company,None,"Strongly engage with the Segments/BUs management and HSE managers, and act as change agent for implementation of group HSE MS and standards requirements…",Senior,None,2021-04-08
Regional Inventory Manager EHO,Jebel Ali,National Oilwell Varco,None,"Supervise warehouse &Logistics employees’ performance to ensure business goals are met. Coordinate with Region, Supply chain team & logistics team to process…",None,None,2021-04-08
Country Sales Manager-Lower Gulf,Dubai,Advanced Integrated Tech Solution FZE,"15,000-25,000",Drive new business revenue and market share in various countries. 10 + years of technology related sales or business development experience in Lower Gulf…,None,None,2021-04-05
Sales Manager-Energy,Dubai,Advanced Integrated Tech Solution FZE,"20,000-25,000",10 + years of technology related sales or business development experience in the Energy Sector in GCC. Solid experience in technology related enterprise sales…,None,,2021-04-05
INFINITI CUSTOMER EXPERIENCE SECTION MANAGER,Dubai,Nissan,None,Manage promotions processes from a back-office perspective. Management of I-ME regional websites. Support the Management of International Markets websites.,None,None,2021-04-07
customer management,Dubai Free Zone,WURTH GULF FZE,None,"Departments such as marketing, branch management and e-business (e.g. onboarding.  Providing new impetus for multi-channel processes in close collaboration…",None,None,2021-04-11
Business Development Manager,Dubai,Halian International FZ - LLC,None,"Source, develop and tactically execute a continuous pipeline of new business. Successfully manage the generation, nurturing and tracking of qualified leads into…",None,None,2021-04-11
Project Manager- Conference & Exhibitions,Dubai,INDEX Conferences & Exhibitions,None,Absolute understanding of the sales process. Prepare plans and develop timetables with set deadlines in accordance with the project management process adopted…,None,3,2021-04-08
Business Development Manager,Dubai,Reliance Insurance Brokers,None, Excellent process orientation and presentation skills. High process orientation and presentation skills.  Ensuring retention of their existing Portfolio for…,None,None,2021-03-20
Business Development Manager,Dubai,Kone,None,Lead meetings and negotiations with stakeholders and business partners to pursue business opportunities and protect the organization’s business interests.,None,None,2021-03-12
Procurement Manager,Dubai,NEP Group,None,"Maintain financial standards, best practices, process, and document control to support the procurement of goods. Strong attention to detail and quality of work.",None,None,2021-04-08
