Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
IT Business Analyst / Product Specialist (Artificial Intelli...,Dubai,Megamind IT Solutions,"4,523-13,435","Early background in programming / software and recent transition to software business a plus. URGENTLY looking for Product Specialist for Megamind IT Solutions,…",None,None,2021-03-28
Business Intelligence Specialist,Dubai,KPMG,None,"Align data and analytics strategy and planning to the goals and objectives of the business, while architecting the stability of the existing architecture…",None,None,2021-03-12
Sr. Specialist Finance - Process Excellence & Transformation,Dubai,Talabat,None,"Working experience in business process, business analytics, and project management is a plus. Understanding of Business process modeling, strive for process…",Senior,None,2021-03-12
"Business Intelligence Specialist (OBIEE, BIP)",Dubai,Brain Quest Consultancy & Training,None,Ongoing support and business process refinement. Brain Quest is looking to hire Sr Business Intelligence Specialist / Business Intelligence Specialist who has…,None,None,2021-04-07
Documentation Specialist,Dubai,Commercial Bank of Dubai,None,Ensuring pending documents with discrepancies are picked up and advised to business units by periodical reports. Advise RMs /follow up the action taken.,None,None,2021-04-01
MR Sales Specialist - ME,Dubai,GE Healthcare,None,"Differentiates assigned product offering during the various stages of the sales process, effectively using GE resources and approved product marketing and…",None,None,2021-04-04
Recruitment Specialist,Dubai,Irwin & Dow,None,Good staff are key to every business. Our main aim is to provide a specialist service to clients preferring to work with a bespoke consultancy.,None,None,2021-04-08
Sales Supply & Support Specialist | IKEA | Dubai Festival Ci...,Dubai,IKEA,None,"Analytical skills with the ability to identify required business actions. Excellent skills in retail and/or logistics processes, tools and working methods.",None,None,2021-04-06
Social Media Specialist,Dubai,Acorn Movers LLC,"3,500-5,000",Digital Marketing & Social Media Expert with experience to work for our Shipping and Salon Businesses. Position will suit female but males will be considered.,None,1,2021-03-28
Customer Success Specialist,Dubai,Cyviz,None,"Own, drive and manage the renewals process in collaboration with the account team. You thrive on solving new, complex challenges that are unique to your…",None,None,2021-03-25
Aircraft Charter Sales Specialist,Jebel Ali Freezone,SE Turbine FZE,"8,000-10,000",Ability to generate/write reports and business correspondence. Minimum 3 years of sales experience in the aviation business is preferred.,None,3,2021-03-12
Performance Specialist,Dubai,Talabat,None,"Proven ability to manage change and implement process improvements. This role will be a hybrid between a strategic business planner, and financial analyst; we…",None,None,2021-04-05
Content Specialist,Dubai,Al-Futtaim,None,"As part of our candidate experience promise, we also want to make ourselves available to you throughout the application process.",None,None,2021-03-29
IoT - Business Development Specialist,Dubai,Flowserve,None,Proven business development success with target accounts. Growth in “IoT Triggered” pull-through after-market business. Growth in IoT Services bookings.,None,None,2021-03-12
Procurement Operations Specialist,None,Cartlow,"2,500-3,000",2+ years of experience in data-driven business operations processes where associates are required to handle large volume of data as part of their daily tasks…,None,None,2021-04-04
DevOps Engineer - UAE,None,SeeQuestor,None,"Business requirement analysis in conjunction with the domain specialists (the client, usually). We are looking for an exceptional Deployed Engineer to be based…",None,None,2021-04-06
Comm In Activity Specialist | IKEA | Dubai Festival City - D...,Dubai,IKEA,None,"Support and execution of projects that support the Marketing business plan. As part of our candidate experience promise, we also want to make ourselves…",None,None,2021-04-07
Product Registration Specialist,Dubai,Al-Futtaim,None,"Maintain & manage clear communication & tracking documents for all region registration process. As part of our candidate experience promise, we also want to…",None,None,2021-04-06
Procurement Specialist,Al Nahda,Solsys Technologies,None,A college degree in a relevant field required (such as finance or business administration). Provide oversight of the procurement process to ensure the company…,None,2,2021-03-29
R&D Specialist,Dubai,Nestle Middle East,None,"A day in the life of: New Product Development: - Develop new recipes based on project scope, complying with quality / regulatory & costs requirements - Develop…",None,None,2021-03-12
Digital Marketing Specialist (Dubai),Dubai,OnePoint,None,"This position requires presentation skills, critical thinking skills and ability to process and analyze web data sets to help make key business decisions.",None,None,2021-04-07
Food Safety and Quality Specialist,Dubai,RTC-1 Employment Services,None,"Job Role: - Monitor, verify, and validate activities to ensure that all products leaving the facility(s) meet Food Safety and Quality standards - Lead…",None,None,2021-03-12
Buyer,Dubai,"Aggreko, LLC",None,"Experienced individual contributor (specialist operational/technical role, or experienced professional). Around the world, people, businesses and countries are…",None,None,2021-03-29
SR. MANAGER - HSE ASSURANCE,Dubai,Emirates National Oil Company,None,"Lead a team of functional specialists in assurance and performance planning domains, develop and act as a focal point for managing the HSE risk management and…",Senior,None,2021-04-08
Social Media Specialist,Ras Al Khor,InnGeek.com,"3,500",Manage and grow business presence across social media channels. Proven working experience in social media marketing or as a digital media specialist.,None,2,2021-03-22
Payroll Specialist,Dubai,Ultimate HR Solutions,"5,000-5,500","Work with company database programs to process payroll. Associate's or Bachelor's degree in business or accounting preferred. Job Types: Full-time, Permanent.",None,2,2021-04-06
Storage Sales Specialist,Dubai,Hewlett Packard Enterprise,None,Experienced in articulating the business value and selling. Able to work independent on creating a pipeline and driving the sales process up to the closure of…,None,None,2021-03-12
Logistics and Account Management Specialist,Dubai,AJC International,None,"University degree or higher related to business, banking, and ocean transportation experience. AJC is a world leader in frozen and refrigerated food products,…",None,None,2021-03-12
International Campus Recruiting Specialist,Dubai,Irwin & Dow,None,You will therefore also work closely with the Department Managers and wider HR team in order to maintain control of the applicant tracking process and candidate…,None,None,2021-04-08
Trainee Recruitment Consultant - Internship,Dubai,NSI & Bluefin Talent,None,"Graduates educated with a business studies background would be preferential. We are seeking highly motivated, enthusiastic interns with an interest and passion…",None,None,2021-03-12
Finance & Accounting Specialist,Jumeirah,JBS,None,"Strong analytical, problem solving and decision-making skills to evaluate alternatives and provide recommendations on business issues.",None,None,2021-03-12
Policy and Green Economy Senior Specialist,Dubai,WWF,None,"Demonstrates an understanding of how the organization operates financially, can identify and direct toward business opportunities by managing resources.",Senior,None,2021-03-12
Traffic Operations Specialist,Dubai,ST Engineering,None,The forty-eight (48) hours per week will be provided during normal business hours. AtLeast fifteen (15) years of experience in traffic and traffic management…,None,None,2021-04-08
Senior Well Drilling & Completion Engineer - Oil & Gas,Dubai,MBH,"20,000",Provides a range of drilling completions support and technical advice and guidance within the business. Makes sure that the well delivery process has been…,Senior,None,2021-03-18
HR Specialist-Medical,Dubai,Vectrus,None,"Performs professional level human resources activities in functions such as medical services, benefits, scheduling of medical exams, crisis management support…",None,None,2021-03-12
Retail Architect Specialist- Level Shoes,Dubai,Chalhoub Group,None,"Define solution direction for proposed business initiatives. Follow all relevant Visual Merchandising policies, processes and standard operating procedures so…",Architect,None,2021-03-12
"Director, Specialist Sales",Dubai,MasterCard,None,"The best fit candidate for the role will be someone who likes to scout, create and win new Loyalty business. By bundling these solutions with Loyalty Consulting…",None,None,2021-04-07
Incident Response and Forensic Investigation Specialist,Dubai,Help AG,None,Educate and train other Analysts in execution of Incident Response processes and forensic analysis techniques. Strong analytical and problem-solving skills.,None,None,2021-03-12
Adjunct Doctorate Faculty,Dubai,Capital University College,None,Will be required to teach business and research courses. Ph.D. in Management or DBA in Management or relevant discipline and an established track record evident…,None,None,2021-04-03
Head of Machinery and Business Assets,Dubai,Cavendish Maxwell,None,Proven relevant business development experience in terms of managing client relationships and generating new business leads.,None,None,2021-04-06
Sales Specialist - Summer Internship - UAE,Dubai,Cisco Systems,None,Knowledge of the sales process preferred. Start date: June 14th 2021 (flexible). Working directly with a Sales team to gain exposure into customer engagement…,None,None,2021-03-23
Policy and Green Economy Senior Specialist,Dubai,Emirates Nature-WWF,None,"Demonstrates an understanding of how the organization operates financially, can identify and direct toward business opportunities by managing resources.",Senior,None,2021-03-12
"Associate Manager, Customer Service and Supply Chain",Dubai,BIC,None,R - Overall Order Management process knowledge. Analyze business needs in terms of products and ensure their availability. Work closely with the Demand Planner.,None,None,2021-03-20
Accounts Payable Accountant,Dubai,Virtuzone,None,"Accounts Payable (AP) Accountant is responsible for Customer Vendor Relations, ensure accounts payable functions are delivered effectively and efficiently for…",None,None,2021-03-12
Specialist/Sales Consumer Program Delivery,Dubai,Etisalat - UAE,None,"Attends Hot House meetings to represent the business owner. Evaluates technical feasibility with respect to business requirements, cost efficiency, corporate…",None,None,2021-03-31
Accountant,Dubai,Ecocoast Contracting,None,"The role requires collaboration with different business stakeholders in and outside the organization, to accomplish functional objectives in a timely and cost…",None,None,2021-03-25
Bid Manager,Dubai,GardaWorld,None,Experience with identifying new business opportunities and with managing and developing current business networks. Refer to GardaWorld Authority Matrix.,None,None,2021-04-09
Enterprise Architect - Tadarab Intern,Dubai,Deloitte,None,"Supports the research to find range of possibilities and creative alternatives to contribute to systems, process and business improvements.",Architect,None,2021-03-12
"Security Assurance Industry Specialist, MENA",Dubai,Amazon Web Services MENA FZ,None,"Familiarity with local procurement processes and developing relevant proposals. Experience in performing technical assessments and audits of network, operating…",None,None,2021-03-12
SAP Business Analyst,Dubai,Middle East Executive,None,Solid knowledge of relevant business processes and their integration with SAP systems. You will act as a liaison between the business and their IT department.,None,None,2021-03-12
