Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Chief Operating Officer,Dubai,MBH,"50,000","Assessing and implementing improved processes and new technologies, and collaborating with management regarding the implementation of these improvements.",None,None,3/17/21
Chief Data Officer,Dubai,ArabyAds,None,"Knowledge of relevant applications, big data solutions, and tools Chief Data Officer Requirements: We are seeking a Chief Data Officer to be responsible for…",None,None,3/15/21
Chief Financial Officer,Dubai,Brewer Morris,None,Managed the financials and capital structures of a company in the financial technology space involving cross-currency transactions is highly preferred.,None,None,3/22/21
Chief Technology Officer – Digital Agency – Dubai,Dubai,Salt Recruitment,None,"CTO, Engineering Manager, Head of Engineering, Head of Technology, Software Development. Salt are currently representing an established Digital agency based in…",None,None,3/2/21
Senior Administrative Officer,Dubai,Zayed University,None,"Has thorough knowledge of standard practices,procedures, software and technologies related to the current position. Prepares reports by collecting information.",Senior,None,2/20/21
Head of Platforms and Operations,Al Barsha,Global Student Accommodation,None,"Reporting to the Chief Digital and Innovation Officer (CDIO), you will drive the data management policy and framework across the company and ensure data…",None,None,3/18/21
Adoption Specialist,Dubai,3M,None,"As a leader in this company, my goal is to ensure each 3Mer sees and feels the positive impact we’re making around the world” – Mike Roman, chief executive…",None,None,3/16/21
Chief Marketing Officer,Dubai,Michael Page AE,None,"Partner with and leverage the product team, engineering team and data science team to create differentiated solutions to aid performance media and new…",None,None,3/12/21
Chief Digital Officer,Dubai,Eaton SAKS International,None,"Ability to effectively drive people, process and technology change in a dynamic and complex operating environment.",None,None,2/23/21
Network Engineer L2,Dubai,Axiom Technologies,None,Reporting to the Chief Technology Officer. Axiom Technologies is an Australia based entity with the history of providing Managed IT solutions to medium to large…,None,None,2/20/21
Account Executive,Dubai,Sitecore,None,"Define opportunity and close plans, manage the sales-cycle, building effective buying relationships, comfortable positioning Sitecore to C-level executives …",None,None,2/26/21
Vice President – Learning and Development – Jumeirah Group,Dubai,Jumeirah,None,"Leading Jumeirah’s Learning and Development strategy, in collaboration with the Chief HR Officer and the business, in order to attract, retain and develop…",None,None,2/28/21
Head of Enterprise Mobility,Dubai,GEMS Education,None,"The Manager – Mobility Platforms, reporting to the Chief Product Officer - is responsible to lead architecture design, development, and rollout of mobile driven…",None,None,2/20/21
Group Lead Core Applications,Dubai,Commercial Bank of Dubai,None,Act as a trusted advisor to the Chief Technology Officer. Stay abreast with current industry trends and technology. Develop new solutions or design concepts.,None,None,2/20/21
• Director of Library Services,Dubai,American University in Dubai,None,"Consultation with the Chief Financial Officer, and makes necessary decisions to effectively spend. Serves as the chief advocate and spokesperson for the library…",None,None,2/20/21
Deals - MERC - Senior Finance Manager - Dubai,Dubai,PwC,None,Ideal candidate will head up a team of 6 finance professionals across Dubai and Lebanon and report to the Deals Chief Operating Officer (COO) and Deals Leader.,Senior,None,3/12/21
Deals - Senior Finance Manager - Dubai,Dubai,PwC,None,You will head up a team of 6 finance professionals across Dubai and Lebanon and report to the Deals Chief Operating Officer (COO) and Deals Leader.,Senior,None,3/12/21
VICE PRESIDENT – SOLUTION SALES,Dubai,Agile Consultants,None,Reports to the Chief Executive Officer. Minimum of 4 years’ experience working in a selling role and with sales technology.,None,None,2/20/21
VP Engineering,Dubai,Ureed.com,None,This role reports to the Chief Executive Officer. Prior experience in the technical development and deployment of marketplace technology or related industries.,None,None,2/20/21
Chief Information Securiy Officer,Abu Dhabi,Robinson Faris Jones - Human Resources (RFJ-HR),None,"Role summary The Chief Information Security Officer (“CISO”) will direct strategy, operations and budget for the purpose of protecting the enterprise…",None,None,3/7/21
Chief Information Security Officer (CISO) - Abu Dhabi,Abu Dhabi,Black Pearl Consult,None,"Our client, a large entity based in Abu Dhabi, is currently looking for a Chief Information Security Officer (CISO) . At least 5 years in a leadership role.",None,None,2/20/21
IT Manager,Abu Dhabi,ParkerConnect,None,"Reports to Chief Financial Officer (CFO). Direct reports IT Help Desk Officer, Network Administration Officer, Database Administration,.",None,None,3/10/21
CTO - VR (Remote or Onsite),Abu Dhabi,Creative Technology Resources,None,In this role as Chief Technology Officer (CTO) you will provide strong technical leadership in all aspects of our business.,None,None,3/12/21
"Dean, College of Business",Abu Dhabi,Zayed University,None,"As the chief academic and administrative officer of the College, the Dean will furnish leadership to the College faculty and staff;",None,None,2/20/21
"Director, Internal Audit and Risk Management - Office of Ent...",Abu Dhabi,NYU Abu Dhabi,None,"The Director is accountable to the NYU NY Associate Vice President Internal Audit, Enterprise Risk Management and Financial Compliance Officer and to the NYUAD…",None,None,3/22/21
Director Agritech - Agriculture & Farming - Abu Dhabi - UAE,Abu Dhabi,Antal International,None,Responsible for supporting the Chief Technology Officer towards the development and design of annual program work plan activities and management and oversight…,None,None,3/3/21
• IT Project Manager – Software Development (Arabic speaker),Abu Dhabi,Black Pearl Consult,None,"Our client, a large entity in Abu Dhabi, is currently looking for an I T Project Manager – Software Development (Arabic speaker) who will report directly to the…",None,None,2/20/21
