Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
ERP implementation consultant / ERP Specialist,Dubai,Technopeak,"6,000-9,000",Knowledge in accounting and finance; Experience of 2 years or more; Higher education (finance\\accounting\\commerce\\IT); UAE driving license is preferred;,None,None,2021-03-30
ERP Field Marketing Specialist,Dubai,Oracle,None,"Applicants are required to read, write, and speak the following languages: English. Are you a creative and data-driven modern marketer who knows how to…",None,None,2021-03-16
Business Intelligence Specialist,Dubai,KPMG,None,The individual will have experience in bringing together large inter-disciplinary teams to deliver best-in-class data and analytics services to drive business…,None,None,2021-03-12
Buyer,Dubai,"Aggreko, LLC",None,"Experienced individual contributor (specialist operational/technical role, or experienced professional). To provide administrative assistance to the Purchasing…",None,None,2021-03-29
Content Marketing Specialist - English speaking,Dubai,Sana Commerce,None,As a Content Marketing Specialist you will increase the online visibility of Sana Commerce in the Growth regions* and drive regional new pipeline growth via…,None,None,2021-03-12
Finance & Accounting Specialist,Jumeirah,JBS,None,"Ensure the application of the best accounting practices and comply with corporate rules, streamlining and promoting the improvement in the quality of accounting…",None,None,2021-03-12
Senior IT Business Solution Specialist,Dubai,Azadea,None,Assist and support core users in their daily operational requirements on site and remotely. Execute pre-defined technical analysis and feasibility studies on…,Senior,None,2021-03-12
Oracle and NetSuite Specialist,Dubai,RTC-1 Employment Services,None,"Job Role: - Understand ERP products from both a functional and technical perspective for Oracle E-Business suite R12 modules Oracle Financials and Oracle FAH,…",None,None,2021-03-12
Applications Specialist SAP Auto Parts Supply Chain,Dubai,Al-Futtaim,None,"Within their process area, the application specialist will be responsible for the global solution which includes responsibility for the method and processes…",None,None,2021-03-23
"Associate Manager, Customer Service and Supply Chain",Dubai,BIC,None,"We believe that the way we reach our customers is as important as the product we choose to sell, and following this mission, the required position will be…",None,None,2021-03-20
Head of Supply Chain,Dubai,Middle East Executive,None,Our specialist teams internally are; - Commercial Management & Sales - Supply Chain & Logistics - Strategic HR - Strategy - Engineering The industries we focus…,None,None,2021-03-12
DYNAMIC NAV SUPPORT MANAGER,Dubai,Quality Point IT Consultancy,None,The Ideal Candidate will have- 5+ years of relevant experience in the NAV Technical profile. Must have successfully implemented at least 2-3 projects.,None,None,2021-03-12
ERL Sales Consultant,Dubai,IBS Software,None,"Some of the key customers who use iLogistics are Shell, Chevron, ConocoPhillips, ADNOC, Suncor, LNG Canada, PTTEP, RioTinto etc.",None,None,2021-03-12
Part Time Odoo Analyst / Software Specialist (Web / App Deve...,Dubai,ELCA Systems,None,"Bachelor or Master degree in IT Sciences / Engineering or similar. 5+ years of experience in ERP analysis, design (Requirements Specification / Schematic Design…",None,None,2021-03-12
Retail & CRM IT Specialist,Dubai,Robert Walters,None,As a Retail & CRM IT Specialist you will be directly responsible for local Retail Solutions support with help of central and/or regional Teams owning core…,None,None,2021-03-12
Chief Accountant / Finance Manager,Dubai,Intechnics,None,This role reports to Managing Director and has the below responsibilities: - Manage and maintain an ERP accounting system for 2 facilities - Record Financial…,None,None,2021-03-12
SAP Ariba Application Specialist,Dubai,HAYS,None,Software specialist throughout complete lifecycle for example functional and technical designs through to documentation.,None,None,2021-03-12
Business Development Manager,Dubai,Cloudscape Technologies,None,"If you're passionate about helping retail & restaurant business owners do better in their business, then you're a great fit for this role.",None,None,2021-03-12
IT Manager (Systems & Applications Development),Dubai,Middle East Executive,None,Our specialist teams internally are; - Commercial Management & Sales - Supply Chain & Logistics - Strategic HR - Strategy - Engineering The industries we focus…,None,None,2021-03-12
Rental Service Desk Controller (Heavy Equipment),Dubai,Black Pearl Consult,None,Scheduling operations specialist on site “familiarisations” & “off-hire inspections” and monitoring the delivery of machines.,None,None,2021-03-12
ERP Specialist,Abu Dhabi,OilExec,None,At least 3 years' experience as an ERP specialist in a related industry. Establishing ERP needs via business process analysis and consultation.,None,None,2021-03-12
Reporting & Degree Audit Specialist - Office of Academic Adm...,Abu Dhabi,NYU Abu Dhabi,None,"UAE Nationals are encouraged to apply. New York University Abu Dhabi (NYUAD) seeks to appoint a Reporting and Degree Audit Specialist, who will report to the…",None,None,2021-03-21
Management Reporting and Analysis Specialist - Budget Office,Abu Dhabi,NYU Abu Dhabi,None,UAE Nationals are encouraged to apply. New York University Abu Dhabi (NYUAD) seeks to appoint a Management Reporting and Analysis Specialist.,None,None,2021-03-22
Cyber Risk - Cyber Applications - Oracle Specialist,Abu Dhabi,Deloitte,None,"Risk Advisory - Cyber Risk - Cyber Applications – Oracle specialist. During your tenure as an Oracle specialist Consultant in Cyber Service line , you will…",None,None,2021-03-12
Assistant Supply Chain Manager (Medical Devices),Abu Dhabi,Middle East Executive,None,Our specialist teams internally are; - Commercial Management & Sales - Supply Chain & Logistics - Strategic HR - Strategy - Engineering The industries we focus…,None,None,2021-03-12
IT Specialist,Abu Dhabi,SUNDUS RECRUITMENT & OUTSOURCING SERVICES LLC,None,Vendor management Skills Data Centre Management skills Knowledge in IT hardwares and specification writing skills as per user requirement Skills in Dealing with…,None,None,2021-03-12
Senior Consultant,Abu Dhabi,Alshaya Enterprises,None,Sr. Consultants are product specialists responsible for sales and gross margin targets of specific sectors / group accounts.,Senior,None,2021-03-12
Contracts Specialist - Arabic Speaker,Abu Dhabi,Black Pearl Consult,None,"Ideal contracts specialist should enjoy drafting and editing contracts, demonstrating excellent attention to detail abilities.",None,None,2021-03-12
Oracle Fusion Financials/Procurement,Abu Dhabi,KPMG,None,Job Description: Oracle Fusion Financials Senior Consultant. Oracle Financial Senior Consultant to effectively deliver/implement Oracle Finance modules of…,None,None,2021-03-12
Technology Cloud Advisory Senior Manager,Abu Dhabi,Accenture,None,"We bring together strategic visionaries, industry experts, practitioners from across every enterprise function, business intelligence professionals, change…",Senior,None,2021-04-09
​Technical Lead II Mechanical Maintenance,Abu Dhabi,K&K Selekt,None,"We specialize in the recruitment of engineers, managers and specialists for production and service companies and new investments - ""greenfield"" and ""brownfield""…",None,None,2021-03-12
Reporting & Degree Audit Specialist - Office of Academic Adm...,Abu Dhabi,NYU Abu Dhabi,None,"New York University Abu Dhabi (NYUAD) seeks to appoint a Reporting and Degree Audit Specialist, who will report to the Registrar of the Office of Academic…",None,None,2021-03-21
Management Reporting and Analysis Specialist - Budget Office,Abu Dhabi,NYU Abu Dhabi,None,The Reporting and Data Analytics Specialist primary responsibility is to ensure that NYUAD's budget and managerial reports address the needs of the Executive…,None,None,2021-03-22
Cyber Risk - Cyber Applications - Oracle Specialist,Abu Dhabi,Deloitte,None,Leverage industry and technical expertise to assist clients addressing more effectively applications risks associated with their business;,None,None,2021-03-12
Oracle Fusion Financials/Procurement,Abu Dhabi,KPMG,None,Oracle Financial Senior Consultant to effectively deliver/implement Oracle Finance modules of Oracle Fusion Cloud in client facing roles.,None,None,2021-03-12
Technology Cloud Advisory Senior Manager,Abu Dhabi,Accenture,None,You will carry conversation around all facets of the Cloud business and draw in other resources as appropriate; You will also have experience in selling and/or…,Senior,None,2021-04-09
​Technical Lead II Mechanical Maintenance,Abu Dhabi,K&K Selekt,None,Technical Lead II Mechanical Maintenance. Technical Lead II Mechanical Maintenance. The candidate will be responsible for the performs engineering work in…,None,None,2021-03-12
Specialist Transportation ( Oil & GAS ),Al Hamriyah,Exterran,None,"Reporting directly to the Project Logistics Manager, located in Hamriyah, UAE, the Transportation Specialist provides coordination and selection of…",None,None,2021-03-12
Specialist Transportation ( Oil & GAS ),Al Hamriyah,Exterran,None,About Exterran Corporation (Embedded into all JDs in HB automatically) Exterran Corporation (NYSE: EXTN) is a global systems and process company offering…,None,None,2021-03-12
