Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Enterprise Architect - Tadarab Intern,Dubai,Deloitte,None,"Able to understand how system design balances functional, service quality and systems management requirements. Strong academic credentials (Minimum GPA of 3.3).",Architect,None,3/11/21
Enterprise Architect,Dubai,Majid Al Futtaim,None,Provide consulting support to application architects within projects to align the project with the overall enterprise architecture.,Architect,None,3/30/21
Enterprise Architect,Dubai,Zayed University,None,Describe a specific system and its relation with other systems as activity of solution architecture. The Information Technology Department seeks an incumbent…,Architect,None,3/11/21
ENTERPRISE ARCHITECTURE MANAGER,Dubai,Emirates National Oil Company,None,"Lead enterprise architects and technology SME’s to create, manage and maintain IT architecture models to attain to the organization’s strategic objectives and…",Architect,None,4/5/21
End-to-End Enterprise Architect.,Dubai,Devoteam Middle-East,None,"Works with the domain architects, product portfolio management and business segments [consumer, enterprise, digital] to ensure the architecture meets the Go-to…",Architect,None,3/11/21
Solutions Architect,Dubai,Diebold Nixdorf,None,"To lead solution architecture design, to include the technical infrastructure requirements, application development or customisation requirements, system…",Architect,None,4/1/21
Oracle Financial Consultant,Dubai,Aarnatec,"18,000-23,000","Captures and understands client’s business requirements and specifies system, application or process designs. \*An experienced consulting professional who has a…",None,None,4/9/21
CVM Architect,Dubai,du,None,"The role entails working closely with the business teams such as customer Active Base Management, Digital, Consumer and Enterprise to ensure the necessary…",Architect,None,3/11/21
Data Architect - IT - UAE,Dubai,Alshaya,None,"Work extremely closely with Integration architect to ensure principals of Data integration, architectural guidelines & Data governance are adhered to for…",Architect,None,4/8/21
Data Integration Specialist/Architect,Dubai,KPMG,None,Collaborates with enterprise architects and information architects to ensure cloud services align to roadmaps and understand the effect on the organization’s…,Architect,None,3/11/21
Head of Enterprise Mobility,Dubai,GEMS Education,None,"Establish, enforce, and evolve overall system and data governance policies as the organization matures. Assist vendor relationship to ensure system licenses,…",None,None,3/11/21
Cybersecurity Solution Architect - Global,Jebel Ali,Schneider Electric,None,"Experience working with enterprise architecture frameworks such as SABSA, TOGAF, etc. From the simplest of switches to complex operational systems, our…",Architect,None,4/5/21
