Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Internal Auditor,Dubai,Abdulla Bin Zayed Investment Group,"7,000-8,000",We are looking to hire an internal Auditor with brilliant accounting and analytical skills. Internal Auditors are expected to be organized with brilliant…,None,None,2021-03-11
Senior Compliance Officer,None,BTC - UAE,"6,000-8,000","Provides support and assistance to outside auditors when necessary. Possesses a working knowledge of Bank Secrecy Regulations, Fair Credit Acts and Anti-Money…",Senior,None,2021-03-30
Income Auditor,Dubai,Centara Hotels & Resorts,None,Reviewing daily general cashier and posting it to GL system. To audit all daily incomes that have been received by the hotel and to ensure that all relevant…,None,None,2021-03-13
Cashier / Night Audit,Dubai,The Arts Club Dubai,None,Prepare cashier’s summary and tally it with Micros (POS) reading at the close of his / her shift. The Club provides its members with a home away from home: a…,None,None,2021-04-08
Auditor,Dubai,MAZ CHARTERED ACCOUNTANT,None,"Conducting various types of Auditing & Accounting consultancy such as financial statements, feasibility studies, tax, IT audit, liquidity and financial…",None,None,2021-03-20
"Senior Internal Auditor (m/f/d), Internal audit",Dubai,Amazon Middle East and NA FZ,None,"BA/BS degree in Accounting/Finance/Business or related field. 2+ years of experience in operational auditing, risk management, compliance, or financial analysis…",Senior,None,2021-03-10
Accounts Payable Accountant,Dubai,Virtuzone,None,Ensure that supporting documents are retrieved and provided as and when requested by external and internal auditor.,None,None,2021-03-10
Chief Accountant,Dubai,Dubai Investments,None,Coordinate with external and internal auditors to ensure that audits and reviews are carried out effectively and all audit / review comments are discussed and…,None,None,2021-03-31
SENIOR ACCOUNTANT – R2R & FIXED ASSETS,Dubai,Total,None,"Validation of CAPEX approval forms initiated by concerned departments (Plant, marketing, maintenance, admin, HR, IT..). Language skills- Proficiency in English.",Senior,None,2021-04-01
QA/QC OFFICER,Dubai,Hospitality Division,None,"Create an overall AUDIT program, communicate and discuss it to all vertical division. Responsible for document management system for Hospitality, create QSC…",None,2,2021-04-03
Senior Consultant/Assistant Manager - Business Consulting -...,Dubai,Ernst & Young,None,"Whether it is working with multiple client teams, advising the clients on IT Risk related matters or assisting EY executives with business development…",Senior,None,2021-03-28
Electrification - Infrastructure Information Security Specia...,Dubai,ABB,None,"Security Certifications (CISSP, CISM, OSCP etc.) and/or Auditor certifications (ISO 27001 auditor, CISA etc.) as well as good knowledge of ITIL processes are…",None,None,2021-03-11
