Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
IT Procurement Specialist,Dubai,ManpowerGroup Middle East,None,"Company: ManpowerGroup Middle EastEmployment Type: Full TimeEducation Level: BachelorJob Type: IT, Purchasing/â€_",None,None,2/28/21
Social Media Specialist,None,Volga Tigris Digital Marketing Agency,"2,500-5,000",What does a Social Media Specialist do? Social media specialists should have a solid understanding of how each social media channel works and how to optimizeâ€_,None,None,3/26/21
RECRUITMENT SPECIALIST ( Software & IT) - 3 month Temp,Dubai,DTS,"4,000-5,000",We are looking for Technical Recruiter with experience in Software & IT profiles.,None,None,3/24/21
Global Service Provider Development & Support Specialist Ass...,Dubai,FedEx Express MEISA,None,"Our culture is important for many reasons, and we intentionally bring it to life through our behaviors, actions and activities in every part of the world.",None,None,3/25/21
Content Specialist,Dubai,Al-Futtaim,None,"ï‚§ Work closely with the SEO Specialist to produce quality content that will not only appear in search engines, but drive traffic to the site, and convert intoâ€_",None,None,3/29/21
VIE/PANGEO â€“ Communication Specialist M/W,Dubai,Veolia,None,"The communication specialist will be in charge of : Coordinating with external agencies, including marketing, advertising PR, IT, design and other advisers.",None,None,3/27/21
IT Specialist/ Web Developer,Al Nahda,AL NILE CENTRE,"6,000-8,000",Responsible in maintaining and updating content for the current website. Proposing design and feature enhancement as needed.,None,None,3/27/21
Administration Officer,Dubai,Noorka,None,Develop a reliable projection of budget to meet operating needs of Admin and to control it throughout the year. Nature and length of previous experience:,None,None,3/14/21
Jr IT Support,Al Rigga,JAMS HR Solutions,None,The IT Specialist is responsible for building the project and provide ongoing IT support to the company and its client and customers.,None,None,3/19/21
Summer Camp Activity Leader,Dubai,ClubsComplete,"3,500-4,500","Working at ClubsComplete youâ€™ll have full support from our team of advanced specialists, providing you with educational, fun and engaging activity plans.",None,None,3/27/21
ERP Specialist - ERP Software Support / Implementation,Dubai,SOFTWARE LLC,"4,000-8,000","Recent Experience in VB.net, MS SQL 2012 or above & ERP experience is a MUST. Experience in ERP / HRMS / CRM Projects is a MUST. MS SQL 2012 or above:",None,None,3/8/21
Drilling fluids specialist - Oil field chemical,Dubai,ISCS,"5,000-15,000","Complies with all company and regulatory Quality, HSE and IT standards and policies. Drilling Fluids Specialist *must have knowledge to safely and efficientlyâ€_",None,None,3/20/21
Information Technology Specialist,Dubai,Gadget Express,None,Company: Gadget ExpressEmployment Type: Full TimeEducation Level: BachelorJob Type:â€_,None,None,2/28/21
IT Security Specialist,Dubai,BFL Group,None,"Assist in creating and managing security strategies. Assist in managing and advising of security controls related to, Privacy laws (GDPR), ISO 2700K and otherâ€_",None,None,2/28/21
Purchasing Specialist,Dubai,GYMA - Bayara,None,"Analyze and execute procurement process for all requisition for Assets, Vehicle leasing, POSM, stationery, IT, service agreements and consumables item.",None,None,3/23/21
IT Administrator,Dubai,TheSay,None,IT specialist must use their expertise in database programs and languages to support enterprise-wide database access.,None,None,3/10/21
IT Analyst / Programmer,Dubai,Element Materials Technology,None,"Element has an opportunity for an IT Analyst / Programmer to join the Business Systems IT team in Dubai , UAE. Perform testing and validation of systems.",None,None,3/17/21
Digital Marketing Specialist,Dubai,Super Sponge,"8,500","Responsibilities as Digital Marketing Specialist will include the following: A growing cosmetics brand based out of UAE targeting UK, USA, North America, Europeâ€_",None,3,3/22/21
IT Support Specialist,Dubai,Smyth and Bradshaw,None,We are looking for an entry level IT Support Specialist. New Hire IT Onboarding coordination. Work with IT Managers to enhance our end-user device lifecycleâ€_,None,None,2/28/21
Learning & Development Specialist,Dubai,Stantec,None,Focus on measuring the employee engagement of the business units and take actions necessary to improve it. Our people are at the heart of everything we do;,None,None,3/18/21
SEO Specialist,Dubai,Gadget Express,None,Company: Gadget ExpressEmployment Type: Full TimeJob Type:â€_,None,None,2/28/21
Contracts Specialist or Counsel - Contracts,Dubai,ChampionX,None,"Whatâ€™s in it For You: ChampionX has an immediate need for a Contracts Specialist or Counsel â€“ Contracts based in Dubai, UAE.",None,None,3/24/21
Talent Acquisition Specialist,Dubai,Connect West Gateway HR Consultancies,"2,750-4,000","The company is growing day by day, and all the teams need to grow with it. Connect West Gateway HR Consultancies, one of the fastest growing HR Consultancyâ€_",None,None,3/20/21
Data Processing Specialist,Dubai,Gadget Express,None,Company: Gadget ExpressEmployment Type: Full TimeEducation Level: BachelorExperience: 1 YearJob Type:â€_,None,None,2/28/21
Functional Medicine,Dubai,Emirates Hospital Group,"40,000-60,000",Valid DHA license as Consultant or Specialist. We are looking for a Functional Medicine to join our Internal Medicine Team.,None,None,3/30/21
Senior IT Business Solution Specialist,Dubai,Azadea,None,Senior IT Business Solution Specialist(Job Number: Provide appropriate training for new IT Business Solution team members as well as other users.,Senior,None,2/28/21
