Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Manager Warehousing Inventory,Dubai,Expo 2020,None,"Experience of working with or for third party logistics contractors; 6+ years’ experience in management of logistics and preferably Inventory operations, as…",None,None,4/7/21
Logistics Manager,Dubai,Agroshipping LLC,None,"Company: Agroshipping LLCEmployment Type: Full TimeEducation Level: MasterExperience: 7 YearsJob Type: Logistics, Management.",None,None,3/12/21
Sr. Executive-Logistics,Jebel Ali Freezone,OREN HYDROCARBONS MIDDLE EAST FZCO,"8,000",Act as a deputy logistics in-charge in the absence of Supply Chain manager. Ensures the timely and accurate reporting to management regarding logistics related…,Senior,5,3/29/21
Logistics Manager/Supply Chain,Dubai,Xad Technologies,"5,000-6,000","Distribution and Material Handling equipment. Identify vendors, suppliers, manufacturers, retailers and consumers, including verifying credibility,.",None,None,3/12/21
Head of Procurement,Dubai,PLANETONE GROUP,"30,000","The Head - Procurement is responsible for developing a strategic approach to the procurement, material management and logistics process for the purchase…",None,10,4/4/21
Logistics Manager,Dubai,Shafaq International Trading,None,"Company: Shafaq International TradingEmployment Type: Full TimeSalary: 14,000 - 14,999Job Type: Logistics,…",None,None,3/12/21
Customer Logistics Implant,Dubai,Kraft Heinz Company,None,The customer logistic role is to be in place to support on critical operational topics within the Kraft Heinz to key distributor partnership.,None,None,3/25/21
Regional Inventory Manager EHO,Jebel Ali,National Oilwell Varco,None,"Degree with 3 years of experience in planning, inventory management, warehousing and logistics environment. Responsible to oversees/supervise activities of all…",None,None,4/8/21
Assistant Finance Manager,Dubai,Elite Express Cargo LLC,"8,000-10,000","Providing support for cashflow planning. Tax structuring for each country of operation. Preparing/reviewing the annual budget. Job Types: Full-time, Permanent.",None,4,3/12/21
Logistics Coordinator,Dubai,RANKOIL Energy DMCC,"2,500-5,000",2.Responsible for the export documents of following up、preparing、logistics and other works related. 1.Above 1 year experience trading documents & logistics…,None,2,3/17/21
Procurement Manager,Dubai,NEP Group,None,Manage the time for the Procurement and the CT personnel resources including schedules and logistics. To set up corporate accounts and negotiate the best rates…,None,None,4/8/21
customer management,Dubai Free Zone,WURTH GULF FZE,None,"We are the supplier of Fasteners, Automotive Chemicals, Hand Tools, Electrical Supplies, Construction Assembly items, Sealants, Power Tools, and Safety…",None,None,4/11/21
Operation Coordinator(RD-8B776),Dubai,Genavco,None,Perform other responsibilities and tasks as directed by the manager in order to meet department/ division objectives. Excellent skills in MS Office.,None,None,4/7/21
Cash & FX Manager,Dubai,Aramex,None,"You will be expected to drive management of Cash, Liquidity and FX across the Group. Plans, reviews, and directs cash, liquidity, and FX management operations…",None,None,3/29/21
Project Manager- Conference & Exhibitions,Dubai,INDEX Conferences & Exhibitions,None,"Oversees all logistics of the Event(s) handled; Interact closely and effectively with other departments and teams including the account manager, ensuring being…",None,3,4/8/21
Operations Manager,Jumeirah,Quttainah Medical Center,None,Operation manager: 5 years (Required). Coordinates logistics for internal and external meetings and conferences. Manages daily operations of the facility.,None,5,4/1/21
Manager,Dubai,Expo 2020,None,"The Finance Department is responsible for managing all the financial aspects of EXPO 2020. The department functions include planning organizing, auditing,…",None,None,3/31/21
Project Manager - INDEX Conferences & Exhibitions,Dubai,INDEX Holding,None,"Oversees all logistics of the Event(s) handled; Interact closely and effectively with other departments and teams including the account manager, ensuring being…",None,None,4/11/21
Assistant Procurement Manager,Dubai,PULLMAN,None,"Bachelor’s degree in a related area such as the business of economics, logistics, supply chain management, or purchasing. Pullman Dubai Creek City Centre Hotel.",None,None,4/8/21
Sales Manager (Logistics Company),Dubai,Jobskey Consultancy,None,logistics Company Exepirence is…,None,None,3/12/21
Manufacturing Plant Manager/ Site Supervisor - Al Ain,Dubai,Honeywell,None,"Responsible for planning, directing and coordinating production, automation, quality control, logistics control and material controls.",None,None,4/1/21
Logistics Executive - Local Transportation,Dubai,Petrochem Middle East,None,He or She will also be responsible to manage the derived demand for local logistics services in coordination with the respective Sales managers.,None,None,3/12/21
