Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Applications Specialist SAP Auto Parts Supply Chain,Dubai,Al-Futtaim,None,"Within their process area, the application specialist will be responsible for the global solution which includes responsibility for the method and processes…",None,None,2021-03-23
QEHS Specialist,Dubai,MBCC Group,None,"Master Builders Solutions offers advanced chemical solutions for the construction, maintenance, repair and renovation of structures.",None,None,2021-04-01
R&D Specialist,Dubai,Nestle Middle East,None,"Location: Dubai, UAE Company: Al Maha Factory Full-time Position Summary Support the factory and marketing in terms of projects and initiatives related to…",None,None,2021-03-12
Billing Specialist,Dubai,DLA Piper,None,"Develop expertise in the firm's complex billing system, processes and key client billing requirements. Develop close working relationships with the Finance team…",None,None,2021-03-12
HR Specialist-HR Logistics,Dubai,Vectrus,None,"Under supervision of the HR Operations Supervisor, performs professional level human resources operations activities.",None,None,2021-03-12
HR Specialist-Hotel Operations,Dubai,Vectrus,None,"Under supervision of the HR Operations Supervisor, performs professional level human resources activities in onboarding, training and HR operations.",None,None,2021-03-12
Sales Operation Specialist,Jebel Ali Freezone,HANKOOK,None,"Assist the business operations manager in planning, organizing and coordinating functions relating to the operation of the business.",None,None,2021-03-15
Content Marketing Specialist - English speaking,Dubai,Sana Commerce,None,As a Content Marketing Specialist you will increase the online visibility of Sana Commerce in the Growth regions* and drive regional new pipeline growth via…,None,None,2021-03-12
HR Specialist-Medical,Dubai,Vectrus,None,"Performs professional level human resources activities in functions such as medical services, benefits, scheduling of medical exams, crisis management support…",None,None,2021-03-12
SAP Business Analyst,Dubai,Middle East Executive,None,Our specialist teams internally are; - Commercial Management & Sales - Supply Chain & Logistics - Strategic HR - Strategy - Engineering The industries we focus…,None,None,2021-03-12
SAP SD Functional Consultant,Dubai,Middle East Executive,None,Our specialist teams internally are; - Commercial Management & Sales - Supply Chain & Logistics - Strategic HR - Strategy - Engineering The industries we focus…,None,None,2021-03-31
SAP Ariba Application Specialist,Dubai,HAYS,None,Software specialist throughout complete lifecycle for example functional and technical designs through to documentation.,None,None,2021-03-12
HR Specialist-OCONUS N-m IRDO,Dubai,Vectrus,None,"Under supervision of the HR Operations Manager, preforms professional level human resources activities in functions such as employee services, benefits,…",None,None,2021-03-12
Product Specialist – Perimeter Security,Dubai,FAAC Group,None,"The Product Specialist, a resident in the United Arab Emirates, will report to the Sales Manager – Projects, of FAAC Middle East, will manage current accounts,…",None,None,2021-03-12
PROCUREMENT SPECIALIST,Abu Hail,JAMS HR Solutions,None,To execute purchasing activities as per Supply chain procedures to ensure on time supplies of materials and services requirement in order to optimize cost &…,None,None,2021-03-18
HR Specialist-Subcontract LNO,Dubai,Vectrus,None,"Under supervision of the HR Operations Supervisor, the HR Specialist for subcontracts will oversee the processing of all subcontractors through the OCONUS N…",None,None,2021-03-12
Project Coordinator - Corporate,Dubai,Irwin & Dow,None,The role is responsible for the full lifestyle management of projects and provides administrative and technical support to the team.,None,None,2021-03-12
SAP Project Manager,Dubai,Middle East Executive,None,Our specialist teams internally are; - Commercial Management & Sales - Supply Chain & Logistics - Strategic HR - Strategy - Engineering The industries we focus…,None,None,2021-03-12
Retail & CRM IT Specialist,Dubai,Robert Walters,None,As a Retail & CRM IT Specialist you will be directly responsible for local Retail Solutions support with help of central and/or regional Teams owning core…,None,None,2021-03-12
SAP Ariba Application Specialist,Dubai,HAYS,None,Software specialist throughout complete lifecycle for example functional and technical designs through to documentation. What you need to do now.,None,None,2021-03-12
Product Specialist – Perimeter Security,Dubai,FAAC Group,None,"FAAC Group, a leader in every area of gates and doors automation and vehicular and pedestrian access control, can count more than 34 sales companies in 26…",None,None,2021-03-12
Project Coordinator - Corporate,Dubai,Irwin & Dow,None,Our main aim is to provide a specialist service to clients preferring to work with a bespoke consultancy. Working from prestigious offices in the heart of Dubai…,None,None,2021-03-12
Retail & CRM IT Specialist,Dubai,Robert Walters,None,Our client is a leading global luxury brand. They are looking for a Retail & CRM IT Specialist to join their team. Day-to-day Retail Applications support.,None,None,2021-03-12
ERP Specialist,Abu Dhabi,OilExec,None,At least 3 years' experience as an ERP specialist in a related industry. Establishing ERP needs via business process analysis and consultation.,None,None,2021-03-12
"Sr./ Specialist, Piping (B4)",Ruwais,Abu Dhabi Polymers Company Ltd. (Borouge),None,"Acts as Company’s technical authority and advisor in the area of Piping Engineering and provides expert services related to the design, construction &…",Senior,None,2021-03-31
"Sr./ Specialist, Piping (B4)",Ruwais,Borouge,None,"Acts as Company’s technical authority and advisor in the area of Piping Engineering and provides expert services related to the design, construction &…",Senior,None,2021-04-01
Specialist – Business Support,Abu Dhabi,Five Continent,None,"Provides advise to employees on the appropriate interpretation and application of HR policies, processes, and practices. Job Types: Full-time, Contract.",None,None,2021-03-18
Enterprise Architect - McKinsey Digital,Abu Dhabi,McKinsey & Company,None,You will have the ability to leverage other areas of Digital McKinsey including the agile prototyping and transformation experts and digital design specialists…,Architect,None,2021-03-12
PROCUREMENT SPECIALIST,Fujairah,JAMS HR Solutions,None,To execute purchasing activities as per Supply chain procedures to ensure on time supplies of materials and services requirement in order to optimize cost &…,None,None,2021-04-08
QA Specialist-(Batch Release & Review),Ras al-Khaimah,Julphar,None,Job Title: QA Specialist-(Batch Release & Review) Division: QA Operations Country: UNITED ARAB EMIRATES Work Location: UAE (RAK head office) Job Type:…,None,None,2021-03-12
Instrumentation Specialist,Ras al-Khaimah,Julphar,None,‎ The instrumentation specialist will report to Analytical Science & Technology Manager and efficiently conduct ‎all duties and responsibilities assigned and or…,None,None,2021-03-12
