Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Procurement Supply Chain Management Specialist,Dubai,RTC-1 Employment Services,None,Position Title: Procurement Supply Chain Management Specialist Employment Type: Contract Job Location: UAE About the Client: The hiring company is an oil and…,None,None,2021-03-12
Applications Specialist SAP Auto Parts Supply Chain,Dubai,Al-Futtaim,None,"Within their process area, the application specialist will be responsible for the global solution which includes responsibility for the method and processes…",None,None,2021-03-23
"Associate Manager, Customer Service and Supply Chain",Dubai,BIC,None,Set supply priorities based on Customer hierarchy and classification. We believe that the way we reach our customers is as important as the product we choose to…,None,None,2021-03-20
Head of Supply Chain,Dubai,Middle East Executive,None,Experience within healthcare / medical devices supply chain's • Strong working knowledge from Principal or with distributors • Experience in warehouse…,None,None,2021-03-12
Contracts Specialist or Counsel - Contracts,Dubai,ChampionX,None,"Drafting, reviewing, and negotiating contracts with customers through the Eastern Hemisphere commercial team or directly with the customer’s legal, contract and…",None,None,2021-03-23
Skincare Specialist,Dubai,Middle East Executive,None,We understand exactly how supply chain performance and sales performance impacts the bottom line and top line of product led businesses and we have the…,None,None,2021-04-08
Buyer,Dubai,"Aggreko, LLC",None,"Experienced individual contributor (specialist operational/technical role, or experienced professional). Communicate with vendors to resolve problems related to…",None,None,2021-03-29
Drilling Engineer (Contracts),Dubai,Dno ASA,None,Supports supply chain team in contract award negotiations. Works with HSSE specialists provide HSSE evaluations. Provides technical evaluation for all tenders.,None,None,2021-04-09
Regional Technical Support Specialist Poultry,Dubai,MSD,None,"Reporting to the Livestock Business Unit Lead, the Regional Technical Support Specialist for Poultry would lead the in-market technical support for poultry…",None,None,2021-03-30
Dentist,Dubai,Middle East Executive,None,We understand exactly how supply chain performance and sales performance impacts the bottom line and top line of product led businesses and we have the…,None,None,2021-03-12
Retail Architect Specialist- Level Shoes,Dubai,Chalhoub Group,None,"Our Retail Architect Specialist is responsible for the Group’s own equity retail and corporate concept design, creating category challenging retail concepts for…",Architect,None,2021-03-12
Assistant Manager Workforce Catering,Dubai,Expo 2020,None,"An enhanced understanding of the complexities of F&B supply chain management, including some practical abilities on food safety and security;",None,None,2021-04-06
Logistics Coordinator,Dubai,Middle East Executive,None,We understand exactly how supply chain performance and sales performance impacts the bottom line and top line of product led businesses and we have the…,None,None,2021-03-17
