Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Female Dermatologist,None,WorldWide HealthStaff Solutions,"65,000",specialized in providing aesthetic services using laser technology. Salary + Housing + Transportation + Medical Insurance + Tax Free + Sales Incentive_.,None,None,2/23/21
Zoho Apps Implementation Expert,None,Elitbuzz Technologies DMCC,"3,500",ERP Software Implementation Consultants are responsible for providing a consultative approach to the successful and timely implementation of Zoho Apps.,None,2,3/9/21
Pre-Sales Technology Consultant,Dubai,HivePro,"5,000-25,000",Willing to learn new technologies and delivering POC / live demos to customers. HIVE Pro is exploring a “Pre-Sales – Technology Consultant” to join the dynamic…,None,3,3/12/21
Technology Consultant – EMC,Dubai,Condo Protego,None,Must also be certified Implementation Engineer and Technology Architect on at least 3 product areas. The consultant role requires good written and verbal…,None,None,2/23/21
Manager – Compliance / Anti Money Laundering,Dubai,Brainstorm Human Resources Consultants,"12,000-20,000","We are working very closely with the top management of a leading International Group(Headquartered in Singapore) supporting clients across Asia, Europe and the…",None,2,3/19/21
Consultant - Risk & Advisory,Dubai,Brainstorm Human Resources Consultants,"5,000-7,000","We are working very closely with the top management of a leading International Group(Headquartered in Singapore) supporting clients across Asia, Europe and the…",None,1,3/25/21
Senior Consultant – IT Audit / Technology Risk,Dubai,Albinora Consulting FZE,None,"Company: Albinora Consulting FZEEmployment Type: Full TimeSalary: AED 14,000 - 14,999Experience: 2 YearsJob Type:…",Senior,None,2/23/21
Senior Fashion Consultant - VERSACE (Dubai),Dubai,Chalhoub Group,None,Our Senior Fashion Consultant is responsible for achieving individual and collective sales targets while delivering exceptional Guest Experience;,Senior,None,2/27/21
HRMS Implementation Consultant,Dubai,Forte Technology LLC,"4,000-5,500","We are a technology solutions company partnered with Microsoft, SAP and many other products. HRMS Software Implementation skills are necessary.",None,2,2/26/21
Technology Consultant – VMware,Dubai,Condo Protego,None,The consultant role requires excellent written and verbal communication skills to work effectively with internal teams and customer and supplier teams.,None,None,2/23/21
Junior Data Consultant (m/f/d),Dubai,Artefact,None,"State of the art data technologies, lean AI agile methodologies for fast delivery, and cohesive teams of the finest business consultants, data analysts, data…",Junior,None,2/23/21
Technical Presales Consultant - Veritas / (Based in Dubai),Dubai,Ingram Micro,None,Ingram Micro helps businesses fully realize the promise of technology. No other company delivers the full spectrum of global technology and supply chain…,None,None,3/20/21
Associate Consultant – Cyber Defense,Dubai,KPMG,None,Understanding of well-known technologies in. Understanding of technologies around following. 1 to 3 years in Cyber Security.,None,None,2/23/21
Technology Consultant – Veritas,Dubai,Condo Protego,None,"Ideal candidates must have at least 5 years of hands-on experience on various Veritas Technologies including NetBackup, NetBackup Appliance, Enterprise Vault,…",None,None,2/23/21
Associate Consultant,Dubai,Cedar Management Consulting,None,"Significant opportunities to work on strategy and technology transformation programs. Role includes being part of delivery team, with engagements that cut…",None,None,2/23/21
