Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Database Administrator,Dubai,Accel Human Resource Consulting,None,Accel Human Resource ConsultingEmployment Type:,None,None,2/23/21
Office Admin (Real Estate),None,Al Seraj Real Estate,"3,000-5,000","Managing a client database and preparing reports. For Immediate hiring, we are looking for energetic , smart and active Administrator with 2 years of real…",None,2,3/16/21
Database Administrator,Dubai,Dotcom Systems,None,"Oracle 10g, 11g Administration, SQL Server Administration, Linux/Solaris, Shell Scripting, OCA Certification. Research problems and recommend corrective actions…",None,None,2/23/21
Test Centre Deputy Administrator,Dubai,University of Wollongong in Dubai,None,"MSWord, Excel, PowerPoint and database systems. UOWD College is seeking applications to fill the position of Test Centre Deputy Administrator.",None,None,3/16/21
Office Administrator Assistant,Dubai,AEON AND TRISL REAL ESTATE BROKERS LLC,"2,000-4,000","Manage a database of property photos, before and after repairs to be used in move-out processes. Organize and maintain files to ensure current updated…",None,None,2/23/21
Office Administrator,Dubai,Blackswan,"2,500-3,500","Dealing with email & walk-in client inquiries Managing a client database and preparing reports. For Immediate hiring, We’re looking for an energetic, smart and…",None,2,3/1/21
Accountant cum Office Administrator,Dubai,Good Living Medical Centre,"3,000-5,000","Helps secure financial data by coordinating other team members with database creation and maintenance. We are looking for hiring a Accountant & Administrator,…",None,None,3/12/21
Oracle Apps and Cloud Middleware Administrator,Dubai,Techneplus,"15,000-18,000","Strong experience in database performance tuning. Production support experience with Oracle 12c database, and expertise with Oracles RAC, ASM and RMAN as a core…",None,None,3/21/21
IT Administrator,Dubai,TheSay,None,IT specialist must use their expertise in database programs and languages to support enterprise-wide database access.,None,None,3/10/21
Database Administrator (DBA) graphical,Dubai,MVP TECH,None,"Monitor and maintain database stability and availability, ensure all database instances meet organizational uptime standards. Graph Based such as Neo4j, Dgraph;",None,None,2/23/21
Recruitment Administrator,Dubai,RA International,None,"We are looking for an experienced Recruitment Administrator to be based in Dubai, in overseeing the onboarding process of new hires into the company.",None,None,2/23/21
Accounting and Operations Administrator,Dubai,Century Equipment,None,"Enter and update client information in the database. Maintaining a positive, empathetic and professional attitude toward customers at all times.",None,None,2/25/21
Accountant cum HR,Media City,Synergy Properties,"3,000-4,000","Support real estate administrator in handling sales, leasing and rental activities. Maintain and manage client database with details of deals, contracts and…",None,1,3/16/21
IT administrator – Software Engineer,Dubai,Concord Stars Contracting LLC,None,"Software database migration, Antivirus administration. How many years of IT administrator experience do you have? Manage ITsystems and operations and projects.",None,None,3/7/21
Property Supervisor,Dubai,Better Homes,None,"Requires above average computer literacy (MS Office, Internet, Database Software, etc.). Supervise and oversee the work of property administrators and…",None,None,2/23/21
Admin Real Estate,Dubai,RE/MAX -Living Choice Real Estate,"2,000-3,000","Managing a client database and preparing reports. Is looking for energetic, smart and professional Real Estate Administrator .",None,None,3/11/21
Administrator / Sales Assistance,Dubai,Grass It Up,None,To maintain the stock taking and updating product details online and in the database. Saturday to Thursday • Travel requirements: 28 to 35 • Current Location:,None,None,3/9/21
EBS Developer / Database Administrator/Oracle MIS executive,Dubai,STERLING PERFUMES INDUSTRIES,None,"Optimized PL/SQL writing, database administration: Minimum of 4-5 years’ experience and ability to understanding Oracle Database structure and tables of any ERP…",None,4,2/23/21
"Oracle Database Administrator(Oracle DBA)-Dubai, UAE",Dubai,Adecco,None,"Oracle Database Administrator(Oracle DBA)-Dubai, UAE. Native Database Disaster Recovery technologies. Designing Database Infrastructure and architecture.",None,None,2/23/21
