Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
IT consultant Officer For TeamKLA,Dubai,ACTIKNOW,None,"Experience of introducing SAP as a consultant / introduction vendor. Visualize project-wide schedules and report project issues, situations, and potential risks…",None,None,2021-03-15
Oracle Projects Consultant- Dubai.,Dubai,APPSGATE FZC LLC,"12,000","Oracle Projects Consultant based in Dubai. Very good problem-solving skills, after gathering relevant data and analyzing it. Plan and execute data migration.",None,None,2021-03-22
Senior Consultant – IT Audit / Technology Risk,Dubai,Albinora Consulting FZE,None,"Company: Albinora Consulting FZEEmployment Type: Full TimeSalary: AED 14,000 - 14,999Experience: 2 YearsJob Type:…",Senior,None,2021-02-21
Receptionist / Lounge Staff,Dubai,Big Fish Recruitment,None,Knowledge Big Fish consultants specialise in their fields and have extensive experience in the region and beyond. Other languages would be an advantage.,None,None,2021-03-18
Administrative Assistant,Dubai,Nathan & Nathan,None,"Customer support for candidates, team members including consultants. Providing customer support for candidates, consultants and the internal team as and when…",None,None,2021-03-11
Bridal Fashion Consultant,Dubai,The Bridal Showroom,None,It provides a professional and welcoming environment where the latest creations from renowned international designers can be discovered in comfort.,None,None,2021-02-21
IT Administrator,Dubai,HAMT CONSULTANTS,"5,000-6,000","We require an IT Administrator for our operations in Dubai, United Arab Emirates. Setup, troubleshoot and analyze network infrastructure, hardware, software,…",None,None,2021-02-21
ALEXANDER MCQUEEN Sales Associate,Dubai,AP Luxury Goods Gulf LLC,None,"It opens up opportunities for people to express their talent, both individually and collectively and it helps foster our ability to adapt to a changing world.",None,None,2021-03-05
Associate Consultant – Cyber Defense,Dubai,KPMG,None,"1 to 3 years in Cyber Security. English is must, Arabic is preferable. Hands on experience in IT/OT environment for most. And web application penetration test.",None,None,2021-02-21
IT Network Technician - Office Automation,Dubai,Brainstorm Human Resources Consultants,"1,300-1,500",Basic knowledge in IT networking. Urgently required IT Network Technician. For an office automation company. Basic knowledge in electronics repairing.,None,1,2021-03-21
Property Consultant,Dubai,Blackswan,"4,000-8,000","This job isn't for everyone, but if you have what it takes to make huge amounts of money, then apply today. If you’re an experienced sales person with a hunger…",None,None,2021-03-01
Technical Presales Consultant - Veritas / (Based in Dubai),Dubai,Ingram Micro,None,What's in it for you? We are are looking for a proactive Technical Presales Consultant - Veritas with excellent communication skills to enhance the sales of…,None,None,2021-03-20
Automotive Service Advisor - ServicePics implant,Dubai,Pineapple Group FZE,"10,000","Aware of new technology and how it impacts the customer process. The hired service advisor will be a Pineapple Group staff member, designated as a consultant,…",None,3,2021-02-21
Business Consultant / 4.0 Consultant,Dubai,Honeywell,None,Prepare and lead presentations with Regional consultant. The Business Consultant is responsible for supporting the Regional Solutions Consultants across EMEA to…,None,None,2021-03-05
Digital Transformation Consultant -Banking,Dubai,Comarch,None,"Master level in Economics, IT, Banking, Management or related. If you’re looking for a challenge that stretches your talents and you want to make a real…",None,None,2021-02-21
Sales | Pre-Sales Cyber Security Consultant,Dubai,SysCons Computers LLC,"8,000-14,000",Ability to map and interact with all levels (including C-level executives) in Client's IT Organizations.*. Lead customer facing demonstrations proof of concepts…,None,3,2021-03-19
Property Consultant (French),Dubai,Ellington Properties,None,Assemble detailed property portfolio and present it to clients. Develops property listings by building rapport and reaching out to potential buyers in the…,None,None,2021-03-23
Visitor Guide,Dubai,Big Fish Recruitment,None,Knowledge Big Fish consultants specialise in their fields and have extensive experience in the region and beyond. Self-assured with a willingness to learn.,None,None,2021-03-18
IT Manager,Dubai,Green Gulf Careers,None,"As a leader in the IT department, and an employee responsible for organisation-wide systems and information, an IT Manager job description should include the…",None,None,2021-02-21
Principle Consultant UAE,Dubai,Honeywell,None,The future is what we make it. Ensure right priority assigned to it within the organization. Design & shape application architecture ensuring that it meets…,None,None,2021-02-21
Government GTM,Dubai,IBM,None,"6-8 years experience in selling IT projects in the UAE market. About Business UnitIBM Services is a team of business, strategy and technology consultants that…",None,None,2021-03-23
Analytics & Insights (A&I) Internship - Summer 2021,Dubai,Procter & Gamble,None,"You will act as an internal, active and influential business strategy consultant, whose role it is to ensure that consumer and shopper insights are the…",None,None,2021-03-04
D365 ERP Functional Consultant - People Tech,Dubai,Kitopi,None,"So, what does it really mean to work at Kitopi? At least 4 years' experience as an ERP consultant in a similar industry. And we can’t wait for you to join us.",None,None,2021-03-16
Leasing Consultant,Dubai,ARENCO REAL ESTATE,None,We are currently looking for Lease Consultant to join our real estate vertical. Finding Tenants – Leasing Consultant are responsible for finding new tenants to…,None,None,2021-03-17
Senior IT Engineer,Dubai,CBD Accounting & Tax Consultant,None,"Bachlor degree or above in IT Engeering major. Proven work experience as a Front-end & Back-end developer. Experience with JavaScript, CSS, and jQuery*.",Senior,,2021-02-21
Associate Consultant,Dubai,Cedar Management Consulting,None,"The focus is on providing strategic advice and executing change across Strategy, Process, HR, and IT. Principal accountabilities of the role would be to execute…",None,None,2021-02-21
Mechanical Engineer,Dubai,Abdullah A. AlMoosa Enterprises - Arenco Group,None,"Attend meetings and interacting with design consultants, supervision consultants, main contractor and client for all Mechanical engineering, construction,…",None,None,2021-03-22
Professional Services Consultant,Dubai,Fortinet,None,The Professional Services Consultant activities include but are not limited to: Experience working as a Professional Services senior consultant or engineer is a…,None,None,2021-03-09
PMO Lead Consultant,Dubai,Virtusa,None,"Virtusa is one of the fastest growing IT Services companies in the Middle East with a growing client base in the UAE, KSA and Qatar and we work with the leading…",None,None,2021-03-06
IT Manager,Dubai,Louzan Fashion,None,"MBA with a specialization in IT preferred. Manage team of consultants, programmers, developers, and analysts. Knowledge of Oracle ERP, ITIL, LAN, WAN, Operating…",None,None,2021-02-21
Property Consultant,Dubai,Foxhills Realty,None,Our company is on the hire for Property Consultants who will be willing to join our growing company. Responsible for closing deals by contacting potential…,None,None,2021-03-04
Consultant in Power System,Dubai,ENGIE Impact,None,"While society is making strides toward a sustainable future, it isn’t happening fast enough. As a Consultant and Power System Expert, you will contribute to…",None,None,2021-03-11
