Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Office Administrator,None,BuddyBoss,"5,000-7,000","Coordinate with IT department on all office equipment. Previous experience with IT companies and Tech startups. Organize, coordinate and setup new hires.",None,None,2021-03-17
FEMALE FRENCH SPEAKING Social Media Manager,None,Nenen Trading Dmcc,"4,000-5,000","Track on daily basis all projects deployment. We’re currently seeking a young, dynamic, self-motivated and professional NATIVE French speaking female _…",None,3,2021-03-21
Finance Manager - Real Estate,None,Michael Page AE,None,"Contribute in the budget preparation for the organisation, departments and projects and review of financial reporting packs with the Finance Head before it is…",None,None,2021-03-16
Project Manager - Temp (One year contract - Extendable),Dubai,Marsh and McLennan,None,"Manages a small project, from start to finish, or one phase of a large project, so that it is completed on time and within budget. 8 - 14 years of experience.",None,None,2021-03-19
Technical Project Manager,Dubai,Majid Al Futtaim,None,The Technical Project Manager will provide day-to-day management of the project. Facilitate lessons learned sharing across other project managers.,None,None,2021-03-12
QHSSE Manager Oil & Gas,Dubai,MBH,"15,000", To assist in the implementation of HSE Management Systems at the Project Level in coordination with the Project Management and Line Management.,None,None,2021-03-05
IT Coordinator,Dubai,NOVOTEL,None,"What is in it for you: Professional degree in IT from reputed Institute/University. Provides immediate solutions when possible, furnishes feedback to the users…",None,None,2021-03-09
Project Manager,Dubai,MVP TECH,None,"Prepares initial project plan, review with all stakeholders, verify, amend and issue a final project plan. Handles all ELV/IT and Security Systems projects and…",None,None,2021-02-20
IT Project Manager,Dubai,TGC Consulting Middle East,None,"As a Project Manager, you are responsible for planning, overseeing and leading projects from ideation through to completion.",None,None,2021-02-20
IT Project Manager,Dubai,RTC-1 Employment Services,None,IT Project Manager Employment Type: Coordinate all IT infrastructure related activities within all business units (ERP) • Be the in-house POC for installation…,None,None,2021-02-20
School Administration Manager,Dubai,LEAMS Education Services (Gamma Holdings Ltd.),None,Ability to manage multiple projects simultaneously and comfortably with ambiguity. Ensure that IT services are full-fledged to support the virtual learning…,None,None,2021-03-16
Web Agency Project Manager,Dubai,Atechy Group,"4,000-8,000",Web Agency Project Manager Responsibilities: Our company is urgently looking for a Web Agency Project Manager. Working Visa supplied with Annual ticket home.,None,None,2021-03-09
Software Project Manager - Airports,Dubai,Honeywell,None,Report to Project Manager on project progress and relevant issues on a regular basis. Review incoming project documentation for impact to the Project Scope and…,None,None,2021-02-20
Customer Marketing Manager MEA,None,Essity,None,Customer Marketing Manager Middle East and Africa. The Customer Marketing Manager is responsible for driving the Customer Marketing budget and plans that are…,None,None,2021-03-11
Admin Intern,None,Upgrade Digital,"1,500-2,000","WHAT IS IN IT FOR YOU?*. As an intern at Upgrade Digital, you will have the opportunity to work on projects that will enhance your SOFT SKILLS (communication,…",None,,2021-02-20
Project Manager - Software Asset Management ( SAM) & ITSM,Dubai,EMT,None,Acts as the technical project management interface to the vendor project team. Manages and tracks project risks. Work with the Technical Leads on projects.,None,None,2021-02-22
Project Manager,Dubai,TechSource Solutions LLC,None,"Manage changes to the project scope, project schedule, and project costs as per the organizational change management process. Arabic speaking is a must.",None,None,2021-03-04
Project Manager,Dubai,Sobha LLC,None,"In charge for all the landscaping projects, planning, execution, completion and maintenance of projects consisting of Softscape, Hardscape and Irrigation System…",None,None,2021-02-20
HR cum Operation Manager,Dubai,Doo Technology,"20,000-35,000","Excellent project and people management. Consulting with the line managers and provide daily HR guidance. As we set foot in Dubai, we invite the best talents to…",None,5,2021-02-20
IT Manager,Dubai,RTC-1 Employment Services,None,"Coordinate with the staff through a series of actions, either face to face or over the telephone to help set up systems or resolve issues • Provide support,…",None,None,2021-02-20
"Senior Project Manager – Digital Solutions, UAE",Dubai,Johnson Controls,None,"Senior Project Manager – Digital Solutions, UAE - WD30097838223. As a Senior Project Manager, you will identify and pursue opportunities to fine-tune and…",Senior,None,2021-03-12
Leasing Manager,Dubai,4 Direction Real Estate Broker,"5,000-7,000",Introduce new projects located in Dubai. Monitor each salesperson's daily performance and compare it with that month's objective. Motivate them to perform well.,None,None,2021-03-17
Regional Talent Manager - MEIA,Dubai,Cartier,None,It also actively contributes to projects at local and international level as part of the International Talent Management strategy. What is your main role?,None,None,2021-03-18
IT Help Desk Manager,Dubai,Career Raiser,None,This position reports to the IT Director. Create and implement an IT Support knowledge base. Participate in system conversions on a project basis.,None,None,2021-02-20
Client Relationship Executive (Female) DMS Global – Dubai,Dubai,DMS Global,"10,000-12,000","Obtaining client feedback, and put it in action. Making new sales for the DMS business lines – Projects and Event. Driving license is a must.",None,,2021-02-23
IT SPECIALIST Network,Dubai,Parsons,None,"Supervision Received - Senior IT Specialist, IT Infrastructure Manager District Manager; Provides operational support for small-to-medium-sized IT…",None,None,2021-03-04
Manager – Lean Transformation,Dubai,ECS ME LLC,"15,000-30,000",Experience implementing Lean in IT organization or service organizations or Ops/Manufacturing environment (with IT knowledge). 3+ years’ experience in IT.,None,None,2021-03-08
Procurement Manager,Dubai,Al-Futtaim,None,Review and update progress of works and provide support to satisfactorily complete the sourcing projects. Take our engaging and supportive work environment and…,None,None,2021-03-19
Head Of Information Technology,Dubai,KPMG,None,All IT projects executed according to project plan and as per Global ITS standards. The candidate is responsible for managing IT projects (ERP/CRM/HRM/Data…,None,None,2021-02-20
Chief of Staff - Government & Public Services - Manager,Dubai,Deloitte,None,Possess strong project management and time management skills. Monitor the implementation of multiple projects within the industry program across businesses.,None,None,2021-03-04
Marketing & Events Project Manager,Dubai,-ING Creatives (Marketing department),None,"Previous project management experience, preferably with start-ups. Write and Manage sharing of monthly project status report. We are proud of our work.",None,None,2021-02-20
Information Management Manager,Dubai,Wood Plc,None,Develop reporting tools to aid Project Managers & Project Engineers. The position is responsible for lifecycle data management in support of Project Managers…,None,None,2021-03-09
IT Manager,Dubai,WHR Solution,None,"As an IT Manager, you will be responsible to provide first level support for both users and guests for various IT and Business applications.",None,None,2021-02-20
"Manager - Quality, Health, Environmental & Safety systems",Dubai,DHL Express,None,"Project management Certifcation is a plus. Act as contact point for all customer enquiries in regards to QMS, EMS, OHS, IT management systems.",None,None,2021-03-20
"Summer Intern, Franchise",Dubai,MasterCard,None,"Manager coaching and guidance on project. It focuses on providing interns with an opportunity to learn about Mastercard’s business, build foundational…",None,None,2021-03-17
Project Manager with Dubai Municipality and Trakhees License,Dubai,Build Corp Interiors,None,"To find a great Project Manager, consider including some of these common skills in your Project Manager job description: Cost and risk management skills.",None,10,2021-02-22
"Manager, Vendor Management (Softlines)",Dubai,Amazon Middle East and NA FZ,None,"A willingness to roll up sleeves to get it done. Execute and lead projects to more efficiently source stock, manage prices, execute promotions.",None,None,2021-03-10
Infrastructure Ops Manager,Dubai,Majid Al Futtaim,None,"IT Management, Projects, and Business Departments on the IT Infrastructure requirements of installed and planned IT equipment, covering network, security, IP…",None,None,2021-03-12
ALEXANDER MCQUEEN Sales Associate,Dubai,AP Luxury Goods Gulf LLC,None,"Reporting – Store Manager / Store Director. It opens up opportunities for people to express their talent, both individually and collectively and it helps foster…",None,None,2021-03-05
"Real Estate, Construction and Engineering Manager - MENA",Dubai,Q Tech General Trading LLC,None,"Coach and guide all project teams (sub-contractors, maintenance engineers and commissioning engineers) throughout the full project lifecycle.",None,None,2021-03-13
Business Development Manager,Dubai,Ayur Mandala Ayurveda Center,"4,000-5,000",Strong communication skills and IT fluency. Ability to manage complex projects and multi-task. Contacting potential clients to establish rapport and arrange…,None,1,2021-03-17
Project Manager/ Finance & Strategy (Based in Dubai),Dubai,Ingram Micro,None,"You will be creating Business Requirements, Project Plans, Project Schedules and associated project materials; What's in it for you? Which Talent do you bring?",None,None,2021-02-20
Retail & Shopper Manager,Dubai,KANTAR,None,Managing projects with manufacturers on shopper and e-commerce space. Have successfully designed and delivered shopper projects to clients & prospects.,None,None,2021-03-16
Global Manager - Ecommerce & Last Mile Customer Success,Dubai,Aramex,None,"Drive operational excellence and efficiencies projects. Excellent cross functional skills including Sales, Operations, Invoicing, IT etc.",None,None,2021-03-17
Assistant Manager,Dubai,Lifestyle Concept,None,"Responsible for rollout of all Business Excellence Projects and work along with IT. Working directly with Head of Retail, Territory retail managers and Concept…",None,None,2021-02-20
Brand Marketing Manager,Dubai,Anghami,None,"It is as social as it is personal. At a minimum, the candidate has led/directed research projects and developed analysis and reports. Who are we looking for:",None,None,2021-03-20
Retail & Shopper Manager,Dubai,Kantar TNS,None,Managing projects with manufacturers on shopper and e-commerce space. Have successfully designed and delivered shopper projects to clients & prospects.,None,None,2021-03-16
"UAE National- IT Executive | IKEA Service Office | Dubai, UA...",Dubai,IKEA,None,"In coordination with Regional IT Project Manager. Responsible for the new store project management – IT Infrastructure, telecommunication, Navision & LS Retail…",None,None,2021-03-03
GENERAL MANAGER,Dubai,Grow Digital Services,None,Monitor profitability of each account & project. Are you a manager that is far from general? Set Targets for managers and measure their performance regularly.,None,None,2021-03-02
Engineering Manager - W Residences,Dubai,"Marriott International, Inc",None,"W guests soak it in and live each day with a mantra: Accountable for managing the budget, capital expenditure projects, preventative maintenance and energy…",None,None,2021-02-24
