Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Technical Coordinator (x2 vacancies),Dubai,Al-Futtaim,None,"The Technical Coordinator will report to the Facilities Manager / Sr. Escalate to manager for the invoice not submitted, delayed submission.",None,None,2/23/21
Service Delivery Manager,Dubai,Chalhoub Group,None,"Maintaining relationships with technical teams, IT, and business partners; You know what it means to be conscience of the customer and consider the customer in…",None,None,3/12/21
Desktop Support Engineer,Dubai,Trafigura,None,The successful applicant will be required to provide effective and skilled IT assistance across the region and will be reporting directly to the Regional IT…,None,None,3/23/21
IT Help Desk Manager,Dubai,Career Raiser,None,This position reports to the IT Director. Create and implement an IT Support knowledge base. 4+ years managing/Supervising and IT Help Desk environment.,None,None,2/23/21
Asst. IT Manager Hospitality,Dubai,Career Raiser,None,Fulfilling all IT requirements for Banqueting. Implement Preventive Maintenance for all IT hardware & Software. A) Systems administration and operation.,None,None,2/23/21
Store InCharge - Watches,Dubai,Al-Futtaim,None,Suitable manpower planning done by department managers; Minimum two years Assistant Store Manager experience. The chance to push the limits every single day.,None,None,3/19/21
"UAE National- IT Executive | IKEA Service Office | Dubai, UA...",Dubai,IKEA,None,In coordination with Regional IT Project Manager. IT Tools (Multi-Channel) & Business Processes. Responsible for the new store project management – IT…,None,None,3/3/21
Head Of Information Technology,Dubai,KPMG,None,"The candidate is responsible for managing IT projects (ERP/CRM/HRM/Data Analytics), leading IT resources according to the enterprise wide IT strategy and in…",None,None,2/23/21
Facility Manager- Healthcare Experience,Dubai,NMC - Corporate,None,It is more focused on the energy management and commissioning. Validate all technical specification portions of the testing and (pre)-commissioning components.,None,None,3/23/21
Consulting Project Technical Director,Dubai,OFSS,None,"Interact with all roles at customer – including CIO, CTO, IT Architects, technical staff and Business representatives. Provide internal and external reporting.",None,None,3/21/21
Field Support Engineer,Dubai,Intertec Systems,None,To support daily technical support activities for IT equipment and application management. Administration and maintenance of the assigned BU’s IT Infrastructure…,None,None,3/11/21
Technical Account Manager,Dubai,Nexus Group,None,"As a Technical Account Manager, you will be responsible in engaging and maneuvering large technically complex deals, managing all technical aspects of Nexus’…",None,None,3/3/21
