Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Project Manager,None,Marsicon Electromechanical Contracting LLC,"5,000-8,000","Information and maintaining an organized and accessible filing system. Measure project performance using appropriate systems, tools and.",None,4,3/22/21
Information Management Manager,Dubai,Wood Plc,None,Experience with various collaborative and common data environment systems to at least system administrator level. Experience with PMC scale project delivery.,None,None,3/9/21
Area Retail Manager,Dubai,720 Transform,"20,000",Coach Store Managers to use commercial information effectively. Support induction of new recruits through buddy system. Execute new store openings and re-fits.,None,5,3/9/21
Information Technology Manager,Dubai,RISKTAL,None,Manage all internal operations and information systems. Post graduate degree in Information Technology. Bachelor's degree in Information Technology or Computer…,None,None,2/21/21
Computer & Information System Manager,Dubai,Sisco Jobs,None,"Plan and direct the work of other IT professionals, including computer systems analysts, software developers, information security analysts, and computer…",None,None,3/20/21
Information Security Assurance Manager,Dubai,Mott MacDonald,None,The Information Security Assurance (ISA) Manager will take responsibility for the delivery and adoption of the Information Security Management System (ISMS)…,None,None,3/22/21
Head Of Information Technology,Dubai,KPMG,None,"While not a direct people manager, he manages the work output of the project team and provides feedback on individual performance for evaluation to his…",None,None,2/21/21
OFFICE MANAGER,Dubai,Al Ghafoor Niazdin Marine Engineering,None,"Supports company operations by maintaining office systems and supervising staff. Maintains office efficiency by planning and implementing office systems,…",None,None,3/13/21
TECHNOLOGY MANAGER - VERTICALS,Dubai,Emirates National Oil Company,None,Ensuring the optimal balance between the development of new systems and leveraging existing systems. 13+ years of Information Technology experience.,None,None,3/23/21
Delivery Lead - ERP & EPM Systems,Dubai,Majid Al Futtaim,None,"The Delivery manager continually monitors the systems performance, user utilization and resolves issues. Ability to understand complex systems integrations…",None,None,3/15/21
"Finance Manager - Systems,Process&Audit",Dubai,Al-Futtaim,None,Finance Manager – System & Process Compliance. Drive system and process improvements within the overseas automotive finance functions.,None,None,3/5/21
Asst. Finance Manager,Dubai,PLANETONE GROUP,"8,000-13,000",Finance Manager- Based in RAK-UAE*. Oversee the issuance of financial information. Development and implementation of a business risk management system to…,None,4,3/7/21
Website Manager,Dubai,Nathan & Nathan,None,"Must have at least 1+ years of work experience as a Website Manager. Must have Expert knowledge of Macromedia suite, Adobe suite, Content Management Systems …",None,None,3/23/21
IT Coordinator - Aloft Al Mina,Dubai,"Marriott International, Inc",None,"Enter and locate information using computers and/or Point of Sale (POS) systems. Plan and coordinate information technology-related equipment installations,…",None,None,3/18/21
Client Service Manager,Dubai,KANTAR,None,Take part in own performance management using the online appraisal system. Share PDP with line manager to engage their support where relevant.,None,None,3/20/21
Travel Program Manager-Middle East,None,Pinkerton,None,Exposure to sensitive and confidential information. Drive the implementation of new processes/ acquisition integration and travel systems.,None,None,3/17/21
Sales Executive,None,ITR Global,"12,000-20,000","Reports to the Sales and Marketing Manager. Sound knowledge of computer systems and terminology e.g. IT Mac, Adobe Photoshop, Google Analytics and WordPress,…",None,None,3/14/21
Senior QA/QC Engineer / Document Controller,None,Interior Design & Fit-Out Company,None,Maintain confidentiality of company information; Coordinate all QA/QC activities with the site QC manager. Coordinate all QA/QC activities with the site QA/QC…,Senior,None,3/21/21
Brand Manager,Dubai,Colgate-Palmolive,None,Simplifies systems and processes to eliminate unnecessary work. Utilize brand/category information from other CP markets/categories and Global Business…,None,None,3/19/21
Customer Service Executive - L'Occitane,Dubai,Chalhoub Group,None,"Raise replacement purchase orders or debit / credit notes in the system as per the instructions from RDBS Manager. Return to vendor, temporarily stock loan).",None,None,3/19/21
Project Manager,Dubai,Marsicon Electromechanical Contracting LLC,"5,000-8,000","Information and maintaining an organized and accessible filing system. Measure project performance using appropriate systems, tools and.",None,4,3/22/21
Client Service Manager,Dubai,Kantar TNS,None,Take part in own performance management using the online appraisal system. Share PDP with line manager to engage their support where relevant.,None,None,3/20/21
Assistant Guest Relations Manager,Dubai,"Marriott International, Inc",None,Assists in the use of a guest information tracking system to ensure that a successful repeat guest recognition program is in use to recognize guest preferences…,None,None,3/20/21
French - Arabic Coordinator and PA,None,Thallium Consulting,"4,000-5,000","Creating, maintaining, and entering information into databases. Maintain Direct Manager schedule and coordinate calendar activities.",None,None,2/21/21
