Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Solutions Architect Intern,Dubai,Amazon Web Services MENA FZ,None,Cloud Awareness: Experience implementing a cloud-based technology solution in a school project or while working for a company desired.,Architect,None,2021-03-26
Architect,Dubai,Al Gafry Consulting Architects Engineers,None,Responsible for preparing conceptual design solutions that include drawings/sketches/3D models/powerpoint presentations. Should possess a SOE Card.,Architect,,2021-04-08
Architect,Dubai,Blue Bahar Engineering,None,Apply sustainable design solution and comply to all local Green Building Regulations. Prepare and present design solutions and take part in various stages of…,Architect,None,2021-03-10
Sales Intern,Dubai,Amazon Web Services MENA FZ,None,"You are studying business, economics, computer science, or a comparable field and are at least in the third semester of your bachelor's degree or in your master…",None,None,2021-04-09
Solutions Architect,Dubai,Diebold Nixdorf,None,To document and present the solution architecture to the client and take a leading role in the application design and integration aspects of the solution.,Architect,None,2021-04-01
Accela Architect,Dubai,Aarnatec,"18,000-24,000","Manage customer expectations and drive adoption of the solutions delivered. Collaborate with project teams, enforce best practices and ensure all solutions…",Architect,None,2021-04-09
Architect,Dubai,Bronze Electromechanical Bros,None,Apply sustainable design solution and comply to all local Green Building Regulations. Prepare and present design solutions and take part in various stages of…,Architect,None,2021-03-10
"Lab Automation Workflow Solutions Architect - IDS, EMA",Dubai,BD,None,Plays a key role in enabling customers to achieve an optimized integrated solution combining leading edge technology with outstanding processes.,Architect,None,2021-03-22
Technology Consulting Solutions Architect for MEA,Dubai,Oracle,None,"As a member of the Consulting organization, you are responsible for ensuring that a quality, integrated software solution is delivered in a timely manner, at…",Architect,None,2021-03-29
Enterprise Architect - Tadarab Intern,Dubai,Deloitte,None,Supports architecture impact analysis of business requirement and solutions. Able to support creation of High level and low-level design documents for solutions…,Architect,None,2021-03-10
Architect (Mid - Senior),Dubai,LNR Consultancy,None,Opportunity with leading design consultancy who are interested in speaking to experienced Architects at Mid and Senior level.,Senior,None,2021-03-10
Digital Learning Architect,Dubai,Scancruit,None,Implement the translation of existing training programmes to new e-Learning environment utilizing innovative solutions.,Architect,None,2021-04-06
Concept Architect,Dubai,Golden Square Engineering Consultants (GS),None,Immediately looking to hire below candidate concept designer Architect Job Description: - Create and design concepts in line with clients' vision and parameters…,Architect,None,2021-03-10
Retail Architect Specialist- Level Shoes,Dubai,Chalhoub Group,None,Define solution direction for proposed business initiatives. Our Retail Architect Specialist is responsible for the Group’s own equity retail and corporate…,Architect,None,2021-03-10
Contract Principal Architect,None,Deerfoot I.T. Resources Ltd,None,"Key Skills/Domain: *Experience architecting and developing mobile (Android and iOS) solutions *Strong development experience with Swift, Objective-C, and Java.",Architect,None,2021-04-09
CVM Architect,Dubai,du,None,CVM solutions - 2+ years’ experience in CVM solution architecture and preferably hands-on deployments. Prior experience in designing CVM solutions that leverage…,Architect,None,2021-03-10
Enterprise Architect,Dubai,Majid Al Futtaim,None,"Define the principles, guidelines, standards, and solution patterns to align solution decisions with the future-state enterprise architecture.",Architect,None,2021-03-30
Architect,Dubai,Engage Selection,None,"Good Knowledge of Design software and modelling software and presentation software Such as: Autocad, Photoshop, Sketchup, 3D Max, Revit, Lumion and Rhino •…",Architect,None,2021-03-10
Architectural Draughtsman,Dubai,JTLI Contracting,None,"Represent architect on construction site, ensuring builder compliance with design specifications and advising on design corrections, under architect’s…",Architect,None,2021-03-21
Cloud Architect,Dubai,VaporVM,None,"The Cloud Architect will support the sales organization and engage with customers to understand their business drivers, build cloud strategy, capture technical…",Architect,None,2021-04-06
Manager,Dubai,Kantar TNS,None,Works with internal and external clients to identify cost effective solutions. Responsible for turning complex research approaches into workable & profitable…,None,None,2021-04-07
MEP Engineer / Supervisor,Dubai,Decoart,None,"Manage to oversee the work of subordinate staff contact architects or engineers. Analyze mechanical, Electrical and Plumbing engineering problems and formulate…",None,5,2021-04-04
Enterprise Architect,Dubai,Zayed University,None,Describe a specific system and its relation with other systems as activity of solution architecture. The Information Technology Department seeks an incumbent…,Architect,None,2021-03-10
Executive Architect,Dubai,Oracle,None,Advises internal and external clients on overall architect solutions. Focuses on large or complex sales opportunities that need creative and complex solutions.,Architect,None,2021-03-10
AWS Solutions Architect,Dubai,Integra Technologies,None,"Serve as technical liaison between customers, sales and support teams. Be able to educate and convince customers about the value proposition of AWS.",Architect,None,2021-03-10
Data Architect,Dubai,du,None,Must have several years of data architect experience and have worked on large scale data migration programs. Data ETL from the new stack into the BI stack.,Architect,None,2021-03-10
Digital Solution Architect,Dubai,ECS ME LLC,None,Preparation and timely delivery of all technical deliverables with respect to the solution. Prepare data collection templates for gathering all required data…,Architect,None,2021-04-07
Data Architect - IT - UAE,Dubai,Alshaya,None,"Work extremely closely with Integration architect to ensure principals of Data integration, architectural guidelines & Data governance are adhered to for…",Architect,None,2021-04-08
Sales Engineer,Dubai,Insta Finishes,"3,500",Support Sales with solution selling into prospect account base. Successfully match customer pain/requirements to proposed solutions.,None,&3,2021-04-05
Architect (Technical Authority),Dubai,Wood Plc,None,"Review building plans and site design for aesthetics, environmental acceptability, compliance with codes and standards and accessibility requirements and…",Architect,None,2021-03-10
Software Engineer,Dubai,DT One,None,Work with development teams and product managers to build software solutions. Full end-to-end delivery of software solutions.,None,None,2021-04-04
E2E Enterprise Architect,Dubai,du,None,Demonstrable use / knowledge of solution / application design. Several years’ development experience and previous solution design experience is desirable.,Architect,None,2021-03-10
Web Developer,Dubai Silicon Oasis,Al Hijan marketing services,"2,500-3,500","Work collaboratively with professional developers, system architects and product managers to deliver high quality technical solutions.",None,None,2021-03-19
Channel & Digital Architect,Dubai,du,None,Identifying technology solutions to expand the channel footprint and penetration rate for unassisted and partner channels is of prime importance and the…,Architect,None,2021-03-10
Operations Analyst,Dubai,Payfort INT FZ LLC,None,They know how to propose a workaround solution during times of crisis and recover transactions while still working on the end to end solution.,None,None,2021-03-10
Software Developer,Dubai,Scientific Analytical Tools,None,Technical solutions and supporting deliverable will be constructed to enable the client to accomplish its business objectives. 3+ years API development/support.,None,None,2021-03-10
Data Integration Specialist/Architect,Dubai,KPMG,None,Collaborates with enterprise architects and information architects to ensure cloud services align to roadmaps and understand the effect on the organization’s…,Architect,None,2021-03-10
Technical Architect - CRM,Dubai,IRISSTAR Technologies,None,"Assisting solution design, and implementation of Microsoft Dynamics CRM/ Dynamics 365 solution. Ability to design, configure and deploy Dynamics CRM solutions…",Architect,-/36510,2021-04-06
Tibco Developer,Dubai,ECS ME LLC,None,"Work with Principal architect in defining and implementing best practices architecture & solution design, implementation.",None,None,2021-03-31
