Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
MIS Analyst,Dubai,Allegiance Real Estate L.L.C,"10,000",Develop MIS system for customer management and internal communication. Provide support and maintenance to existing management information systems (MIS).,None,None,2021-02-21
Financial Analyst,Dubai,Talabat,None,Reporting the month end figures (FTEs/KPIs/FS) to the financial reporting system. Validating the Billing System vs BI data to ensure the data is processed…,None,None,2021-03-22
Junior Data Analyst,Dubai,Cheil Worldwide,None,Entering & uploading collected data on software systems & website. This role will be part of the Online Merchandising project and will need to collect and…,Junior,None,2021-03-18
Associate Data Analyst,Dubai,Bayut | dubizzle,None,Development of data collection processes and data management systems. We are looking for a Data Analyst to join our Product team.,None,None,2021-03-08
IT Support Analyst,Dubai,Zayed University,None,Networking Concepts and WIN/MAC Operating Systems. The Information Technology Department seeks an incumbent for the position of IT Support Analyst to provide…,None,None,2021-02-21
IT Help Desk Analyst,Dubai,Al Tamimi,None,"Managing the office IT infrastructure on the ground (door access systems, CCTV, telephone system, end user computing devices, print production, mobile devices,…",None,None,2021-02-25
PPM Analyst,Dubai,Zurich Insurance Group,None,"General knowledge of insurance systems and experience with word processing, database, statistical, and presentation software.",None,None,2021-03-19
Revenue Analyst,Dubai,"Marriott International, Inc",None,Be proficient in systems audits and training with emphasis in Sales Force Automation and Next Generation System. Input and access data in sales systems.,None,None,2021-03-22
IT Analyst / Programmer,Dubai,Element Materials Technology,None,"Element has an opportunity for an IT Analyst / Programmer to join the Business Systems IT team in Dubai , UAE. Perform testing and validation of systems.",None,None,2021-03-17
Business Analyst,Dubai,"Aggreko, LLC",None,"Experience in an ERP system is desired. Every project is different, so we listen first and design a system supported by our service anywhere, to any scale.",None,None,2021-03-15
Data Analyst,Dubai,Munich RE,None,3 to 5 year of experience as a data analyst preferably within the insurance / reinsurance / actuarial field. Develop and maintain the understanding of the full…,None,None,2021-02-21
IT System Support Analyst (Sage),Dubai,Bayut | dubizzle,None,"In this essential role, you will be central in providing ongoing support and development of core IT systems and supporting infrastructure, working in a…",None,None,2021-03-08
Delivery Lead - ERP & EPM Systems,Dubai,Majid Al Futtaim,None,Ability to understand complex systems integrations architecture. Ensure pervasive system issues are analyzed and resolved. No disruption to business operations.,None,None,2021-03-15
Business Analyst,Dubai,Majid Al Futtaim,None,"I.e. Qualtrics, CRM, Oracle, ERP systems, Document Management Systems, Content Management systems. Technical knowledge in Qualtrics, CRM, Oracle, ERP systems,…",None,None,2021-03-11
Credit Analyst,Dubai,Tricon Energy,None,Familiarity with business intelligence tools and ERP systems (JD Edwards and Oracle BI a plus). The Credit Department is looking to add a full time analyst who…,None,None,2021-03-05
Group Financial Reporting Analyst,Dubai,NTS Group,None,Uploading weekly financials for companies that are not working on the same system. Must have previously held a similar position as a Reporting Analyst with…,None,None,2021-02-21
