Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Pega test Eng,Dubai,Virtusa,None,Good understanding and awareness of financial crime regulatory requirements and international best practice. This spirit of cooperative disruption drives every…,None,None,3/8/21
Financial Services Industry Advisor – Customer Advisory (Pre...,Dubai,SAS Institute Inc,None,"Ensures right positioning of SAS value propositions for their various LoBs in the bank (Credit, Marketing, Fraud and Financial Crimes, IT, Analytics,).",None,None,2/17/21
"DEVELOPMENT COORDINATION OFFICER, PROGRAMME COMMUNICATIONS A...",Abu Dhabi,United Nations,None,Candidates who have committed crimes other than minor traffic offences may not be considered for employment. The position also maintains a working relationship…,None,None,2/17/21
"Instructor, Media Production and Storytelling",Abu Dhabi,Zayed University,None,Use digital media technologies thoughtfully and appropriately; There is little to no crime as people from all different countries work and socialize together in…,None,None,2/17/21
Assistant Professor in Integrated Strategic Communications,Abu Dhabi,Zayed University,None,Use digital media technologies thoughtfully and appropriately; There is little to no crime as people from all different countries work and socialize together in…,None,None,2/17/21
Professor in Media Production and Storytelling,Abu Dhabi,Zayed University,None,"Use digital media technologies thoughtfully and appropriately; We seek candidates with innovative ideas who will be able to teach digital media, innovative…",None,None,2/17/21
Digital Risk Lead,UAE,Warner Scott,None,An excellent opportunity has arisen to join a large Middle Eastern Bank based in the UAE as a Lead Digital Risk Consultant within their rapidly expanding�,None,None,2/17/21
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
