Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Network Administrator,Dubai,Gadget Express,None,"Company: Gadget ExpressEmployment Type: Full TimeJob Type: Admin,…",None,None,2/17/21
Network/System Administrator,Dubai,CGI Group,"3,000-4,000","Hands-on experience with servers and computer networks, Server and network administration and network installation. Creative and open to new ideas.",None,None,3/6/21
Network Administrator,Dubai,Dotcom Systems,None,"Strong IT hardware and Network skills. Windows Server Administration, Mail Servers, Virtual Server. Excellent Knowledge of Servers/OS/Mail Servers.",None,None,2/17/21
Network Administrator,Dubai,Ziad Galadari Group,None,Provide network support to users. Maintain network connectivity of all computer workstations. Minimum 5 to 7 years of experience • Must have experience in…,None,None,2/17/21
IT Administrator,Dubai,British Council,None,"Assist in the maintenance, identification and resolution of network problems. Dubai, Middle East and North Africa, AE. Software used by the organisation).",None,None,3/15/21
Network & System Administrator,Dubai,eVision IT Solution,None,Infrastructure Management Network administration Software Installation and Configuration LAN WAN Hardware Configuration and setup Cyberoam Firewall Firewall…,None,None,2/17/21
IT Administrator,Dubai,ALNAJMA ALFAREEDA INTERNATIONAL GROUP,None,"Managing warehouse for complete IT setup including CCTV cameras, computer, and network. Overall responsible for IT operation, Data security, Software, and…",None,2,3/17/21
IT Administrator,Dubai,TheSay,None,"Responsibilities Install and Configure Networks • The candidate will work directly with an organization’s servers and networks, performing setup, enhancement,…",None,None,3/10/21
IT Administrator,Dubai,Adonis Contracting LLC,None,Should have Network troubleshooting skills like RJ45 crimping and Keystone Jack punching. Should have the knowledge to install and share printers on a network.,None,None,2/23/21
IT Administrator,Dubai,Nitty Gritty Technical Service and Contracting LLC,None,"NG IT Administrator - Job Profile. Network infrastructure and user level backup.  Daily Managing, Monitoring, Maintenance of critical IT System and Network…",None,None,3/1/21
NETWORK ENGINEER,Dubai,Virtua Advanced Solution,None,"Schedule upgrades and collaborate with network architects on network optimization. Maximize network performance by monitoring performance, troubleshooting…",None,None,3/11/21
Network Security Administrator,Dubai,RTC-1 Employment Services,None,"Network Security Administrator Employment Type: Responsible for managing the network security, compliance, and integrity of all systems, working in conjunction…",None,None,3/3/21
System Administrator – Windows and Azure,Dubai,Intertec Systems,None,"System Administrator will work closely with internal IT teams supporting applications, Network team, Information Security team, DBA team and business project…",None,None,3/11/21
