Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
NETWORK ENGINEER,Dubai,Virtua Advanced Solution,None,"Schedule upgrades and collaborate with network architects on network optimization. Maximize network performance by monitoring performance, troubleshooting…",None,None,2021-03-11
Network Engineer L2,Dubai,Axiom Technologies,None,Collaborating with network architects to design and implement functional company networks. Creating and implementing network security measures.,None,None,2021-02-18
Senior Security Architect,Dubai,Securelink,None,"Experienced in defining security baseline standards, best practices and security controls for various infrastructure technologies.",Senior,None,2021-02-18
"Security Assurance Industry Specialist, MENA",Dubai,Amazon Web Services MENA FZ,None,"Security Assurance Industry Specialist, MENA. Experience in performing technical assessments and audits of network, operating systems, application security, as…",None,None,2021-02-18
Senior Solutions Architect - Infrastructure,Dubai,Majid Al Futtaim,None,Additional Specialties in Cloud Network or Security are an added benefit. Industry Expert Certifications in Network & Security Infrastructure such as CCIE in…,Senior,None,2021-03-12
Architect Professional Services - Dubai,Dubai,Fortinet,None,"8+ years’ experience with network security products. Experience working as an IT security consultant or architect. Fluent English, Arabic an advantage.",Architect,None,2021-02-18
Information Security Manager (UAE Nationals only),Dubai,Hamdan Bin Mohammed University,None,"The Information Security Manager is responsible for protecting the university’s computers, servers, network, applications, and data against information security…",None,None,2021-03-12
System Engineer,Dubai,"ESRI, Inc.",None,"Assist with communicating troubleshooting guidance to related platform components such as storage, networking, security. Our mission is simple yet powerful:",None,None,2021-03-13
Cyber Security Architect (SOAR) Presales & Implementation,Dubai,CC Staffing International,None,"Experience with networking, network protocols & security infrastructures. Design and develop customers Security Analytics, Security Operations, Automation &…",Architect,None,2021-02-18
IBM Z Lead Architect – Middle East & Africa,Dubai,IBM,None,"Blockchain, Cognitive, Security) is required. Blockchain, Cognitive, Security) is required. Actively use social media channels to reach out to business…",Architect,None,2021-03-03
Manager - Technology & Platform Services,Dubai,Majid Al Futtaim,None,"Help architect to implement solutions that solve complicated application challenges, including application performance, scalability, and security.",None,None,2021-03-12
SOC Architect,Dubai,Talent Arabia,None,"Network Systems / Network Security Systems (Firewalls / IPS / IDS, Proxies / Load Balancers / Routers / Switches / Tapping solutions).",Architect,None,2021-02-18
Cloud Engineer,Dubai,Metamorfs Infotech Pvt Ltd,None,"Managing Network Virtual Appliance with High Availability, Configuring Network Security Groups, User Defined routes. AD Administration in Windows Servers.",None,5,2021-03-17
Cloud Architect,Dubai,Michael Page AE,None,Experience in network and security architecture. AWS / Azure Solutions Architect Expert certification is a plus.,Architect,None,2021-02-18
Cloud Architect and administrator,Dubai,Marc Ellis Consulting,None,"Identify improvements to IT documentation, network maps, processes/procedures, and tickets. Good knowledge of databases, infrastructure, application servers,…",Architect,None,2021-02-18
Group Lead Core Applications,Dubai,Commercial Bank of Dubai,None,"Excellent understanding of Banking Domains (Retail & Corporate, Banking Network, Product Development, Transaction Banking).",None,None,2021-02-18
"Lead Solution Engineer - Networking & Security, Southern EME...",Dubai,NSBU,None,"Understand and articulate the impact of Network Security to a customer’s physical IP network, operations and future network and networking security…",None,None,2021-02-18
Enterprise Client Executive - Dubai,Dubai,Rackspace,None,"We combine our expertise with the world’s leading technologies — across applications, data and security — to deliver end-to-end solutions.",None,None,2021-02-24
Staff Software Engineer II (Infrastructure Architecture),Dubai,Careem,None,"As an Infrastructure Architect, you will guide customers on how to configure and deploy their Careem infrastructure consisting of cloud environments and…",Architect,None,2021-03-15
Professional Services Engineer - Dubai,Dubai,vArmour Networks,None,"Document customers’ environment including security tools, network tools, and CMDB currently in place. Excellent knowledge (nice to have) network security…",None,None,2021-02-18
Solution Area Lead - Applications & Infrastructure,Dubai,Accenture,None,"Accenture is a global professional services company with leading capabilities in digital, cloud and security. Certified Delivery Lead (SIDL), Certified Solution…",None,None,2021-02-18
Cloud Platforms & DevOps Manager,Dubai,Majid Al Futtaim,None,"Continuously evolve and maintain strong security standards across all platforms, ensuring Security standards and principles are established and socialized…",None,None,2021-03-12
Territory Sales Manager ( MENA ),Dubai International Financial Center,SettleMint,None,Coordinate proposal preparation and solution design with the support of solutions architects. Our product is being used to build solutions that reinvent e…,None,None,2021-02-18
Enterprise Architect,None,Beacon Red,"35,000","A demonstrable interest in cyber security. As an Enterprise Architect, you are fascinated with technology and want to help teams build and deploy the best…",Architect,None,2021-03-10
IT Infra and Security Architect,Abu Dhabi,4th Wave,None,"Enterprise IT Infra and Security Architecture Design. API Security and Access Controls (OAuth/SAML, Web SSO). Security Architecture Design for SaaS, IaaS, PaaS,…",Architect,None,2021-02-18
Network & Security Architect,Abu Dhabi,Marc Ellis Consulting,None,Produce architectural network designs for large scale networks. Strong technical knowledge on network and security concepts.,Architect,None,2021-02-18
AWS Cloud Security Architect,Abu Dhabi,RNTRUST,None,RNTrust is hiring for AWS Cloud Security Architect for our banking client in India. The AWS cloud security architect will lead the design and development of the…,Architect,None,2021-02-18
Arabic Network Engineer,Abu Dhabi,Quess Corp Management Consultancy,None,And perform network configuration optimization. Support network planning and design. Implement and enforce VPN/SSL access security policies.,None,None,2021-03-19
Enterprise Architect,Abu Dhabi,Synergein Technology LLC,None,"Familiarity with network protocols - TCP/IP, HTTP, SSL,. Experience in Cybersecurity, Information security, Identity, Access Management and Information privacy.",Architect,10,2021-02-18
Digital Channel Architect,Abu Dhabi,Avanza Solutions,None,"Good technical knowledge of digital environment including Mobile, Web, Apps, APIs, Messaging, Databases, Big Data, Networks and their interactions.",Architect,None,2021-03-18
Enterprise Architect,Abu Dhabi,HAYS,None,"Experience in Cyber Security, IAM, Big data, Data Engineering, Network and Security and AI solutions. URGENT REQUIREMENT ENTERPRISE ARCHITECT ABUDHABI (12-MONTH…",Architect,None,2021-02-21
Systems Engineer - Gulf,Abu Dhabi,Palo Alto Networks,None,"Prior experience selling network infrastructure-based security appliances, including but not limited to: Experience and knowledge of modern network threats and…",None,None,2021-03-09
Infrastructure Support Engineer,Abu Dhabi,Talent Boutique,None,"ITIL, MCSA/MCSE, VCP, VMWare, Citrix, RedHat, TOGAF • A demonstrable interest in cyber security • Experience with popular IT platforms and tooling • Capable of…",None,None,2021-02-18
Enterprise Architect,Abu Dhabi,Beacon Red,"35,000","A demonstrable interest in cyber security. As an Enterprise Architect, you are fascinated with technology and want to help teams build and deploy the best…",Architect,None,2021-03-10
