Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Security Consultant,Dubai,Securelink,None,"Previous experience as an Information Security Specialist, Information Security Consultant or ISO Security standards implementation specialist.",None,None,2021-02-18
Pre-Sales Technology Consultant,Dubai,HivePro,"5,000-25,000",Experienced in installing security software and documenting security issues. Ability to identify and mitigate Operating System & network vulnerabilities.,None,3,2021-03-12
Pre-sales Consultant/ Cyber Security (Based in Kuwait),Dubai,Ingram Micro,None,3-5 years of Cyber security presales experience (2-3 years recent presales experience). The company supports global operations by way of an extensive sales and…,None,None,2021-03-12
PRESALES CONSULTANT (30156),Dubai,Nadia,None,"Experienced in installing security software and documenting security issues. Our client, a reputed multinational Cyber Security Consulting company with a…",None,None,2021-03-19
Fortinet / Palo Alto Security Consultant,Dubai,Halian - UAE,None,Strong background and experience in Network Security domains into TCP & IP networks. We are looking for an experience Fortinet/ Palo Alto Security Consultant to…,None,None,2021-02-18
Associate Consultant – Cyber Defense,Dubai,KPMG,None,"Areas will be a plus- SOC, GRC, IAM, DevSecOps, Data Security, OT security and. 1 to 3 years in Cyber Security. English is must, Arabic is preferable.",None,None,2021-02-18
"Managed Defense Consultant, Cyber Security",Dubai,"FireEye, Inc.",None,"Fundamental understanding in network and security protocols and operating systems (Windows, Unix, Linux). FireEye is the intelligence-led security company.",None,None,2021-02-18
Special Programs and Innovation Consultant,Dubai,"FireEye, Inc.",None,"Network penetration testing and manipulation of network infrastructure. Strong knowledge of tools used for wireless, web application, and network security…",None,None,2021-03-19
Manager Safety & Security Systems and Technology,Dubai,Standard Chartered,None,"Property, H&S, Security, Resilience (Crisis Mgt and BCP), IT, Cyber Security, Compliance, Supply Chain Management,.",None,None,2021-03-05
IT Administrator,Dubai,HAMT CONSULTANTS,"5,000-6,000",Monitor and support daily network operations on both wired and wireless networks; Operate and maintain Network Management Systems (NMS);,None,None,2021-02-18
Operations Manager,Dubai,Big Fish Recruitment,None,Security) to ensure smooth and efficient running of operations. Knowledge Big Fish consultants specialise in their fields and have extensive experience in the…,None,None,2021-03-17
Information Technology,Dubai,Next Engineering Consultants,None,"Expert knowledge in routers, gateways, wireless network (large setups). Experience 7 years and above *. Routing, switching, and access points.",None,7,2021-02-23
"Solutions Consultant, META",Dubai,Cofense,None,Technical experience in systems or network security engineering in a consulting atmosphere preferred. Understanding of Enterprise Email clients and Mail…,None,None,2021-02-18
Service Delivery Manager (SDM),Dubai,Intertec Systems,None,"The Delivery Consultant is responsible for: A strong understanding of monitoring and management tools, ITSM service desk tool, Security tool, Backup tool etc.…",None,None,2021-03-11
Area Manager,Dubai,Al Shamsi Holdings,None,"To ensure the safety and security of people, stock, cash and property, implementing effective administration, POS, procedures and security systems throughout…",None,None,2021-02-18
Principal Consultant – Digital Workplace (VMware),Dubai,Mobility MEA,None,Providing configuration management and security compliance for the virtual infrastructure software and hardware. Proven success oriented professional attitude.,None,None,2021-02-23
