Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Test Centre Deputy Administrator,Dubai,University of Wollongong in Dubai,None,UOWD College is seeking applications to fill the position of Test Centre Deputy Administrator. The position of the Test Centre Deputy Administrator works in…,None,None,3/15/21
IT Administrator,Dubai,ALNAJMA ALFAREEDA INTERNATIONAL GROUP,None,"Overall responsible for IT operation, Data security, Software, and hardware maintenance. Giving IT Support to all the departments including the shop floor and…",None,2,3/17/21
Network/System Administrator,Dubai,CGI Group,"3,000-4,000","Preserve assets, information security and control structures. Ensure security of data, network access and backup systems. Creative and open to new ideas.",None,None,3/6/21
IT Administrator,Dubai,TheSay,None,Manage Information Security • Maintain information security throughout the organization by monitoring access logs and building database security procedures.,None,None,3/10/21
Network Security Administrator,Dubai,RTC-1 Employment Services,None,"Network Security Administrator Employment Type: Responsible for managing the network security, compliance, and integrity of all systems, working in conjunction…",None,None,3/3/21
IT Administrator,Dubai,HAMT CONSULTANTS,"5,000-6,000","Develop and support digital security policy and procedures; We require an IT Administrator for our operations in Dubai, United Arab Emirates.",None,None,2/17/21
System Administrator – SCCM and Windows,Dubai,Intertec Systems,None,"Protect Infrastructure Servers from Security threats by timely updating OS patches, security patches and service packs. Experience in Handling Content Library.",None,None,3/11/21
IT Executive,Dubai Free Zone,Flemingo International Ltd,"4,000-6,000","Ensure effectiveness of security solutions, including firewalls, anti-virus, VPN and intrusion detection system. Experience in backup solution such as Veeam.",None,2,3/11/21
Assistance Logistic Administrator,Abu Hail,JAMS HR Solutions,None,"Responsible for the MEA Supply Chain Security. Organize the daily workload for all outbound shipments to meet Customer request, promise and delivery dates,…",None,None,3/7/21
IT System Administrator,Dubai,Accel Human Resource Consulting,"4,000",Perform routine audit of IT security and other risk assessment tasks and offer recommendations to the management to implement new IT controls and security…,None,5,3/17/21
Database Administrator,Dubai,JAMS HR Solutions,None,"Determining, enforce and document database policies & procedures Perform tests and evaluations regularly to ensure the data security, privacy and integrity.",None,None,3/7/21
System Administrator,Dubai,RTC-1 Employment Services,None,Perform system configurations across all the subsystems in the advance traffic management software • Assist the transport authority in preparing response Plans…,None,None,3/9/21
NETWORK ENGINEER,Dubai,Virtua Advanced Solution,None,"Support and administer firewall environments in line with IT security policy. Configure firewalls, routers, switches, and WAN accelerators to maximize network…",None,None,3/11/21
Web/Graphic designer and IT Administrator,Dubai,Darina Holidays,None,"Ensure security of data, network access, and backup systems. Maintaining the appearance of Company websites by enforcing content standards and digital media…",None,None,3/17/21
Property Management Administrator/Officer,None,Bin Hendi Enterprises L.L.C,"6,000-8,000","Evaluate, complete the documentation and submit vacated Tenant’s security deposit refund for approval & payment. Updating the vacant properties for rent.",None,5,2/25/21
Database Administrator,Dubai,Dotcom Systems,None,"Maintain Oracle Server configurations consisting of RAC, Data Guard, Advanced Security, RMAN and Grid Control. SQL and stored procedure development.",None,None,2/17/21
