Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Chief Finance Officer,Dubai,Melodica Music & Dance Institute,None,"Develops finance organizational strategies by contributing financial and accounting information, analysis, and recommendations to strategic thinking and…",None,None,3/17/21
Chief Data Officer,Dubai,ArabyAds,None,"Knowledge of relevant applications, big data solutions, and tools Chief Data Officer Requirements: We are seeking a Chief Data Officer to be responsible for…",None,None,3/15/21
Chief Executive Officer,Dubai,Nathan & Nathan,None,9Skills of communication and contact with others and the delivery of technical information to non-specialists. The Chairman of the Board of Directors.,None,None,2/17/21
Adoption Specialist,Dubai,3M,None,"As a leader in this company, my goal is to ensure each 3Mer sees and feels the positive impact we’re making around the world” – Mike Roman, chief executive…",None,None,3/16/21
Chief Technology Officer – Digital Agency – Dubai,Dubai,Salt Recruitment,None,Salt are currently representing an established Digital agency based in Dubai who have instructed us on a search for a CTO to join their Dubai HQ and head up…,None,None,3/3/21
Account Executive - Global,Dubai,EasyGenerator,None,"The opportunity to work closely together with our Chief Revenue Officer, a former Google and Salesforce employee. We are growing approximately 100% per year.",None,None,3/10/21
COO,Dubai,Rawaj - Human Capital Management,None,VP Operations are also known as Chief Operating Officers (COOs). They are responsible for overseeing and managing company's or organisation's day-to-day…,None,None,3/9/21
Chief Technology Officer,Dubai,Argyll Scott,None,"As part of the growth strategy, we are recruiting a Chief Technology Officer who will globally lead the development of technology solutions and platforms for…",None,None,2/20/21
Senior Administrative Officer,Dubai,Zayed University,None,"Prepares reports by collecting information. Conducts research, gathers and compiles data/ information and prepares reports. Add To Basket Refer Apply Now.",Senior,None,2/17/21
Chief Digital Officer,Dubai,Eaton SAKS International,None,The fundamental responsibility is to lead the organization Information and technology strategic goals and digital objectives.,None,None,2/23/21
Emergency Doctor (Mali / Kosovo),Dubai,Iqarus,None,Provision of clinical reporting into Iqarus Chief Medical Officer. Support the clinical excellence framework under direction from the Chief Medical Officer.,None,None,2/17/21
Content Manager,Dubai,Uppercase Group,None,"Possesses information about market trends. Systems thinking, love for structuring information*. Understanding business - the basics of information business.",None,None,2/17/21
Project Director / COO Hospital Dubai,Dubai,AMI Healthcare,None,AMI Healthcare™ is seeking a Project Director / Chief Executive Officer with proven track record in project implementation and management of hospitals for a…,None,None,2/17/21
Group Head of Communications (Arabic speakers only),Dubai,Tiro International,None,Our client - a large multi-billion dollar conglomerate group is looking to recruit Group Head of Communications (reporting directly to Group Chief Operating…,None,None,2/17/21
Account Executive - French speaking,Dubai,EasyGenerator,None,"The opportunity to work closely together with our Chief Revenue Officer, a former Google and Salesforce employee. We are growing approximately 100% per year.",None,None,3/3/21
MEPT Emergency Doctor (Mali),Dubai,Iqarus,None,Provision of clinical reporting into Iqarus Chief Medical Officer. Support the clinical excellence framework under direction from the Chief Medical Officer.,None,None,2/17/21
Account Executive,Dubai,Sitecore,None,"Define opportunity and close plans, manage the sales-cycle, building effective buying relationships, comfortable positioning Sitecore to C-level executives …",None,None,2/26/21
Network Engineer L2,Dubai,Axiom Technologies,None,Reporting to the Chief Technology Officer. Please visit our website for more information about what we do at www.axiomtechnologies.com.,None,None,2/17/21
Head of Enterprise Mobility,Dubai,GEMS Education,None,"The Manager – Mobility Platforms, reporting to the Chief Product Officer - is responsible to lead architecture design, development, and rollout of mobile driven…",None,None,2/17/21
Global Business Development Representative,Dubai,EasyGenerator,None,Work with our experienced Chief Revenue Officer (a former Google and Salesforce employee) to lay out and execute Easygenerator’s strategic sales agenda.,None,None,2/17/21
• Director of Library Services,Dubai,American University in Dubai,None,"Consultation with the Chief Financial Officer, and makes necessary decisions to effectively spend. Contact information of three (3) academic/professional…",None,None,2/17/21
Chief Information Securiy Officer,Abu Dhabi,Robinson Faris Jones - Human Resources (RFJ-HR),None,"Role summary The Chief Information Security Officer (“CISO”) will direct strategy, operations and budget for the purpose of protecting the enterprise…",None,None,3/8/21
Group Chief Financial Officer,Abu Dhabi,Black Pearl Consult,None,"Our client a large group of companies based in Abu Dhabi, is currently looking for a Group Chief Financial Officer . Develop financial and tax strategies.",None,None,3/7/21
CTO - VR (Remote or Onsite),Abu Dhabi,Creative Technology Resources,None,In this role as Chief Technology Officer (CTO) you will provide strong technical leadership in all aspects of our business.,None,None,3/12/21
IT Manager,Abu Dhabi,ParkerConnect,None,"Reports to Chief Financial Officer (CFO). Direct reports IT Help Desk Officer, Network Administration Officer, Database Administration,.",None,None,3/11/21
DFAC Supervisor,Abu Dhabi,DynCorp International LLC.,None,"Prefer military Chief Warrant Officer 1 through 4 (CW1-CW4) Food Service Advisory level. Maintain all DFAC financial records in accordance with contract, Army…",None,None,2/17/21
Investment Risk Manager,Abu Dhabi,Barclay Simpson,None,"Please contact me for further information or apply here. In this high profile role the Strategy, Research and Risk Specialist will support the Chief Investment…",None,None,3/17/21
Port Engineer - Marine,Abu Dhabi,Marine Company,None,Certificate in Ship security officer. Sending circular technical administration and safety information to engine room crew on monthly basis.,None,None,2/17/21
Chief Information Security Officer (CISO) - Abu Dhabi,Abu Dhabi,Black Pearl Consult,None,"Our client, a large entity based in Abu Dhabi, is currently looking for a Chief Information Security Officer (CISO) . At least 5 years in a leadership role.",None,None,2/17/21
CFO - Leading Middle Eastern Group Company,Abu Dhabi,BAC Middle East,None,"The CFO reports to the Chairman and Vice President, and work with the Finance Director, Chief Operating Officer and Executive Directors on all strategic matters…",None,None,2/17/21
"Dean, College of Business",Abu Dhabi,Zayed University,None,"As the chief academic and administrative officer of the College, the Dean will furnish leadership to the College faculty and staff;",None,None,2/17/21
Head of Anti-Money Laundering,Abu Dhabi,Tiro International,None,"Manage suspicious transaction report process, including escalations to Chief Compliance Officer to ensure awareness and report to CB where necessary.",None,None,2/17/21
Head of Operational Risk (UAE National only),Abu Dhabi,Tiro International,None,Our client - a local bank is looking for a Head Of Operational & Market Risk (UAE Nationals only) who will report directly to the Chief Risk Officer in Abu…,None,None,2/17/21
Senior Accountant(Arabic) - Leading UAE based Group Company,Abu Dhabi,BAC Middle East,None,The Senior Accountant will provide a key support function to the Chief Financial Officer in the commercial management of the company’s real estate portfolio and…,Senior,None,2/17/21
• IT Project Manager – Software Development (Arabic speaker),Abu Dhabi,Black Pearl Consult,None,"Our client, a large entity in Abu Dhabi, is currently looking for an I T Project Manager – Software Development (Arabic speaker) who will report directly to the…",None,None,2/17/21
School Liaison Coordinator,Ras al-Khaimah,American University of Ras Al Khaimah,None,Chief of Marketing and Communication Officer. The American University of Ras Al Khaimah (AURAK) is an independent co-education institution of Higher Education…,None,None,2/25/21
Executive Assistant,Ras al-Khaimah,Lobo Management,None,"Handle confidential information maintaining full discretion. Gather, compile, verify, and analyze information for the executive's use in documents.",None,None,2/17/21
