Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Travel Program Manager-Middle East,None,Pinkerton,None,"Reporting to the EMEA Travel Program Manager, the Middle East Travel Program Manager provides travel management oversight of the program, enhances and drives…",None,None,2021-03-17
IT Manager,Dubai,Agroshipping LLC,None,"Company: Agroshipping LLCEmployment Type: Full TimeEducation Level: MasterSalary: AED 16,000 - 16,999Experience: 15 YearsJob Type: IT,…",None,None,2021-02-16
IT Manager,Dubai,Gadget Express,None,Company: Gadget ExpressEmployment Type: Full TimeExperience: 10 YearsJob Type:…,None,None,2021-02-16
IT Coordinator - Aloft Al Mina,Dubai,"Marriott International, Inc",None,"Report accidents, injuries, and unsafe work conditions to manager; Posting Date Mar 17, 2021. Location Aloft Al Mina Dubai, Sheikh Rashid Road & 37th Street,…",None,None,2021-03-18
IT Manager,Dubai,Bayut | dubizzle,None,We are looking for an experienced IT Manager to manage both our brands. As an IT Manager you will be responsible and accountable for managing the IT Operations…,None,None,2021-03-08
Facility Manager,Dubai,Bidfood,"7,000-10,000",§ It is essential that you hold a College Degree. To provide an efficient and safe healthy working environment. Provide prompt response to requests and issues.,None,3,2021-03-14
IT Administrator,Dubai,British Council,None,This role will be responsible for the delivery of IT services for the whole UAE and will report directly to ICT Manager. Software used by the organisation).,None,None,2021-03-15
IT Manager,Dubai,Engage Selection,None,Company: Engage SelectionEmployment Type: Full TimeJob Type:…,None,None,2021-02-16
QHSSE Manager Oil & Gas,Dubai,MBH,"15,000"," Report administratively and functionally to the Group General Managers and / or Group Chief Executive Officer. Up to AED15,000.00 per month.",None,None,2021-03-04
IT Coordinator,Dubai,NOVOTEL,None,"What is in it for you: Professional degree in IT from reputed Institute/University. Provides immediate solutions when possible, furnishes feedback to the users…",None,None,2021-03-09
Café Manager,Dubai,Intelligent Playgrounds LLC,"8,000-12,000","Café manager ensures that the café operates efficiently and profitably, as well as maintaining high standards of food, service, health and safety.",None,None,2021-02-16
IT Manager,Dubai,Green Gulf Careers,None,"On behalf of our client, a business setup company, we are looking for an IT Manager. As a leader in the IT department, and an employee responsible for…",None,None,2021-02-16
