Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Flutter Mobile Developer,None,Uruk IT Solution,"16,000",Flutter Developer for Mobile applications. Write tests for the App. Building and deploying mobile applications: Write efficient queries for core Data.,None,2,2/23/21
Mobile App Developer,Dubai,TECH X,"8,000","A legit Financial Social mobile App. Min 5 years experienced as mob app developer our equivalent. From Risk management algorithms, eLearning tools, social mob…",None,None,2/16/21
Website /Mobile App developer,Dubai International City,TECHCO INFORMATION TECHNOLOGY L.L.LC,"4,000","We are looking for an experienced Website /Mobile App developer for leading IT solution company. Up to AED4,000.00 per month.",None,None,3/7/21
FRONT-END APP DEVELOPER (MOBILE APP DEV.),Dubai,HALZA SOFTWARE SOLUTION LLC.,None,"Prior work experience as a front-end application developer. The Halza solution is accessible from both web and mobile, available in both the Apple App Store and…",None,2,3/16/21
Xamarin Mobile App Developer,Dubai,Accel Human Resource Consulting,None,Accel Human Resource ConsultingEmployment Type:,None,None,2/16/21
Mobile Application Developer-Flutter,Dubai,Webtek Marketing Management,"6,000-8,000",Candidate should be technically skilled on App development on latest technologies. Candidates should be from App Development domain and presently working in the…,None,None,3/1/21
Hybrid Mobile App Developer,Dubai,Tomsher,None,"We are looking for a Hybrid Mobile App Developer to lead the design, development and maintenance of iOS and Android Apps.",None,None,2/16/21
Mobile App Developer,Dubai,Intechnics,None,"Develop mobile applications on both ANDROID and IOS platforms targeting Security and Automation fields. Excellent knowledge of Unity, including experience with…",None,None,2/16/21
Mobile Application Developer,Dubai International City,TECHCO INFORMATION TECHNOLOGY L.L.LC,None,We are looking for an experienced Mobile App developer in our leading IT company.,None,None,3/8/21
Android Developer,Dubai,Shisheo,"4,000-4,500",Android Developer requirements and qualifications: Have published at least one original Android app. Solid understanding of the full mobile development life…,None,None,3/18/21
Android Developer,Dubai,News in Bullets,"4,000-6,000","We are looking for a reliable, passionate, and talented Android App developer to join our team. Monitoring app reviews to detect areas for improvement.",None,2,3/14/21
Web Designer & App Developer,Al Quoz,Al Bahri Hardware & Safety Equipment LLC,"2,000-3,000","We require a Web Developer/Mobile App Developer to be placed in our Al Quoz Office. Website and software application designing, building, or maintaining.",None,None,3/2/21
Mobile Application Developer (React Native),None,BuddyBoss,"15,000-20,000",Work together with our WordPress backend developers to synchronize data between the mobile application and the WordPress database. Other as we see fit.,None,3,2/16/21
iOS/Android Developer,None,Ishro,"5,000-8,000",Working closely with another mobile app developer leading the other platform development. Deliver across the entire app life cycle:,None,2,2/17/21
Senior Dot Net Developer,Dubai,Beams IT Solutions,"5,000-10,000","Those who worked with ERP software ,Mobile App development & Web development knowledge will be an advantage. Candidates required strong programming knowledge.",Senior,4,3/7/21
Flutter Developer,Dubai,Dezzex Technologies Pvt. Ltd.,"3,000",Should be able to handle complete app development lifecycle independently. Will be responsible for mobile application development using flutters or react native…,None,3,3/3/21
IOS/ANDROID DEVELOPER,Dubai,Anorbitsoftware House LLC,"3,000-3,500",Working closely with another mobile app developer leading the other platform development. Deliver across the entire app life cycle:,None,None,3/16/21
Java Developer,Dubai,SLF LLC,None,Good understanding of mobile app and web development and relevant APIs. You will work with both front-end and back-end web developers to build all client-side…,None,None,3/7/21
Web Designer & Developer,Dubai,Unitech Software Solution,None,"Ø Liaising with back-end developers to ensure web and app logic is properly integrated. Ø Ensuring website function and stability across devices i.e. desktop,…",None,None,2/24/21
Hybrid Mobile App Developer,Dubai,TeamPlus Staffing Solution Pvt Ltd,None,"Experience with mobile IDEs and Hybrid app development (Cordova). Excellent programming skills in HTML5, CSS, JavaScript, REST, JSON specific for hybrid mobile…",None,None,2/16/21
Sr. Andorid Developer,Dubai,Pegasus,None,Proven working experience in Android app development. Have published at least one original Android app. Solid understanding of the full mobile development life…,Senior,None,2/16/21
UI\UX Developer,Dubai,ERIYADA,None,Solid experience with HTML5 hybrid mobile app development framework. User Interface UI/ UX Developer*. Design mobile user interface solutions that best meet…,None,None,2/23/21
Android Developer,Dubai,S4M,None,"You are a passionate Android developer who loves building reliable, intuitive and beautiful apps. You are confident that you can jump straight into our code…",None,None,2/16/21
Software Cloud ERP Developer,Dubai,SGBC Falcon,None,"You will be working single handedly in creating, maintaining, and updating our website and mobile app. We are looking for a skilled Web based Software Developer…",None,2,3/15/21
iOS Developer,Dubai,S4M,None,"You are a motivated iOS developer who loves building reliable, intuitive and beautiful apps. Experience with mobile QA, and the problems associated with bugs…",None,None,2/16/21
React Native Developer,Dubai,eMagine Solutions,None,"What you need as a Senior React Native Developer: You will develop maintainable, modular and scalable software, using industry best practices and contribute to…",None,None,3/11/21
Mobile Application Developer,Dubai,KeyBS,None,Mobile Application Developer | Posted on 10-Oct-2017. Concept of Android and iOS App Life Cycle. Experiance 3+ Years experience in Mobile Application…,None,None,2/16/21
React Native Developer,Dubai,BFL Group,None,Have shipped/published applications to the App Store or Google Play Store. Experience with at least one native mobile platform (bonus points if you moved to…,None,None,2/16/21
IOS Engineer ll (Automation),Dubai,Talabat,None,Developer Exchange Programs with other DH entities. Strong understanding of the full mobile development life cycle. The following experience is relevant to us:,None,None,3/11/21
UI/UX Designer,Dubai,ARIX Digital,"5,000-8,000",Solid experience with HTML5 hybrid mobile app development framework. Design mobile user interface solutions that best meet business objectives.,None,5,3/7/21
Contract iOS Developer,Dubai,Deerfoot,None,Our client is looking to hire an iOS Developer to join an expanding mobile team. Help realize practical and robust App architecture on the iOS platform.,None,None,2/16/21
Software Engineer II - Android,Dubai,Talabat,None,"Strong understanding of the full mobile development life cycle. Designs and builds scalable applications, features, and components along with other developers.",None,None,3/9/21
Senior Engineering Manager,Dubai,Talabat,None,Developer Exchange Programs with other DH entities. Experience building mobile apps in iOS or Android. Talabat was voted the UAE best food app in 2016/2017 by…,Senior,None,3/9/21
Full Stack Software Developer,Dubai,RTC-1 Employment Services,None,"Full Stack Software Developer Employment Type: Developing Whats App Emulator and Whats App chatbot • Developing high traffic websites that include news, E…",None,None,2/16/21
