Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Software Engineer,Dubai,PCS Systems& Solutions LL,"3,000-8,000","Extensive background in software development, including experience in solution architecture, technology architecture, database design and software application…",None,None,3/15/21
Field Service Engineer (Software Solutions Support),Dubai,Philips,None,Field Service Engineer (Software Solutions Support). Provide on-site support for software solutions. This role is based in Dubai. You are a part of.,None,None,2/18/21
Software Test Engineer,Dubai,HALZA SOFTWARE SOLUTION LLC.,None,"Solid understanding of quality assurance principles & practices, particularly within an agile software development practice. Proficient in English is a must.",None,1,3/10/21
Network Support Engineer,None,FOMI technologies LLC,"5,000-8,000",O Repair and recover from hardware or software failures. Minimum 5 years’ experience on technical support and systems & network administration.,None,1,2/16/21
Software Engineer (Full-Stack),Dubai International Financial Center,EdAid,"10,200-10,500","You will develop high quality, scalable, reliable software using industry best practice and standards, using technologies including ASP.Net, C#, HTML, CSS,…",None,None,3/11/21
Software Engineer,Dubai,SellAnyCar.com,None,Experience with scalable and consumer facing/SaaS software development. You are an experienced Software Developer with a passion for coding.,None,None,3/16/21
Computer Engineer,Dubai,FACTS Computer Software House LLC,None,"We are looking for a SQL developer to develop MS-SQL queries and procedures, create custom reports, and modify ERP user forms to enhance organizational…",None,None,3/15/21
IT Support Engineer,Dubai,3M,None,"As an IT Support Engineer (*). Intermediate Experience with Hard- and Software Issue and Solution Processes. We gain new insight from diverse thinking, and take…",None,None,3/16/21
Software Quality Engineer,Dubai,F-Technologies,None,Certified Software Tester (CSTE) Certification. International Software Testing Qualifications Board (ISTQB) Certification. Selenium) and back end (e.g.,None,None,3/18/21
Test Engineer & Telecommunications Officer,Dubai,ACTIKNOW,None,"Engineer training, telecommunications systems and networks engineering. Help management and senior engineers validate proposal reports and tests.",None,None,3/10/21
Moody’s Software Engineer,Dubai,IRESCO,"10,000","Proven track record in financial software implementations gained with either, banks, software house, consulting firms or integrators.",None,None,2/16/21
Angular Software Engineer,Dubai,IRESCO,"8,000","Post graduate in Computer Science or related field (or equivalent industry experience). Minimum 5 years of coding experience in Angular JS, HTML and JSS in…",None,None,3/15/21
Mechatronics/Electronics Engineer,Dubai,Arbitrary Solutions,"3,000-5,000","PCB design software such as Altium, etc. Knowledge of Mechanical CAD software such as SolidWorks. We are looking for a young, energetic and self-driven…",None,None,2/27/21
Software Engineer - Full Stack,Dubai,Bayut | dubizzle,None,"As a Full stack Engineer, you will be responsible for advancing our development stack and ensuring scale as we grow to millions o.",None,None,3/8/21
