Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Project Manager,Dubai,"Interior, events and exhibition company","8,000-10,000","The responsibilities of the Project Manager are as follows: Assist in the definition of project scope and objectives, involving all relevant stakeholders and…",None,5,2/16/21
Business Development Manager,Dubai,HAITAI FZCO,"3,500-10,000","Receives enquiries, studies commercial and technical requirements for projects. Follows-up of technical and commercial negotiation to ensure order is secured,…",None,None,2/16/21
Technical Project Manager,Dubai,Majid Al Futtaim,None,The Technical Project Manager holds both a leadership and management role in the technical delivery team. The Technical Project Manager will provide day-to-day…,None,None,3/11/21
TECHNICAL MANAGER / SENIOR INSPECTOR,Dubai,SMART WAY SAFETY,"6,000-8,000",Inspection (Mechanical) engineer with 6 yrs experience in lifting equipment. Must have attended and passed EIAC / ENAS audit.,Senior,None,3/9/21
OFFICE MANAGER,Dubai,Al Ghafoor Niazdin Marine Engineering,None,Maintains professional and technical knowledge by attending educational workshops; Supports company operations by maintaining office systems and supervising…,None,None,3/12/21
Technical Manager (Building),Dubai,Blue Bahar Engineering,None,Company: Blue Bahar EngineeringEmployment Type: Full TimeEducation Level: BachelorExperience: 10 YearsJob Type:…,None,None,2/16/21
MEP General Manager,Dubai,MAE electromechanical llc,"10,000-15,000","Lead technical coordination meetings with Clients, Subcontractors, Department Heads, PM¦s, MEP Managers and staff. 9 yrs MEP experience in UAE.",None,8,2/21/21
PROJECT MANAGER TELECOM (OSP),Dubai,Xad Technologies,"6,000-8,000","To liaise with the technical project team to define and verify the scope and discuss, propose and recommend technical solutions. Knowledge of Mobile Civil Work.",None,None,3/17/21
"President and General Manager, DIFZ",Dubai,DynCorp International LLC.,None,"President and General Manager, DIFZ. Plans, develops, and establishes policies and objectives for DIFZ in accordance with the Board’s directives and corporate…",None,None,3/18/21
Technical Training Manager,Dubai,Zameer Training FZE,None,"Company: Zameer Training FZEEmployment Type: Full TimeEducation Level: BachelorExperience: 10 YearsJob Type: Admin,…",None,None,2/16/21
R&D MANAGER,Dubai,McCormick,None,"This role is a customer facing technical R&D leader located in Dubai, covering Middle East markets. Provides technical support to customers as appropriate in…",None,None,3/18/21
Maintenance Manager,Dubai,Advanced Baking Concept LLC,"12,000-15,000","Should have thorough knowledge of Electrical/Mechanical Maintenance , Erection and Commissioning Operations, PLC & Automation, Technical evaluation , Handling…",None,10,2/16/21
Office Manager,Dubai,H&H consultancy,"7,000-10,000","Developing and implementing new administrative systems. Setting up appointments, conferences and managing meeting rooms. Social distancing guidelines in place.",None,3,3/9/21
