Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Web Developer,None,MNCIS LLC,"4,000",6 UI / UX artistic sense. 6 Working alongside graphic designers for web design features. A full-stack web developer is required to work remotely for an Emirati…,None,2,2021-03-17
Python developer,None,Crowd digital portal,None,Collaborate with UX/UI designers to implement design into the code. Senior Python and node.js Developer responsibilities include: Manage testing and bug fixes.,None,None,2021-03-14
UX (User Experience) Designer,Dubai,Eyewa,"10,000-12,000",Our UX Designer will be instrumental in shaping the omnichannel experiences at eyewa.com. You have worked as a user experience designer for 2 to 5 years.,None,2,2021-03-08
UI/UX Designer,Dubai,Stride Web Studio LLP,"3,000-5,000",Identify and troubleshoot UX problems (e.g. Proven work experience as a UI/UX Designer or similar role. UI/UX Designer responsibilities include gathering user…,None,1,2021-03-17
Product Designer (UX/UI),Dubai,SellAnyCar.com,None,"You are a full-stack product designer. You can make strategic design and UX decisions related to both core and new functions, and ideate upcoming features.",None,None,2021-03-18
UX Designer,Dubai,ECS ME LLC,None,"Create a well-organized, value-driven framework for implementing UX design. Gather and evaluate user requirements in collaboration with project manager and…",None,None,2021-03-03
UI/UX Designer,Dubai,ARIX Digital,"5,000-8,000","Provide directions to promote UX best practices to improve the design, interaction, responsiveness, and functionality.",None,5,2021-03-07
UX/UI Designer,Dubai,OWR Digital,"4,000-6,000",This is an exciting opportunity for a talented Front End Web Developer with a proven track record in delivering high-quality web solutions to join our digital…,None,None,2021-03-09
UI/ UX Designer,Dubai,MVP TECH,None,"Minimum 5 years of experience as an UI-UX Designer work for both web and mobile platforms. Working collaboratively with other designers, product design and…",None,None,2021-03-04
"UI/UX, Branding expert, web designer",Dubai International Financial Center,Luna PR,"5,500","LunaPR is a marketing, PR, and Consultancy company based in Dubai. We are looking for someone who can help us with:",None,/1,2021-03-12
Senior UI Designer,Dubai,Atechy Group,"4,000-8,000","Working closely with a team of designers, the Senior UI designer will create desirable and professional user interface designs across:",Senior,4,2021-03-08
UI/UX Designer,Dubai,Ayrate,None,"You will work on web design, mobile app (ANROID & IOS) and development projects, taking client briefs and specs to translate these into award winning websites…",None,None,2021-02-16
2D Graphic Designer,Dubai,OnePoint,None,"Our client, a leading advertising agency is looking for a graphic designer with proven experience in an advertising company or designing agency.",None,None,2021-02-21
UI/UX Designer - INDEX Holding,Dubai,INDEX Holding,None,"Looking for Creative UI/UX Designer who has extended skills in front end development with HTML5, CSS3 and Bootstrap4. Design User Friendly Website layouts.",None,None,2021-02-16
UI/UX Designer-6 months Remote Job,Dubai,INDEX Holding,"4,000-5,000","Looking for Creative UI/UX Designer who has extended skills in front end development with HTML5, CSS3 and Bootstrap4. Design User Friendly Website layouts.",None,2,2021-03-11
UI / UX Designer,Dubai,TGC Consulting Middle East,None,"As a UI / UX Designer, you will be responsible for designing the overall functionality of customers' online journey, ensuring a market-leading user experience…",None,None,2021-02-16
UI/UX Designer,Dubai,ABBC Payment Services,None,Identify and troubleshoot UX problems (e.g. Strong communication skills collaborate with various designers and developers. Plan and implement new designs.,None,None,2021-02-16
Web Designer,Dubai,Infuse,"3,000-4,000","Web Designer with advanced Photoshop Skills. Ability to design web layouts, UI / UX Elements from scratch using Photoshop or Similar Tools.",None,3,2021-02-16
Senior UI UX Designer,Dubai,TenTwenty,None,"TenTwenty is looking for a passionate and talented senior UI UX Designer to join our enthusiastic team. Eager to learn, discuss and share knowledge with our…",Senior,None,2021-02-16
UI/UX Desinger,Dubai,Noon Ecommerce,None,"At least 2 years experience as an Interaction/ motion & UI/UX designer. At noon, we aspire to be the most customer-centric and relevant digital company in the…",None,None,2021-02-25
Product Designer II (Pay),Dubai,Careem,None,We're looking for someone who is not just creative but also to has an eye for detail for all things related to UI and UX.,None,None,2021-03-10
Product Designer,Dubai,Kitopi,None,Find creative ways to solve UX problems (e.g. Kitopi is the world’s leading managed cloud kitchen platform - we partner with restaurants and food concepts to…,None,None,2021-02-16
UI UX Designer,Dubai,Marc Ellis Consulting,None,Work closely with the squad and other designers to create and iterate design concepts for the digital product suite.,None,None,2021-03-12
UX Motion Designer,Dubai,Deriv DMCC,None,"Your role As our UX Motion Designer, you will help define our approach for motion across all platforms, set standards, and help train other designers to make…",None,None,2021-02-16
Digital UI/UX & Graphic Designer,Dubai,Sobha LLC,None,"KEY RESPONSIBILITIES • Produce high-quality visual designs from concept to execution, including those for web and mobile devices at a variety of resolutions …",None,None,2021-02-16
